"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","25.43","25","22949","20","22","28","31","38","25.37","25.49","12","66","25","25"
"2003","","","","","","","","","","","","","",""
"2004","25.61","25","21489","21","23","28","31","39","25.55","25.67","12","73","25","25"
"2005","","","","","","","","","","","","","",""
"2006","25.85","25","21857","21","23","28","32","40","25.79","25.91","12","76","25","25"
"2007","","","","","","","","","","","","","",""
"2008","26.06","25","19217","21","23","29","32","40","25.99","26.13","13","197","25","25"
"2009","","","","","","","","","","","","","",""
"2010","26.27","26","16567","21","23","29","32","42","26.2","26.34","13","164","25","26"
"2011","","","","","","","","","","","","","",""
"2012","26.25","26","20316","21","23","29","32","41","26.18","26.32","12","177","26","26"
"2013","","","","","","","","","","","","","",""
"2014","26.29","26","26818","21","23","29","33","42","26.23","26.35","13","147","25","26"
"2015","","","","","","","","","","","","","",""
"2016","26.44","26","23889","21","23","29","33","42","26.37","26.51","14","91","26","26"
"2017","","","","","","","","","","","","","",""
"2018","26.56","26","28962","21","23","29","33","44","26.5","26.62","11","95","26","26"
