"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","16-34 y.","23.51","23","6121","19","21","26","29","36","23.41","23.61","12","61","23","23"
"2002","35-65 y.","25.96","25","13216","21","23","28","31","39","25.89","26.03","13","66","25","26"
"2002","66 and older","26.33","26","3612","21","24","29","31","37","26.2","26.46","14","57","26","26"
"2003","16-34 y.","","","","","","","","","","","","","",""
"2003","35-65 y.","","","","","","","","","","","","","",""
"2003","66 and older","","","","","","","","","","","","","",""
"2004","16-34 y.","23.6","23","5574","19","21","26","29","36","23.49","23.71","13","67","23","23"
"2004","35-65 y.","26.13","26","12152","21","23","29","32","40","26.05","26.21","14","69","25","26"
"2004","66 and older","26.55","26","3763","22","24","29","32","38","26.42","26.68","12","73","26","26"
"2005","16-34 y.","","","","","","","","","","","","","",""
"2005","35-65 y.","","","","","","","","","","","","","",""
"2005","66 and older","","","","","","","","","","","","","",""
"2006","16-34 y.","24.05","23","5096","19","21","26","30","37","23.93","24.17","13","59","23","23"
"2006","35-65 y.","26.25","26","12322","21","23","29","32","41","26.17","26.33","12","76","26","26"
"2006","66 and older","26.8","26","4439","22","24","29","32","40","26.67","26.93","14","67","26","27"
"2007","16-34 y.","","","","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","","","","",""
"2008","16-34 y.","24.11","23","4319","19","21","26","30","38","23.98","24.24","13","67","23","23"
"2008","35-65 y.","26.53","26","10586","21","23","29","33","41","26.44","26.62","15","197","26","26"
"2008","66 and older","26.98","26","4312","22","24","29","32","40","26.84","27.12","16","137","26","27"
"2009","16-34 y.","","","","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","","","","",""
"2010","16-34 y.","24.16","23","3553","19","21","26","30","39","24.01","24.31","13","106","23","23"
"2010","35-65 y.","26.86","26","8998","21","23","29","33","43","26.76","26.96","15","164","26","26"
"2010","66 and older","26.87","26","4016","22","24","29","32","40","26.74","27","15","61","26","27"
"2011","16-34 y.","","","","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","","","","",""
"2012","16-34 y.","24.24","23","4083","19","21","26","30","40","24.1","24.38","14","61","23","24"
"2012","35-65 y.","26.83","26","11044","21","23","29","33","42","26.73","26.93","12","177","26","26"
"2012","66 and older","26.81","26","5189","22","24","29","32","39","26.69","26.93","13","65","26","27"
"2013","16-34 y.","","","","","","","","","","","","","",""
"2013","35-65 y.","","","","","","","","","","","","","",""
"2013","66 and older","","","","","","","","","","","","","",""
"2014","16-34 y.","24.38","23","6480","19","21","26","30","40","24.26","24.5","14","147","23","24"
"2014","35-65 y.","26.89","26","15386","21","23","29","33","43","26.81","26.97","13","75","26","26"
"2014","66 and older","26.87","26","4952","22","24","29","33","40","26.74","27","13","66","26","27"
"2015","16-34 y.","","","","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","","","","",""
"2016","16-34 y.","24.59","24","5493","19","21","27","31","41","24.46","24.72","14","91","23","24"
"2016","35-65 y.","27.06","26","13677","21","24","30","34","44","26.97","27.15","16","69","26","26"
"2016","66 and older","26.91","26","4719","22","24","29","33","40","26.78","27.04","14","65","26","27"
"2017","16-34 y.","","","","","","","","","","","","","",""
"2017","35-65 y.","","","","","","","","","","","","","",""
"2017","66 and older","","","","","","","","","","","","","",""
"2018","16-34 y.","24.9","24","7874","20","21","27","31","43","24.79","25.01","11","84","24","24"
"2018","35-65 y.","27.13","26","16070","21","23","30","34","45","27.05","27.21","15","95","26","26"
"2018","66 and older","26.93","26","5018","22","24","29","33","41","26.8","27.06","14","72","26","27"
