"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Female","24.88","24","11819","20","22","27","31","39","24.8","24.96","13","66","24","24"
"2002","Male","26","26","11130","22","24","28","31","38","25.93","26.07","12","59","26","26"
"2003","Female","","","","","","","","","","","","","",""
"2003","Male","","","","","","","","","","","","","",""
"2004","Female","25.14","24","11125","20","22","28","31","40","25.05","25.23","12","73","24","24"
"2004","Male","26.1","26","10364","22","23","28","31","38","26.02","26.18","14","67","26","26"
"2005","Female","","","","","","","","","","","","","",""
"2005","Male","","","","","","","","","","","","","",""
"2006","Female","25.36","24","11398","20","22","28","32","41","25.27","25.45","12","76","24","24"
"2006","Male","26.36","26","10459","22","24","28","32","38","26.28","26.44","15","67","26","26"
"2007","Female","","","","","","","","","","","","","",""
"2007","Male","","","","","","","","","","","","","",""
"2008","Female","25.49","25","10004","20","22","28","32","41","25.39","25.59","13","73","24","25"
"2008","Male","26.67","26","9213","22","24","29","32","39","26.57","26.77","13","197","26","26"
"2009","Female","","","","","","","","","","","","","",""
"2009","Male","","","","","","","","","","","","","",""
"2010","Female","25.68","25","8634","20","22","28","32","43","25.57","25.79","13","65","24","25"
"2010","Male","26.88","26","7933","22","24","29","32","41","26.78","26.98","15","164","26","26"
"2011","Female","","","","","","","","","","","","","",""
"2011","Male","","","","","","","","","","","","","",""
"2012","Female","25.69","25","10675","20","22","28","32","42","25.59","25.79","13","74","25","25"
"2012","Male","26.82","26","9641","22","24","29","32","40","26.73","26.91","12","177","26","26"
"2013","Female","","","","","","","","","","","","","",""
"2013","Male","","","","","","","","","","","","","",""
"2014","Female","25.71","25","14404","20","22","28","33","43","25.62","25.8","13","63","24","25"
"2014","Male","26.9","26","12414","22","24","29","33","41","26.82","26.98","13","147","26","26"
"2015","Female","","","","","","","","","","","","","",""
"2015","Male","","","","","","","","","","","","","",""
"2016","Female","25.9","25","12858","20","22","29","33","44","25.8","26","14","69","25","25"
"2016","Male","27","26","11031","22","24","29","33","42","26.91","27.09","14","91","26","26"
"2017","Female","","","","","","","","","","","","","",""
"2017","Male","","","","","","","","","","","","","",""
"2018","Female","26.08","25","14837","20","22","29","33","45","25.99","26.17","11","95","25","25"
"2018","Male","27.04","26","14125","22","24","29","33","43","26.96","27.12","15","72","26","26"
