"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","25.17","25","14720","20","22","27","30","38","25.1","25.24","12","66","25","25"
"2002","Not Employed","25.81","25","8229","20","23","28","32","39","25.71","25.91","13","59","25","25"
"2003","Employed","","","","","","","","","","","","","",""
"2003","Not Employed","","","","","","","","","","","","","",""
"2004","Employed","25.33","25","13373","20","22","28","31","38","25.26","25.4","14","69","25","25"
"2004","Not Employed","26.01","26","8116","21","23","29","32","40","25.91","26.11","12","73","25","25"
"2005","Employed","","","","","","","","","","","","","",""
"2005","Not Employed","","","","","","","","","","","","","",""
"2006","Employed","25.56","25","13358","21","22","28","31","39","25.48","25.64","14","61","25","25"
"2006","Not Employed","26.27","26","8499","21","23","29","32","41","26.17","26.37","12","76","26","26"
"2007","Employed","","","","","","","","","","","","","",""
"2007","Not Employed","","","","","","","","","","","","","",""
"2008","Employed","25.84","25","11812","21","23","28","32","40","25.75","25.93","13","197","25","25"
"2008","Not Employed","26.41","26","7405","21","23","29","32","41","26.29","26.53","15","137","26","26"
"2009","Employed","","","","","","","","","","","","","",""
"2009","Not Employed","","","","","","","","","","","","","",""
"2010","Employed","26.01","25","10263","21","23","28","32","42","25.92","26.1","16","106","25","25"
"2010","Not Employed","26.67","26","6304","21","23","29","33","42","26.54","26.8","13","164","26","26"
"2011","Employed","","","","","","","","","","","","","",""
"2011","Not Employed","","","","","","","","","","","","","",""
"2012","Employed","25.95","25","12341","21","23","28","32","40","25.86","26.04","15","177","25","25"
"2012","Not Employed","26.71","26","7975","21","23","29","33","42","26.6","26.82","12","65","26","26"
"2013","Employed","","","","","","","","","","","","","",""
"2013","Not Employed","","","","","","","","","","","","","",""
"2014","Employed","26.03","25","17565","21","23","29","32","41","25.96","26.1","14","147","25","25"
"2014","Not Employed","26.72","26","9253","21","23","29","33","44","26.61","26.83","13","63","26","26"
"2015","Employed","","","","","","","","","","","","","",""
"2015","Not Employed","","","","","","","","","","","","","",""
"2016","Employed","26.23","25","15887","21","23","29","32","41","26.15","26.31","15","68","25","25"
"2016","Not Employed","26.82","26","8002","21","23","29","33","45","26.7","26.94","14","91","26","26"
"2017","Employed","","","","","","","","","","","","","",""
"2017","Not Employed","","","","","","","","","","","","","",""
"2018","Employed","26.36","26","17668","21","23","29","33","43","26.29","26.43","11","95","25","26"
"2018","Not Employed","26.92","26","11294","21","23","29","34","45","26.82","27.02","14","84","26","26"
