"year","bula_h","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","(Married) couple without C.","3.83","4","751","1","2","5","6","7","3.7","3.96","1","7","4","4"
"2005","Baden-W?rttemberg","1-pers.-HH","3.6","4","328","2","2","5","6","7","3.42","3.78","1","7","3","4"
"2005","Baden-W?rttemberg","Couple + C. GT 16 ","3.73","4","425","2","3","5","6","7","3.58","3.88","1","7","3","4"
"2005","Baden-W?rttemberg","Couple + C. LE 16","3.75","4","510","2","2","5","6","7","3.6","3.9","1","7","3","4"
"2005","Baden-W?rttemberg","Couple + C. LE and GT 16","3.7","4","296","2","2","5","6","7","3.51","3.89","1","7","3","4"
"2005","Baden-W?rttemberg","Single parent","3.8","4","140","2","3","5","6","7","3.52","4.08","1","7","3","4"
"2005","Bavaria","(Married) couple without C.","3.92","4","924","2","3","5","6","7","3.81","4.03","1","7","4","4"
"2005","Bavaria","1-pers.-HH","3.69","4","393","1","2","5","6","7","3.53","3.85","1","7","3","4"
"2005","Bavaria","Couple + C. GT 16 ","3.91","4","548","2","3","5","6","7","3.77","4.05","1","7","4","4"
"2005","Bavaria","Couple + C. LE 16","3.66","4","590","1","2","5","6","7","3.53","3.79","1","7","3","4"
"2005","Bavaria","Couple + C. LE and GT 16","3.86","4","229","2","3","5","6","7","3.65","4.07","1","7","3","4"
"2005","Bavaria","Single parent","3.85","4","153","2","3","5","6","7","3.61","4.09","1","7","4","4"
"2005","Berlin","(Married) couple without C.","3.7","4","222","2","3","5","6","7","3.48","3.92","1","7","3","4"
"2005","Berlin","1-pers.-HH","3.29","3","184","1","2","4","6","7","3.04","3.54","1","7","3","4"
"2005","Berlin","Couple + C. GT 16 ","4.03","4","116","2","3","5","6","7","3.73","4.33","1","7","3","4"
"2005","Berlin","Couple + C. LE 16","3.78","4","104","2","3","5","6","7","3.45","4.11","1","7","3","5"
"2005","Berlin","Couple + C. LE and GT 16","4.66","5","48","2","3","6","7","7","4.1","5.22","1","7","3","6"
"2005","Berlin","Single parent","3.51","4","60","1","2","5","6","7","3.07","3.95","1","7","3","4"
"2005","Brandenburg","(Married) couple without C.","3.88","4","317","1","2","5","6","7","3.68","4.08","1","7","4","4"
"2005","Brandenburg","1-pers.-HH","3.43","3","117","1","2","5","6","7","3.1","3.76","1","7","3","4"
"2005","Brandenburg","Couple + C. GT 16 ","3.82","4","180","2","3","5","6","7","3.59","4.05","1","7","3","4"
"2005","Brandenburg","Couple + C. LE 16","3.49","4","125","1","2","5","6","7","3.18","3.8","1","7","3","4"
"2005","Brandenburg","Couple + C. LE and GT 16","3.97","4","61","2","3","5","7","7","3.51","4.43","1","7","3","4"
"2005","Brandenburg","Single parent","4","4","64","2","3","6","7","7","3.55","4.45","1","7","3","5"
"2005","Bremen","(Married) couple without C.","4.01","4","45","1","2","5","7","7","3.48","4.54","1","7","3","4"
"2005","Bremen","1-pers.-HH","3.47","3","35","1","2","5","7","7","2.8","4.14","1","7","2","4"
"2005","Bremen","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2005","Bremen","Couple + C. LE 16","","","","","","","","","","","","","",""
"2005","Bremen","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","Bremen","Single parent","","","","","","","","","","","","","",""
"2005","Hamburg","(Married) couple without C.","3.88","4","100","1","3","5","6","7","3.52","4.24","1","7","3","5"
"2005","Hamburg","1-pers.-HH","3.99","4","74","1","2","6","7","7","3.56","4.42","1","7","4","5"
"2005","Hamburg","Couple + C. GT 16 ","3.91","4","44","2","3","5","6","7","3.45","4.37","1","7","3","4"
"2005","Hamburg","Couple + C. LE 16","3.26","3","40","2","2","4","5","6","2.78","3.74","1","7","3","4"
"2005","Hamburg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2005","Hamburg","Single parent","","","","","","","","","","","","","",""
"2005","Hesse","(Married) couple without C.","3.94","4","518","1","2","5","7","7","3.79","4.09","1","7","4","4"
"2005","Hesse","1-pers.-HH","3.78","4","204","1","2","5","6","7","3.53","4.03","1","7","3","4"
"2005","Hesse","Couple + C. GT 16 ","3.99","4","180","2","3","5","6","7","3.73","4.25","1","7","3","5"
"2005","Hesse","Couple + C. LE 16","3.91","4","281","2","2","5","6","7","3.72","4.1","1","7","4","4"
"2005","Hesse","Couple + C. LE and GT 16","3.64","3","89","1","2","5","7","7","3.22","4.06","1","7","3","5"
"2005","Hesse","Single parent","3.99","4","55","1","3","5","6","7","3.52","4.46","1","7","3","5"
"2005","Lower Saxony","(Married) couple without C.","4.01","4","600","2","2","5","7","7","3.86","4.16","1","7","4","4"
"2005","Lower Saxony","1-pers.-HH","3.46","3","227","1","2","5","6","7","3.22","3.7","1","7","3","4"
"2005","Lower Saxony","Couple + C. GT 16 ","3.62","4","303","1","2","5","6","7","3.42","3.82","1","7","3","4"
"2005","Lower Saxony","Couple + C. LE 16","3.47","3","341","1","2","5","6","7","3.28","3.66","1","7","3","4"
"2005","Lower Saxony","Couple + C. LE and GT 16","3.38","3","152","1","2","5","6","7","3.08","3.68","1","7","3","4"
"2005","Lower Saxony","Single parent","3.62","4","92","1","2","5","6","7","3.25","3.99","1","7","3","4"
"2005","Mecklenburg-Western Pomerania","(Married) couple without C.","3.89","4","171","1","2","5","6","7","3.62","4.16","1","7","4","5"
"2005","Mecklenburg-Western Pomerania","1-pers.-HH","3.47","4","79","1","2","5","6","7","3.09","3.85","1","7","3","4"
"2005","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","3.13","3","99","1","2","4","5","6","2.83","3.43","1","7","3","4"
"2005","Mecklenburg-Western Pomerania","Couple + C. LE 16","3.88","4","65","2","3","6","6","7","3.45","4.31","1","7","3","4"
"2005","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","4.42","4","38","2","3","6","7","7","3.83","5.01","1","7","3","5"
"2005","Mecklenburg-Western Pomerania","Single parent","3.91","4","36","2","3","5","6","7","3.31","4.51","1","7","3","5"
"2005","North Rhine-Westphalia","(Married) couple without C.","3.83","4","1570","1","2","5","6","7","3.74","3.92","1","7","4","4"
"2005","North Rhine-Westphalia","1-pers.-HH","3.68","4","583","1","2","5","6","7","3.54","3.82","1","7","3","4"
"2005","North Rhine-Westphalia","Couple + C. GT 16 ","3.69","4","739","1","2","5","6","7","3.57","3.81","1","7","3","4"
"2005","North Rhine-Westphalia","Couple + C. LE 16","3.53","4","816","1","2","5","6","7","3.41","3.65","1","7","3","4"
"2005","North Rhine-Westphalia","Couple + C. LE and GT 16","3.33","3","331","1","2","5","6","7","3.14","3.52","1","7","3","4"
"2005","North Rhine-Westphalia","Single parent","3.72","4","196","1","2","5","7","7","3.46","3.98","1","7","3","4"
"2005","Rhineland-Palatinate,Saarland","(Married) couple without C.","3.56","3","372","1","2","5","6","7","3.37","3.75","1","7","3","4"
"2005","Rhineland-Palatinate,Saarland","1-pers.-HH","3.54","3","183","1","2","5","6","7","3.26","3.82","1","7","3","4"
"2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","3.75","4","190","1","2","5","6","7","3.49","4.01","1","7","3","4"
"2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16","3.59","3","245","1","2","5","6","7","3.37","3.81","1","7","3","4"
"2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","3.86","4","123","1","2","5","7","7","3.52","4.2","1","7","3","4"
"2005","Rhineland-Palatinate,Saarland","Single parent","3.63","4","72","1","3","5","6","7","3.22","4.04","1","7","3","4"
"2005","Saxony","(Married) couple without C.","4","4","559","2","3","5","6","7","3.87","4.13","1","7","4","4"
"2005","Saxony","1-pers.-HH","3.74","4","217","1","2","5","6","7","3.51","3.97","1","7","4","4"
"2005","Saxony","Couple + C. GT 16 ","3.71","4","291","2","2","5","6","7","3.52","3.9","1","7","3","4"
