"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","3.73","4","20672","1","2","5","6","7","3.71","3.75","1","7","4","4"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","3.64","4","17986","1","2","5","6","7","3.62","3.66","1","7","4","4"
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","3.63","4","7121","1","2","5","6","7","3.59","3.67","1","7","3","4"
"2013","3.65","4","18843","1","2","5","6","7","3.63","3.67","1","7","4","4"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","3.64","4","29279","1","2","5","6","7","3.62","3.66","1","7","4","4"
"2018","","","","","","","","","","","","","",""
"2019","3.42","3","25765","1","2","5","6","7","3.4","3.44","1","7","3","3"
