"ple0004","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Strong","2002","West Germany","1663","0.11918199628976","0.11440271437089","0.12396127820863"
"Strong","2002","East Germany","584","0.127977673591309","0.119106107115003","0.136849240067615"
"A little","2002","West Germany","4688","0.291848384057992","0.285142500595364","0.298554267520621"
"A little","2002","East Germany","1783","0.347576070315303","0.334929892656766","0.360222247973841"
"Not at all","2002","West Germany","11304","0.588969619652248","0.581711942617343","0.596227296687153"
"Not at all","2002","East Germany","3080","0.524446256093387","0.511183930044808","0.537708582141967"
"Strong","2003","West Germany","","","",""
"Strong","2003","East Germany","","","",""
"A little","2003","West Germany","","","",""
"A little","2003","East Germany","","","",""
"Not at all","2003","West Germany","","","",""
"Not at all","2003","East Germany","","","",""
"Strong","2004","West Germany","1589","0.123707102926733","0.118672355277028","0.128741850576439"
"Strong","2004","East Germany","583","0.139269899277631","0.129897264182357","0.148642534372905"
"A little","2004","West Germany","4430","0.295549385825902","0.288571946790532","0.302526824861271"
"A little","2004","East Germany","1729","0.339998013743026","0.327174401013405","0.352821626472647"
"Not at all","2004","West Germany","10409","0.580743511247365","0.57319801472353","0.5882890077712"
"Not at all","2004","East Germany","2930","0.520732086979343","0.507208374485901","0.534255799472784"
"Strong","2005","West Germany","","","",""
"Strong","2005","East Germany","","","",""
"A little","2005","West Germany","","","",""
"A little","2005","East Germany","","","",""
"Not at all","2005","West Germany","","","",""
"Not at all","2005","East Germany","","","",""
"Strong","2006","West Germany","1689","0.117478029790902","0.112600370576653","0.12235568900515"
"Strong","2006","East Germany","592","0.13438540804303","0.125196233201972","0.143574582884087"
"A little","2006","West Germany","4711","0.301682043970642","0.294729052449606","0.308635035491678"
"A little","2006","East Germany","1892","0.362754025853864","0.349800206272888","0.37570784543484"
"Not at all","2006","West Germany","10340","0.580839926238456","0.57336531604082","0.588314536436092"
"Not at all","2006","East Germany","2808","0.502860566103106","0.489389527832176","0.516331604374037"
"Strong","2007","West Germany","","","",""
"Strong","2007","East Germany","","","",""
"A little","2007","West Germany","","","",""
"A little","2007","East Germany","","","",""
"Not at all","2007","West Germany","","","",""
"Not at all","2007","East Germany","","","",""
"Strong","2008","West Germany","1512","0.118136663830325","0.112900726907307","0.123372600753343"
"Strong","2008","East Germany","546","0.124315292056465","0.114967739749929","0.133662844363"
"A little","2008","West Germany","4134","0.300435471782734","0.292998589532244","0.307872354033224"
"A little","2008","East Germany","1656","0.356377272838287","0.342808754388088","0.369945791288487"
"Not at all","2008","West Germany","8952","0.581427864386941","0.573425202120951","0.589430526652932"
"Not at all","2008","East Germany","2584","0.519307435105248","0.505152505413548","0.533462364796948"
"Strong","2009","West Germany","","","",""
"Strong","2009","East Germany","","","",""
"A little","2009","West Germany","","","",""
"A little","2009","East Germany","","","",""
"Not at all","2009","West Germany","","","",""
"Not at all","2009","East Germany","","","",""
"Strong","2010","West Germany","1328","0.125356036602218","0.119567040157975","0.131145033046461"
"Strong","2010","East Germany","520","0.14742907349437","0.136624325215623","0.158233821773116"
"A little","2010","West Germany","3798","0.327642080923026","0.319436390939912","0.33584777090614"
"A little","2010","East Germany","1521","0.382621687402536","0.367809530560981","0.397433844244091"
"Not at all","2010","West Germany","7442","0.547001882474756","0.538299110308056","0.555704654641456"
"Not at all","2010","East Germany","2095","0.469949239103094","0.454738790164592","0.485159688041597"
"Strong","2011","West Germany","","","",""
"Strong","2011","East Germany","","","",""
"A little","2011","West Germany","","","",""
"A little","2011","East Germany","","","",""
"Not at all","2011","West Germany","","","",""
"Not at all","2011","East Germany","","","",""
"Strong","2012","West Germany","1710","0.119694263700909","0.1146139918267","0.124774535575118"
"Strong","2012","East Germany","665","0.149574387146189","0.139549317564663","0.159599456727715"
"A little","2012","West Germany","4867","0.326493096232209","0.319154017497085","0.333832174967333"
"A little","2012","East Germany","1794","0.379172852189262","0.365535043894737","0.392810660483787"
"Not at all","2012","West Germany","9106","0.553812640066882","0.546032747798801","0.561592532334963"
"Not at all","2012","East Germany","2403","0.471252760664549","0.457221663765223","0.485283857563876"
"Strong","2013","West Germany","","","",""
"Strong","2013","East Germany","","","",""
"A little","2013","West Germany","","","",""
"A little","2013","East Germany","","","",""
"Not at all","2013","West Germany","","","",""
"Not at all","2013","East Germany","","","",""
"Strong","2014","West Germany","2030","0.117550686104938","0.113249454860076","0.121851917349799"
"Strong","2014","East Germany","702","0.149866981960803","0.140518297529438","0.159215666392167"
"A little","2014","West Germany","5818","0.297795578094896","0.291688601926453","0.303902554263338"
"A little","2014","East Germany","1917","0.358441851020613","0.345882087973724","0.371001614067501"
"Not at all","2014","West Germany","13691","0.584653735800167","0.57807276685048","0.591234704749854"
"Not at all","2014","East Germany","2981","0.491691167018585","0.478597415076804","0.504784918960366"
"Strong","2015","West Germany","","","",""
"Strong","2015","East Germany","","","",""
"A little","2015","West Germany","","","",""
"A little","2015","East Germany","","","",""
"Not at all","2015","West Germany","","","",""
"Not at all","2015","East Germany","","","",""
"Strong","2016","West Germany","2144","0.119060484459362","0.11485976700833","0.123261201910393"
"Strong","2016","East Germany","692","0.1322092732698","0.123521323229628","0.140897223309971"
"A little","2016","West Germany","6149","0.301750942448675","0.295797116981973","0.307704767915377"
"A little","2016","East Germany","1963","0.34702772617288","0.334817932891853","0.359237519453906"
"Not at all","2016","West Germany","14540","0.579188573091963","0.572785029691045","0.585592116492882"
"Not at all","2016","East Germany","3184","0.520763000557321","0.507949314364928","0.533576686749713"
"Strong","2017","West Germany","218","0.0669503155414642","0.0574199318927404","0.0764806991901881"
"Strong","2017","East Germany","22","","",""
"A little","2017","West Germany","562","0.199914767913614","0.184664683414093","0.215164852413134"
"A little","2017","East Germany","63","0.164880577572391","0.120371201903545","0.209389953241236"
"Not at all","2017","West Germany","1862","0.733134916544922","0.716268628477172","0.750001204612672"
"Not at all","2017","East Germany","182","0.76823163248729","0.717618218314541","0.818845046660038"
"Strong","2018","West Germany","2312","0.118430186341514","0.114332097223514","0.122528275459514"
"Strong","2018","East Germany","675","0.125076524907967","0.116779792772975","0.133373257042958"
"A little","2018","West Germany","6644","0.305998182242245","0.300153491129317","0.311842873355174"
"A little","2018","East Germany","2103","0.352561396116793","0.340578803206293","0.364543989027293"
"Not at all","2018","West Germany","14925","0.575571631416241","0.569302985650309","0.581840277182172"
"Not at all","2018","East Germany","3329","0.52236207897524","0.509834436473372","0.534889721477108"
"Strong","2019","West Germany","38","0.19280572278918","0.144574249672772","0.241037195905588"
"Strong","2019","East Germany","1","","",""
"A little","2019","West Germany","50","0.180116782366316","0.133134445138742","0.22709911959389"
"A little","2019","East Germany","8","","",""
"Not at all","2019","West Germany","169","0.627077494844504","0.567955179546967","0.686199810142042"
"Not at all","2019","East Germany","13","","",""
