"ple0004","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Full Time","in school","","","",""
"Strong","2002","Full Time","inadequately","8","","",""
"Strong","2002","Full Time","general elemantary","25","","",""
"Strong","2002","Full Time","middle vocational","157","0.0362355878331545","0.0308364068911024","0.0416347687752065"
"Strong","2002","Full Time","vocational + Abi","16","","",""
"Strong","2002","Full Time","higher vocational","22","","",""
"Strong","2002","Full Time","higher education","57","0.0229361540625813","0.017302047995327","0.0285702601298356"
"Strong","2002","Part Time","in school","","","",""
"Strong","2002","Part Time","inadequately","1","","",""
"Strong","2002","Part Time","general elemantary","39","0.0701564412330198","0.0504760073163611","0.0898368751496786"
"Strong","2002","Part Time","middle vocational","151","0.0616055033899314","0.0526580932785209","0.0705529135013419"
"Strong","2002","Part Time","vocational + Abi","13","","",""
"Strong","2002","Part Time","higher vocational","17","","",""
"Strong","2002","Part Time","higher education","35","0.0484544427945976","0.0344571041258603","0.062451781463335"
"Strong","2002","Not Working","in school","4","","",""
"Strong","2002","Not Working","inadequately","52","0.3005755381027","0.229970155773081","0.371180920432318"
"Strong","2002","Not Working","general elemantary","424","0.308686409474427","0.285821401149361","0.331551417799492"
"Strong","2002","Not Working","middle vocational","917","0.241882448278076","0.229015701250234","0.254749195305917"
"Strong","2002","Not Working","vocational + Abi","50","0.203637050190122","0.158808864100766","0.248465236279477"
"Strong","2002","Not Working","higher vocational","93","0.209579318551292","0.173244087061604","0.24591455004098"
"Strong","2002","Not Working","higher education","154","0.195041676890466","0.169805503059392","0.220277850721539"
"A little","2002","Full Time","in school","1","","",""
"A little","2002","Full Time","inadequately","22","","",""
"A little","2002","Full Time","general elemantary","156","0.260938451495187","0.228406627408302","0.293470275582073"
"A little","2002","Full Time","middle vocational","1116","0.248094744381153","0.235616165570377","0.260573323191928"
"A little","2002","Full Time","vocational + Abi","121","0.204902694014391","0.171502373407487","0.238303014621295"
"A little","2002","Full Time","higher vocational","238","0.267185264237339","0.238163373040655","0.296207155434023"
"A little","2002","Full Time","higher education","521","0.198710839201494","0.183692958116623","0.213728720286366"
"A little","2002","Part Time","in school","17","","",""
"A little","2002","Part Time","inadequately","15","","",""
"A little","2002","Part Time","general elemantary","197","0.328192931652794","0.292011741644299","0.364374121661289"
"A little","2002","Part Time","middle vocational","717","0.265711443461242","0.249274034064249","0.282148852858235"
"A little","2002","Part Time","vocational + Abi","50","0.19905876410541","0.1543205796022","0.243796948608621"
"A little","2002","Part Time","higher vocational","106","0.312063513190046","0.264916215564136","0.359210810815957"
"A little","2002","Part Time","higher education","216","0.275395711278715","0.246275607912874","0.304515814644556"
"A little","2002","Not Working","in school","25","","",""
"A little","2002","Not Working","inadequately","71","0.432707119509933","0.356412963900991","0.509001275118874"
"A little","2002","Not Working","general elemantary","573","0.377849910035695","0.353851508943229","0.401848311128161"
"A little","2002","Not Working","middle vocational","1601","0.391945506592665","0.377277118062637","0.406613895122692"
"A little","2002","Not Working","vocational + Abi","88","0.334035101650383","0.281531515641669","0.386538687659098"
"A little","2002","Not Working","higher vocational","215","0.465623949656925","0.421092614147369","0.510155285166482"
"A little","2002","Not Working","higher education","377","0.420570967871559","0.389130219684074","0.452011716059043"
"Not at all","2002","Full Time","in school","3","","",""
"Not at all","2002","Full Time","inadequately","33","0.495384194113825","0.371923329525872","0.618845058701778"
"Not at all","2002","Full Time","general elemantary","519","0.705893406085981","0.672139734980308","0.739647077191654"
"Not at all","2002","Full Time","middle vocational","3329","0.715669667785693","0.70263671909337","0.728702616478016"
"Not at all","2002","Full Time","vocational + Abi","424","0.763720558564186","0.728568815198647","0.798872301929726"
"Not at all","2002","Full Time","higher vocational","633","0.70682364788258","0.676966909305472","0.736680386459687"
"Not at all","2002","Full Time","higher education","2134","0.778353006735924","0.762720721376558","0.79398529209529"
"Not at all","2002","Part Time","in school","107","0.85446656382415","0.792398788882115","0.916534338766184"
"Not at all","2002","Part Time","inadequately","42","0.682269133118668","0.562445727244299","0.802092538993036"
