"ple0004","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Not Employed","Male","641","0.216414759204166","0.20209306469703","0.230736453711302"
"Strong","2002","Not Employed","Female","1062","0.252153776417255","0.24023932096687","0.264068231867641"
"Strong","2002","Employed","Male","258","0.0357378221256576","0.0316646246482115","0.0398110196031037"
"Strong","2002","Employed","Female","286","0.0502490608464008","0.0450734462258346","0.055424675466967"
"A little","2002","Not Employed","Male","1139","0.382746967466626","0.365842739553834","0.399651195379417"
"A little","2002","Not Employed","Female","1824","0.378531268841268","0.365223788654334","0.391838749028202"
"A little","2002","Employed","Male","1723","0.223397916972946","0.214258622017422","0.232537211928471"
"A little","2002","Employed","Female","1785","0.283945913209298","0.273263144746743","0.294628681671853"
"Not at all","2002","Not Employed","Male","1396","0.400838273329209","0.383794550328594","0.417881996329823"
"Not at all","2002","Not Employed","Female","2217","0.369314954741476","0.356073368285799","0.382556541197154"
"Not at all","2002","Employed","Male","5998","0.740864260901396","0.731250200689352","0.75047832111344"
"Not at all","2002","Employed","Female","4773","0.665805025944302","0.654629535737567","0.676980516151036"
"Strong","2003","Not Employed","Male","","","",""
"Strong","2003","Not Employed","Female","","","",""
"Strong","2003","Employed","Male","","","",""
"Strong","2003","Employed","Female","","","",""
"A little","2003","Not Employed","Male","","","",""
"A little","2003","Not Employed","Female","","","",""
"A little","2003","Employed","Male","","","",""
"A little","2003","Employed","Female","","","",""
"Not at all","2003","Not Employed","Male","","","",""
"Not at all","2003","Not Employed","Female","","","",""
"Not at all","2003","Employed","Male","","","",""
"Not at all","2003","Employed","Female","","","",""
"Strong","2004","Not Employed","Male","662","0.224796972327773","0.210456100525616","0.23913784412993"
"Strong","2004","Not Employed","Female","1044","0.2566911977295","0.244498080270848","0.268884315188153"
"Strong","2004","Employed","Male","242","0.0403740287520862","0.0358115893348182","0.0449364681693542"
"Strong","2004","Employed","Female","224","0.0461180722650922","0.0409532228423345","0.0512829216878499"
"A little","2004","Not Employed","Male","1099","0.356286071682031","0.339834080423574","0.372738062940488"
"A little","2004","Not Employed","Female","1753","0.374043333860575","0.360536370387449","0.387550297333701"
"A little","2004","Employed","Male","1589","0.233532483640024","0.22372594833827","0.243339018941777"
"A little","2004","Employed","Female","1718","0.289422507575735","0.278255246848647","0.300589768302824"
"Not at all","2004","Not Employed","Male","1494","0.418916955990196","0.401967503826846","0.435866408153547"
"Not at all","2004","Not Employed","Female","2133","0.369265468409925","0.355793927197893","0.382737009621957"
"Not at all","2004","Employed","Male","5319","0.72609348760789","0.715756535123456","0.736430440092324"
"Not at all","2004","Employed","Female","4393","0.664459420159172","0.652832048937851","0.676086791380493"
"Strong","2005","Not Employed","Male","","","",""
"Strong","2005","Not Employed","Female","","","",""
