"ple0004","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","35-65 y.","Single parent ","164","0.281123198021156","0.244410827634362","0.317835568407951","2"
"A little","2002","35-65 y.","(Married) couple without C. ","1524","0.378430646531968","0.363904089078636","0.3929572039853","2"
"A little","2002","35-65 y.","Couple + C. LE 16 ","627","0.222729259531495","0.208415667667748","0.237042851395242","2"
"A little","2002","35-65 y.","1-pers.-HH","367","0.306968128338134","0.281449961350232","0.332486295326035","2"
"A little","2002","16-34 y.","Couple + C. LE and GT 16","56","0.0955345236036228","0.0741521482508199","0.116916898956426","2"
"A little","2002","35-65 y.","Couple + C. GT 16 ","831","0.372346225127796","0.3527840277129","0.391908422542693","2"
"A little","2002","35-65 y.","Couple + C. LE and GT 16","358","0.29788365275237","0.272242333512","0.323524971992741","2"
"A little","2002","66 and older","Couple + C. GT 16 ","83","0.496514963305238","0.420455457082787","0.57257446952769","2"
"A little","2002","16-34 y.","Couple + C. GT 16 ","162","0.10910854732945","0.0932726555530234","0.124944439105876","2"
"A little","2002","66 and older","Couple + C. LE and GT 16","2","","","","2"
"A little","2002","66 and older","Couple + C. LE 16 ","1","","","","2"
"A little","2002","16-34 y.","Couple + C. LE 16 ","254","0.180655301066357","0.161185516748829","0.200125085383884","2"
"A little","2002","16-34 y.","(Married) couple without C. ","153","0.156270988548046","0.134063290686224","0.178478686409869","2"
"A little","2002","16-34 y.","Single parent ","59","0.142226087868996","0.110946834114263","0.173505341623729","2"
"A little","2002","16-34 y.","1-pers.-HH","86","0.112438628806399","0.0893797904317545","0.135497467181044","2"
"A little","2002","66 and older","1-pers.-HH","459","0.44009622194516","0.409970569877026","0.470221874013294","2"
"A little","2002","66 and older","(Married) couple without C. ","1038","0.477815901194645","0.456765423678001","0.498866378711288","2"
"A little","2002","66 and older","Single parent ","33","0.388717708584032","0.28122658173709","0.496208835430975","2"
"Not at all","2002","16-34 y.","Couple + C. LE and GT 16","662","0.889818889450291","0.867042537566039","0.912595241334543","3"
"Not at all","2002","35-65 y.","1-pers.-HH","751","0.592162491679679","0.564973678029784","0.619351305329574","3"
"Not at all","2002","66 and older","Couple + C. GT 16 ","40","0.234764416525064","0.170286980261814","0.299241852788314","3"
"Not at all","2002","66 and older","Couple + C. LE 16 ","3","","","","3"
"Not at all","2002","16-34 y.","Couple + C. GT 16 ","1309","0.877573421479415","0.860924721423502","0.894222121535327","3"
"Not at all","2002","16-34 y.","(Married) couple without C. ","859","0.824974474382516","0.801734597653497","0.848214351111535","3"
"Not at all","2002","66 and older","Couple + C. LE and GT 16","2","","","","3"
"Not at all","2002","16-34 y.","Couple + C. LE 16 ","1214","0.80242684764374","0.782277121334216","0.822576573953264","3"
"Not at all","2002","16-34 y.","Single parent ","405","0.82955552313319","0.795881536877845","0.863229509388535","3"
"Not at all","2002","16-34 y.","1-pers.-HH","620","0.866536236117912","0.841713165253774","0.891359306982049","3"
"Not at all","2002","35-65 y.","(Married) couple without C. ","2267","0.494967027870975","0.4799918234084","0.50994223233355","3"
"Not at all","2002","35-65 y.","Single parent ","357","0.61576006736627","0.576036901053802","0.655483233678739","3"
"Not at all","2002","35-65 y.","Couple + C. LE 16 ","2537","0.75046509017123","0.735578174216041","0.765352006126419","3"
"Not at all","2002","35-65 y.","Couple + C. GT 16 ","1326","0.532056873472324","0.511865788690154","0.552247958254493","3"
"Not at all","2002","35-65 y.","Couple + C. LE and GT 16","812","0.654070152782749","0.627400419570654","0.680739885994845","3"
"Not at all","2002","66 and older","1-pers.-HH","207","0.175171200844022","0.152102709213073","0.198239692474971","3"
"Not at all","2002","66 and older","(Married) couple without C. ","574","0.25093215603681","0.232661313809936","0.269202998263683","3"
"Not at all","2002","66 and older","Single parent ","16","","","","3"
"Strong","2002","16-34 y.","1-pers.-HH","15","","","","1"
"Strong","2002","16-34 y.","(Married) couple without C. ","15","","","","1"
"Strong","2002","16-34 y.","Single parent ","15","","","","1"
"Strong","2002","16-34 y.","Couple + C. LE 16 ","32","0.0169178512899035","0.010391507190689","0.023444195389118","1"
"Strong","2002","16-34 y.","Couple + C. GT 16 ","18","","","","1"
"Strong","2002","16-34 y.","Couple + C. LE and GT 16","8","","","","1"
"Strong","2002","35-65 y.","1-pers.-HH","137","0.100869379982188","0.0842077572050834","0.117531002759292","1"
"Strong","2002","35-65 y.","(Married) couple without C. ","491","0.126602325597057","0.116642502679924","0.136562148514191","1"
"Strong","2002","35-65 y.","Single parent ","55","0.103116734612573","0.0782814360349318","0.127952033190215","1"
"Strong","2002","35-65 y.","Couple + C. LE 16 ","82","0.0268056502972749","0.0212493360963156","0.0323619644982342","1"
"Strong","2002","35-65 y.","Couple + C. GT 16 ","189","0.09559690139988","0.0836985438425523","0.107495258957208","1"
"Strong","2002","35-65 y.","Couple + C. LE and GT 16","52","0.0480461944648804","0.0360553457785592","0.0600370431512015","1"
"Strong","2002","66 and older","1-pers.-HH","377","0.384732577210818","0.355205709519846","0.41425944490179","1"
"Strong","2002","66 and older","(Married) couple without C. ","551","0.271251942768546","0.25251516244574","0.289988723091352","1"
"Strong","2002","66 and older","Single parent ","30","0.421866462728","0.312964394501923","0.530768530954077","1"
"Strong","2002","66 and older","Couple + C. LE 16 ","1","","","","1"
"Strong","2002","66 and older","Couple + C. GT 16 ","43","0.268720620169698","0.20128548887917","0.336155751460225","1"
"Strong","2002","66 and older","Couple + C. LE and GT 16","1","","","","1"
"A little","2003","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"A little","2003","35-65 y.","1-pers.-HH","","","","","2"
"A little","2003","35-65 y.","Single parent ","","","","","2"
"A little","2003","35-65 y.","Couple + C. LE 16 ","","","","","2"
"A little","2003","35-65 y.","(Married) couple without C. ","","","","","2"
"A little","2003","16-34 y.","Couple + C. GT 16 ","","","","","2"
"A little","2003","66 and older","Couple + C. LE and GT 16","","","","","2"
"A little","2003","16-34 y.","Couple + C. LE 16 ","","","","","2"
"A little","2003","16-34 y.","Single parent ","","","","","2"
"A little","2003","16-34 y.","(Married) couple without C. ","","","","","2"
"A little","2003","35-65 y.","Couple + C. GT 16 ","","","","","2"
"A little","2003","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"A little","2003","66 and older","Couple + C. LE 16 ","","","","","2"
"A little","2003","66 and older","Couple + C. GT 16 ","","","","","2"
"A little","2003","16-34 y.","1-pers.-HH","","","","","2"
"A little","2003","66 and older","(Married) couple without C. ","","","","","2"
"A little","2003","66 and older","1-pers.-HH","","","","","2"
"A little","2003","66 and older","Single parent ","","","","","2"
"Not at all","2003","16-34 y.","Couple + C. GT 16 ","","","","","3"
"Not at all","2003","66 and older","Couple + C. LE and GT 16","","","","","3"
