"ple0004","year","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Male","2862","0.273430195011643","0.26515886759538","0.281701522427906","2"
"A little","2002","Female","3609","0.329487933378314","0.32105959981147","0.337916266945159","2"
"Not at all","2002","Male","7394","0.634103193308659","0.6251645299094","0.643041856707918","3"
"Not at all","2002","Female","6990","0.523047653913359","0.514091392048243","0.532003915778475","3"
"Strong","2002","Male","899","0.0924666116796978","0.0870908862144877","0.0978423371449079","1"
"Strong","2002","Female","1348","0.147464412708327","0.141106441889289","0.153822383527364","1"
"A little","2003","Male","","","","","2"
"A little","2003","Female","","","","","2"
"Not at all","2003","Male","","","","","3"
"Not at all","2003","Female","","","","","3"
"Strong","2003","Male","","","","","1"
"Strong","2003","Female","","","","","1"
"A little","2004","Male","2688","0.27543044416947","0.266846773213226","0.284014115125715","2"
"A little","2004","Female","3471","0.330598227845458","0.321911100608814","0.339285355082103","2"
"Not at all","2004","Male","6813","0.6212487298898","0.611928280456145","0.630569179323456","3"
"Not at all","2004","Female","6526","0.520820742587919","0.511595545902486","0.530045939273353","3"
"Strong","2004","Male","904","0.103320825940729","0.0974723928605494","0.109169259020909","1"
"Strong","2004","Female","1268","0.148581029566622","0.142012988857407","0.155149070275838","1"
"A little","2005","Male","","","","","2"
"A little","2005","Female","","","","","2"
"Not at all","2005","Male","","","","","3"
"Not at all","2005","Female","","","","","3"
"Strong","2005","Male","","","","","1"
"Strong","2005","Female","","","","","1"
"A little","2006","Male","2917","0.282381604102941","0.273769660797994","0.290993547407888","2"
"A little","2006","Female","3686","0.342110696372156","0.333453441438865","0.350767951305446","2"
"Not at all","2006","Male","6646","0.61887847623764","0.609587301936174","0.628169650539106","3"
"Not at all","2006","Female","6502","0.516592234869111","0.507473150885988","0.525711318852235","3"
"Strong","2006","Male","933","0.0987399196594187","0.0930329228155661","0.104446916503271","1"
"Strong","2006","Female","1348","0.141297068758733","0.134940708316517","0.147653429200949","1"
"A little","2007","Male","","","","","2"
"A little","2007","Female","","","","","2"
"Not at all","2007","Male","","","","","3"
"Not at all","2007","Female","","","","","3"
"Strong","2007","Male","","","","","1"
"Strong","2007","Female","","","","","1"
"A little","2008","Male","2582","0.283329115365031","0.274139695336443","0.292518535393619","2"
"A little","2008","Female","3208","0.336808897460141","0.327613079102194","0.346004715818088","2"
"Not at all","2008","Male","5805","0.620286018581867","0.6103889424833","0.630183094680434","3"
"Not at all","2008","Female","5731","0.52223013527663","0.512511179589036","0.531949090964224","3"
"Strong","2008","Male","850","0.0963848660531021","0.0903664973377012","0.102403234768503","1"
"Strong","2008","Female","1208","0.140960967263229","0.134190242724867","0.147731691801591","1"
"A little","2009","Male","","","","","2"
"A little","2009","Female","","","","","2"
"Not at all","2009","Male","","","","","3"
"Not at all","2009","Female","","","","","3"
"Strong","2009","Male","","","","","1"
"Strong","2009","Female","","","","","1"
"A little","2010","Male","2377","0.318111899093817","0.307874639233531","0.328349158954104","2"
"A little","2010","Female","2942","0.357061994598862","0.34702448463456","0.367099504563163","2"
"Not at all","2010","Male","4797","0.57531803080047","0.564453196227875","0.586182865373065","3"
"Not at all","2010","Female","4740","0.491216912430077","0.48074387596784","0.501689948892315","3"
"Strong","2010","Male","777","0.106570070105713","0.0997876437218418","0.113352496489583","1"
"Strong","2010","Female","1071","0.151721092971061","0.144205522659691","0.159236663282431","1"
"A little","2011","Male","","","","","2"
"A little","2011","Female","","","","","2"
"Not at all","2011","Male","","","","","3"
"Not at all","2011","Female","","","","","3"
"Strong","2011","Male","","","","","1"
"Strong","2011","Female","","","","","1"
"A little","2012","Male","2936","0.308829684965586","0.299623130910319","0.318036239020852","2"
"A little","2012","Female","3725","0.362089708032912","0.353055268031904","0.371124148033921","2"
"Not at all","2012","Male","5758","0.590917156464964","0.581119685566099","0.600714627363828","3"
"Not at all","2012","Female","5751","0.488970084129417","0.479573334617706","0.498366833641127","3"
"Strong","2012","Male","980","0.100253158569451","0.094268295105647","0.106238022033255","1"
"Strong","2012","Female","1395","0.148940207837671","0.142247538670744","0.155632877004598","1"
"A little","2013","Male","","","","","2"
"A little","2013","Female","","","","","2"
"Not at all","2013","Male","","","","","3"
"Not at all","2013","Female","","","","","3"
"Strong","2013","Male","","","","","1"
"Strong","2013","Female","","","","","1"
"A little","2014","Male","3307","0.28675608736739","0.278815921451263","0.294696253283517","2"
"A little","2014","Female","4428","0.329449675579321","0.321845718190462","0.33705363296818","2"
"Not at all","2014","Male","8070","0.612179285367865","0.603624501658686","0.620734069077044","3"
"Not at all","2014","Female","8602","0.526002034579342","0.517923894223436","0.534080174935247","3"
"Strong","2014","Male","1085","0.101064627264745","0.0957726491203266","0.106356605409164","1"
"Strong","2014","Female","1647","0.144548289841337","0.138859319465562","0.150237260217113","1"
"A little","2015","Male","","","","","2"
"A little","2015","Female","","","","","2"
"Not at all","2015","Male","","","","","3"
"Not at all","2015","Female","","","","","3"
"Strong","2015","Male","","","","","1"
"Strong","2015","Female","","","","","1"
"A little","2016","Male","3539","0.281034939028098","0.273548270340252","0.288521607715944","2"
"A little","2016","Female","4573","0.337435251643817","0.329823672346579","0.345046830941055","2"
"Not at all","2016","Male","9192","0.618403217928426","0.610312393335853","0.626494042521","3"
"Not at all","2016","Female","8532","0.521126308320226","0.513084617414684","0.529167999225767","3"
"Strong","2016","Male","1117","0.100561843043476","0.0955527761720726","0.10557090991488","1"
"Strong","2016","Female","1719","0.141438440035958","0.135828802030554","0.147048078041361","1"
"A little","2017","Male","264","0.142813063934474","0.126032305114915","0.159593822754032","2"
"A little","2017","Female","361","0.299003077936663","0.273510818900555","0.32449533697277","2"
"Not at all","2017","Male","1312","0.818354027667791","0.799862476062038","0.836845579273545","3"
"Not at all","2017","Female","732","0.579161637941841","0.551671938438992","0.60665133744469","3"
"Strong","2017","Male","94","0.0388329083977351","0.0295669731460024","0.0480988436494677","1"
"Strong","2017","Female","146","0.121835284121497","0.103622054214645","0.140048514028348","1"
"A little","2018","Male","3760","0.280122710275534","0.272793811191468","0.2874516093596","2"
