"ple0004","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Strong","2002","(0) in school","in school","4","","",""
"Strong","2002","(0) in school","inadequately","","","",""
"Strong","2002","(0) in school","general elemantary","","","",""
"Strong","2002","(0) in school","middle vocational","","","",""
"Strong","2002","(0) in school","vocational + Abi","","","",""
"Strong","2002","(0) in school","higher vocational","","","",""
"Strong","2002","(0) in school","higher education","","","",""
"Strong","2002","(1a) inadequately completed","in school","","","",""
"Strong","2002","(1a) inadequately completed","inadequately","55","0.209831998154832","0.159051706380607","0.260612289929057"
"Strong","2002","(1a) inadequately completed","general elemantary","","","",""
"Strong","2002","(1a) inadequately completed","middle vocational","7","","",""
"Strong","2002","(1a) inadequately completed","vocational + Abi","","","",""
"Strong","2002","(1a) inadequately completed","higher vocational","2","","",""
"Strong","2002","(1a) inadequately completed","higher education","","","",""
"Strong","2002","(1b) general elementary school","in school","","","",""
"Strong","2002","(1b) general elementary school","inadequately","6","","",""
"Strong","2002","(1b) general elementary school","general elemantary","459","0.228432434405816","0.211104743856497","0.245760124955134"
"Strong","2002","(1b) general elementary school","middle vocational","","","",""
"Strong","2002","(1b) general elementary school","vocational + Abi","","","",""
"Strong","2002","(1b) general elementary school","higher vocational","","","",""
"Strong","2002","(1b) general elementary school","higher education","","","",""
"Strong","2002","(1c) basic vocational qualification","in school","","","",""
"Strong","2002","(1c) basic vocational qualification","inadequately","","","",""
"Strong","2002","(1c) basic vocational qualification","general elemantary","","","",""
"Strong","2002","(1c) basic vocational qualification","middle vocational","928","0.163634304670372","0.154355223487486","0.172913385853258"
"Strong","2002","(1c) basic vocational qualification","vocational + Abi","","","",""
"Strong","2002","(1c) basic vocational qualification","higher vocational","68","0.145406400270839","0.115919202793616","0.174893597748061"
"Strong","2002","(1c) basic vocational qualification","higher education","","","",""
"Strong","2002","(2b) intermediate general qualification","in school","","","",""
"Strong","2002","(2b) intermediate general qualification","inadequately","","","",""
"Strong","2002","(2b) intermediate general qualification","general elemantary","29","","",""
"Strong","2002","(2b) intermediate general qualification","middle vocational","","","",""
"Strong","2002","(2b) intermediate general qualification","vocational + Abi","","","",""
"Strong","2002","(2b) intermediate general qualification","higher vocational","","","",""
