"ple0004","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Strong","2002","16-34 y.","Urban Area","75","0.0202347987230925","0.015927005342799","0.0245425921033861"
"Strong","2002","16-34 y.","Rural Area","32","0.0157973895567063","0.0104206642079943","0.0211741149054182"
"Strong","2002","35-65 y.","Urban Area","677","0.0886394899695767","0.0827474952387949","0.0945314847003584"
"Strong","2002","35-65 y.","Rural Area","374","0.0885005599500828","0.0800767665400683","0.0969243533600972"
"Strong","2002","66 and older","Urban Area","729","0.331197603971465","0.312391761979985","0.350003445962944"
"Strong","2002","66 and older","Rural Area","360","0.314325964374098","0.288275398820138","0.340376529928058"
"A little","2002","16-34 y.","Urban Area","496","0.128188480273059","0.117960727632213","0.138416232913904"
"A little","2002","16-34 y.","Rural Area","294","0.157608965310323","0.14189700912122","0.173320921499426"
"A little","2002","35-65 y.","Urban Area","2563","0.308183880373186","0.298611853252071","0.317755907494301"
"A little","2002","35-65 y.","Rural Area","1445","0.343195398542483","0.329114015362827","0.357276781722139"
"A little","2002","66 and older","Urban Area","1077","0.445042387339345","0.425184599131293","0.464900175547396"
"A little","2002","66 and older","Rural Area","596","0.483044515219108","0.455003849052279","0.511085181385938"
"Not at all","2002","16-34 y.","Urban Area","3533","0.851576721003849","0.840699766390036","0.862453675617662"
"Not at all","2002","16-34 y.","Rural Area","1740","0.826593645132971","0.810268333958887","0.842918956307054"
"Not at all","2002","35-65 y.","Urban Area","5699","0.603176629657237","0.593034608873418","0.613318650441057"
"Not at all","2002","35-65 y.","Rural Area","2548","0.568304041507434","0.553613565820291","0.582994517194578"
"Not at all","2002","66 and older","Urban Area","600","0.223760008689191","0.207107122215299","0.240412895163082"
"Not at all","2002","66 and older","Rural Area","264","0.202629520406794","0.180074168335179","0.225184872478409"
"Strong","2003","16-34 y.","Urban Area","","","",""
"Strong","2003","16-34 y.","Rural Area","","","",""
"Strong","2003","35-65 y.","Urban Area","","","",""
"Strong","2003","35-65 y.","Rural Area","","","",""
"Strong","2003","66 and older","Urban Area","","","",""
"Strong","2003","66 and older","Rural Area","","","",""
"A little","2003","16-34 y.","Urban Area","","","",""
"A little","2003","16-34 y.","Rural Area","","","",""
"A little","2003","35-65 y.","Urban Area","","","",""
"A little","2003","35-65 y.","Rural Area","","","",""
"A little","2003","66 and older","Urban Area","","","",""
"A little","2003","66 and older","Rural Area","","","",""
"Not at all","2003","16-34 y.","Urban Area","","","",""
"Not at all","2003","16-34 y.","Rural Area","","","",""
"Not at all","2003","35-65 y.","Urban Area","","","",""
"Not at all","2003","35-65 y.","Rural Area","","","",""
"Not at all","2003","66 and older","Urban Area","","","",""
"Not at all","2003","66 and older","Rural Area","","","",""
"Strong","2004","16-34 y.","Urban Area","56","0.0175412401404514","0.0133401512518303","0.0217423290290726"
"Strong","2004","16-34 y.","Rural Area","24","","",""
"Strong","2004","35-65 y.","Urban Area","590","0.0895621949597916","0.0833958942067273","0.0957284957128558"
"Strong","2004","35-65 y.","Rural Area","322","0.0877694313869511","0.0790038798203103","0.0965349829535919"
"Strong","2004","66 and older","Urban Area","804","0.346606942040569","0.327989624053494","0.365224260027645"
"Strong","2004","66 and older","Rural Area","376","0.313628543736504","0.288240913704408","0.339016173768601"
"A little","2004","16-34 y.","Urban Area","498","0.133880594066519","0.122983209959877","0.144777978173161"
"A little","2004","16-34 y.","Rural Area","271","0.148758857059973","0.132694618930848","0.164823095189099"
