"ple0004","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Couple + C. LE 16 ","882","0.208839913186435","0.197281598549176","0.220398227823695","2"
"A little","2002","1-pers.-HH","912","0.317325595379335","0.300723003343592","0.333928187415078","2"
"A little","2002","(Married) couple without C. ","2715","0.384655415335866","0.373624164083389","0.395686666588342","2"
"A little","2002","Single parent ","256","0.227002368916841","0.202621687480526","0.251383050353156","2"
"A little","2002","Couple + C. GT 16 ","1076","0.283056148291337","0.269097521877455","0.297014774705219","2"
"A little","2002","Couple + C. LE and GT 16","416","0.218240317667049","0.199921345772448","0.23655928956165","2"
"Not at all","2002","Single parent ","778","0.682900158642676","0.655815823263901","0.70998449402145","3"
"Not at all","2002","Couple + C. LE 16 ","3754","0.767461811550851","0.755449375036035","0.779474248065667","3"
"Not at all","2002","1-pers.-HH","1578","0.489906500911478","0.472074584073525","0.50773841774943","3"
"Not at all","2002","(Married) couple without C. ","3700","0.453094144721766","0.441807101947871","0.46438118749566","3"
"Not at all","2002","Couple + C. GT 16 ","2675","0.641496454889759","0.626636835934492","0.656356073845025","3"
"Not at all","2002","Couple + C. LE and GT 16","1476","0.746836645923568","0.727552065259729","0.766121226587406","3"
"Strong","2002","1-pers.-HH","529","0.192767903709187","0.178696639826993","0.206839167591381","1"
"Strong","2002","(Married) couple without C. ","1057","0.162250439942369","0.153890951432755","0.170609928451983","1"
"Strong","2002","Single parent ","100","0.0900974724404834","0.073432856727047","0.10676208815392","1"
"Strong","2002","Couple + C. LE 16 ","115","0.0236982752627133","0.0193730774579331","0.0280234730674935","1"
"Strong","2002","Couple + C. GT 16 ","250","0.0754473968189045","0.0672636580466224","0.0836311355911866","1"
"Strong","2002","Couple + C. LE and GT 16","61","0.0349230364093832","0.0267809830859889","0.0430650897327774","1"
"A little","2003","Couple + C. LE 16 ","","","","","2"
"A little","2003","1-pers.-HH","","","","","2"
"A little","2003","(Married) couple without C. ","","","","","2"
"A little","2003","Single parent ","","","","","2"
"A little","2003","Couple + C. GT 16 ","","","","","2"
"A little","2003","Couple + C. LE and GT 16","","","","","2"
"Not at all","2003","1-pers.-HH","","","","","3"
"Not at all","2003","(Married) couple without C. ","","","","","3"
"Not at all","2003","Single parent ","","","","","3"
"Not at all","2003","Couple + C. LE 16 ","","","","","3"
"Not at all","2003","Couple + C. GT 16 ","","","","","3"
"Not at all","2003","Couple + C. LE and GT 16","","","","","3"
