"ple0004","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Strong","2002","16-34 y.","Male","43","0.0171386883165729","0.0124748926288243","0.0218024840043216"
"Strong","2002","16-34 y.","Female","64","0.0205960376076918","0.0156712735766037","0.02552080163878"
"Strong","2002","35-65 y.","Male","471","0.0782999456746977","0.0717990722790688","0.0848008190703265"
"Strong","2002","35-65 y.","Female","580","0.0990480828627377","0.0919195728093385","0.106176592916137"
"Strong","2002","66 and older","Male","385","0.251094334234419","0.229977802058768","0.272210866410071"
"Strong","2002","66 and older","Female","704","0.376840640978608","0.355634528795306","0.39804675316191"
"A little","2002","16-34 y.","Male","298","0.101087269074608","0.0902551954404337","0.111919342708782"
"A little","2002","16-34 y.","Female","492","0.175009697201879","0.16183416586276","0.188185228540998"
"A little","2002","35-65 y.","Male","1812","0.293917766008432","0.282893828760126","0.304941703256739"
"A little","2002","35-65 y.","Female","2196","0.344566749201567","0.333226415344393","0.35590708305874"
"A little","2002","66 and older","Male","752","0.466982961176135","0.442688255211101","0.491277667141169"
"A little","2002","66 and older","Female","921","0.450001305467477","0.428230708252579","0.471771902682375"
"Not at all","2002","16-34 y.","Male","2634","0.881774042608819","0.87017186042224","0.893376224795399"
"Not at all","2002","16-34 y.","Female","2639","0.804394265190429","0.790639982873743","0.818148547507116"
"Not at all","2002","35-65 y.","Male","4277","0.62778228831687","0.61608462228445","0.63947995434929"
"Not at all","2002","35-65 y.","Female","3970","0.556385167935696","0.544529781254212","0.568240554617179"
"Not at all","2002","66 and older","Male","483","0.281922704589445","0.26001276359922","0.303832645579671"
"Not at all","2002","66 and older","Female","381","0.173158053553915","0.156599773460536","0.189716333647293"
"Strong","2003","16-34 y.","Male","","","",""
"Strong","2003","16-34 y.","Female","","","",""
"Strong","2003","35-65 y.","Male","","","",""
"Strong","2003","35-65 y.","Female","","","",""
"Strong","2003","66 and older","Male","","","",""
"Strong","2003","66 and older","Female","","","",""
"A little","2003","16-34 y.","Male","","","",""
"A little","2003","16-34 y.","Female","","","",""
"A little","2003","35-65 y.","Male","","","",""
"A little","2003","35-65 y.","Female","","","",""
"A little","2003","66 and older","Male","","","",""
"A little","2003","66 and older","Female","","","",""
"Not at all","2003","16-34 y.","Male","","","",""
"Not at all","2003","16-34 y.","Female","","","",""
"Not at all","2003","35-65 y.","Male","","","",""
"Not at all","2003","35-65 y.","Female","","","",""
"Not at all","2003","66 and older","Male","","","",""
"Not at all","2003","66 and older","Female","","","",""
"Strong","2004","16-34 y.","Male","31","0.0130580598926659","0.00877918215017625","0.0173369376351556"
"Strong","2004","16-34 y.","Female","49","0.0200932055917534","0.0150141483610383","0.0251722628224685"
"Strong","2004","35-65 y.","Male","424","0.0858631104914197","0.0787617306915214","0.092964490291318"
"Strong","2004","35-65 y.","Female","488","0.0921995334183091","0.0850339571670869","0.0993651096695313"
"Strong","2004","66 and older","Male","449","0.274218372797771","0.253147487779766","0.295289257815777"
"Strong","2004","66 and older","Female","731","0.380657569868717","0.359745804673508","0.401569335063927"
"A little","2004","16-34 y.","Male","276","0.104771060217887","0.0932276940205265","0.116314426415247"
"A little","2004","16-34 y.","Female","493","0.173855833800003","0.160137901274806","0.1875737663252"
"A little","2004","35-65 y.","Male","1664","0.293636201363595","0.282092294090787","0.305180108636402"
"A little","2004","35-65 y.","Female","2055","0.347451510628564","0.335657946964334","0.359245074292795"
"A little","2004","66 and older","Male","748","0.45102312179058","0.427520952654161","0.474525290926998"
"A little","2004","66 and older","Female","923","0.439729869179145","0.41835272138371","0.461107016974579"
"Not at all","2004","16-34 y.","Male","2397","0.882170879889447","0.87001888932675","0.894322870452145"
"Not at all","2004","16-34 y.","Female","2390","0.806050960608243","0.791739262242374","0.820362658974113"
"Not at all","2004","35-65 y.","Male","3891","0.620500688144986","0.608200537104723","0.632800839185248"
"Not at all","2004","35-65 y.","Female","3719","0.560348955953127","0.548055474302369","0.572642437603885"
"Not at all","2004","66 and older","Male","525","0.274758505411649","0.253674728502428","0.29584228232087"
"Not at all","2004","66 and older","Female","417","0.179612560952138","0.163080161301025","0.196144960603252"
"Strong","2005","16-34 y.","Male","","","",""
"Strong","2005","16-34 y.","Female","","","",""
"Strong","2005","35-65 y.","Male","","","",""
"Strong","2005","35-65 y.","Female","","","",""
"Strong","2005","66 and older","Male","","","",""
"Strong","2005","66 and older","Female","","","",""
"A little","2005","16-34 y.","Male","","","",""
"A little","2005","16-34 y.","Female","","","",""
"A little","2005","35-65 y.","Male","","","",""
"A little","2005","35-65 y.","Female","","","",""
"A little","2005","66 and older","Male","","","",""
"A little","2005","66 and older","Female","","","",""
"Not at all","2005","16-34 y.","Male","","","",""
"Not at all","2005","16-34 y.","Female","","","",""
"Not at all","2005","35-65 y.","Male","","","",""
"Not at all","2005","35-65 y.","Female","","","",""
"Not at all","2005","66 and older","Male","","","",""
"Not at all","2005","66 and older","Female","","","",""
"Strong","2006","16-34 y.","Male","25","","",""
"Strong","2006","16-34 y.","Female","34","0.0128654000648394","0.00861700492545575","0.017113795204223"
"Strong","2006","35-65 y.","Male","414","0.0821157995642551","0.0751522308469615","0.0890793682815486"
"Strong","2006","35-65 y.","Female","491","0.0842258665723709","0.0774454939690663","0.0910062391756756"
"Strong","2006","66 and older","Male","494","0.252529997047038","0.233894704500499","0.271165289593576"
"Strong","2006","66 and older","Female","823","0.370472009099616","0.351102609782987","0.389841408416245"
"A little","2006","16-34 y.","Male","273","0.126756008725376","0.113546933688658","0.139965083762094"
"A little","2006","16-34 y.","Female","510","0.194068571052922","0.179159461074076","0.208977681031768"
"A little","2006","35-65 y.","Male","1732","0.293812359249349","0.282258697681689","0.305366020817009"
"A little","2006","35-65 y.","Female","2112","0.357219283717006","0.34552064046472","0.368917926969292"
"A little","2006","66 and older","Male","912","0.445598925403305","0.424279919837684","0.466917930968927"
"A little","2006","66 and older","Female","1064","0.444639306247605","0.424708612076015","0.464570000419196"
"Not at all","2006","16-34 y.","Male","2139","0.860972971686356","0.847236831787537","0.874709111585174"
"Not at all","2006","16-34 y.","Female","2159","0.793066028882239","0.777794038643604","0.808338019120873"
"Not at all","2006","35-65 y.","Male","3825","0.624071841186396","0.611786300406099","0.636357381966692"
"Not at all","2006","35-65 y.","Female","3842","0.558554849710623","0.546431910744589","0.570677788676657"
"Not at all","2006","66 and older","Male","682","0.301871077549657","0.282180365935972","0.321561789163341"
"Not at all","2006","66 and older","Female","501","0.184888684652779","0.169318471528866","0.200458897776692"
"Strong","2007","16-34 y.","Male","","","",""
"Strong","2007","16-34 y.","Female","","","",""
"Strong","2007","35-65 y.","Male","","","",""
"Strong","2007","35-65 y.","Female","","","",""
"Strong","2007","66 and older","Male","","","",""
"Strong","2007","66 and older","Female","","","",""
"A little","2007","16-34 y.","Male","","","",""
"A little","2007","16-34 y.","Female","","","",""
"A little","2007","35-65 y.","Male","","","",""
"A little","2007","35-65 y.","Female","","","",""
"A little","2007","66 and older","Male","","","",""
"A little","2007","66 and older","Female","","","",""
"Not at all","2007","16-34 y.","Male","","","",""
"Not at all","2007","16-34 y.","Female","","","",""
"Not at all","2007","35-65 y.","Male","","","",""
"Not at all","2007","35-65 y.","Female","","","",""
"Not at all","2007","66 and older","Male","","","",""
"Not at all","2007","66 and older","Female","","","",""
"Strong","2008","16-34 y.","Male","22","","",""
"Strong","2008","16-34 y.","Female","36","0.0155959086852909","0.0105144068344445","0.0206774105361373"
"Strong","2008","35-65 y.","Male","344","0.0753830100965869","0.0681429808763803","0.0826230393167935"
"Strong","2008","35-65 y.","Female","441","0.0933639137030229","0.0857185247300554","0.10100930267599"
"Strong","2008","66 and older","Male","484","0.244895048146077","0.226270884636522","0.263519211655631"
"Strong","2008","66 and older","Female","731","0.339301426271763","0.319951527370731","0.358651325172795"
"A little","2008","16-34 y.","Male","249","0.117096083493291","0.103281431235932","0.130910735750651"
"A little","2008","16-34 y.","Female","418","0.190727681471681","0.174615503562886","0.206839859380476"
"A little","2008","35-65 y.","Male","1422","0.290540357591297","0.27808977344117","0.302990941741424"
"A little","2008","35-65 y.","Female","1766","0.345718559133827","0.33322065442857","0.358216463839084"
"A little","2008","66 and older","Male","911","0.460331887012246","0.438745397386765","0.481918376637727"
"A little","2008","66 and older","Female","1024","0.443611975433707","0.423308298673873","0.463915652193542"
"Not at all","2008","16-34 y.","Male","1810","0.866195209489424","0.851568192329605","0.880822226649242"
"Not at all","2008","16-34 y.","Female","1830","0.793676409843028","0.77708068519993","0.810272134486127"
"Not at all","2008","35-65 y.","Male","3342","0.634076632312116","0.620867064976642","0.647286199647589"
"Not at all","2008","35-65 y.","Female","3356","0.56091752716315","0.547876370349223","0.573958683977078"
"Not at all","2008","66 and older","Male","653","0.294773064841677","0.2750265043971","0.314519625286255"
"Not at all","2008","66 and older","Female","545","0.21708659829453","0.200238241793909","0.233934954795151"
"Strong","2009","16-34 y.","Male","","","",""
"Strong","2009","16-34 y.","Female","","","",""
"Strong","2009","35-65 y.","Male","","","",""
"Strong","2009","35-65 y.","Female","","","",""
"Strong","2009","66 and older","Male","","","",""
"Strong","2009","66 and older","Female","","","",""
"A little","2009","16-34 y.","Male","","","",""
"A little","2009","16-34 y.","Female","","","",""
"A little","2009","35-65 y.","Male","","","",""
"A little","2009","35-65 y.","Female","","","",""
"A little","2009","66 and older","Male","","","",""
"A little","2009","66 and older","Female","","","",""
"Not at all","2009","16-34 y.","Male","","","",""
"Not at all","2009","16-34 y.","Female","","","",""
"Not at all","2009","35-65 y.","Male","","","",""
"Not at all","2009","35-65 y.","Female","","","",""
"Not at all","2009","66 and older","Male","","","",""
"Not at all","2009","66 and older","Female","","","",""
"Strong","2010","16-34 y.","Male","22","","",""
"Strong","2010","16-34 y.","Female","23","","",""
"Strong","2010","35-65 y.","Male","308","0.0834275579123381","0.0751652651161732","0.0916898507085031"
"Strong","2010","35-65 y.","Female","397","0.103574859783895","0.094920447382782","0.112229272185008"
"Strong","2010","66 and older","Male","447","0.247189893777713","0.227899438199726","0.266480349355701"
"Strong","2010","66 and older","Female","651","0.328232054949688","0.308285844611192","0.348178265288184"
"A little","2010","16-34 y.","Male","217","0.134986357145089","0.118870317041064","0.151102397249114"
"A little","2010","16-34 y.","Female","365","0.199385358006886","0.181237864565133","0.217532851448638"
"A little","2010","35-65 y.","Male","1322","0.34570630405878","0.33149603059868","0.35991657751888"
"A little","2010","35-65 y.","Female","1600","0.36188084188926","0.348232274033138","0.375529409745383"
"A little","2010","66 and older","Male","838","0.441303474192273","0.419098970663958","0.463507977720588"
"A little","2010","66 and older","Female","977","0.455367889519159","0.434213861112409","0.476521917925908"
"Not at all","2010","16-34 y.","Male","1488","0.84558880203845","0.828546787559696","0.862630816517203"
"Not at all","2010","16-34 y.","Female","1474","0.791113980680876","0.772649696770605","0.809578264591147"
"Not at all","2010","35-65 y.","Male","2673","0.570866138028882","0.55607757584195","0.585654700215813"
"Not at all","2010","35-65 y.","Female","2765","0.534544298326845","0.520377085322768","0.548711511330921"
"Not at all","2010","66 and older","Male","636","0.311506632030014","0.290797211940566","0.332216052119462"
"Not at all","2010","66 and older","Female","501","0.216400055531154","0.198908189497736","0.233891921564571"
"Strong","2011","16-34 y.","Male","","","",""
"Strong","2011","16-34 y.","Female","","","",""
"Strong","2011","35-65 y.","Male","","","",""
"Strong","2011","35-65 y.","Female","","","",""
"Strong","2011","66 and older","Male","","","",""
"Strong","2011","66 and older","Female","","","",""
"A little","2011","16-34 y.","Male","","","",""
"A little","2011","16-34 y.","Female","","","",""
"A little","2011","35-65 y.","Male","","","",""
"A little","2011","35-65 y.","Female","","","",""
"A little","2011","66 and older","Male","","","",""
"A little","2011","66 and older","Female","","","",""
"Not at all","2011","16-34 y.","Male","","","",""
"Not at all","2011","16-34 y.","Female","","","",""
"Not at all","2011","35-65 y.","Male","","","",""
"Not at all","2011","35-65 y.","Female","","","",""
"Not at all","2011","66 and older","Male","","","",""
"Not at all","2011","66 and older","Female","","","",""
"Strong","2012","16-34 y.","Male","23","","",""
"Strong","2012","16-34 y.","Female","34","0.0183375579409448","0.0126833514015103","0.0239917644803794"
"Strong","2012","35-65 y.","Male","402","0.0786170998158017","0.0712814362448608","0.0859527633867426"
"Strong","2012","35-65 y.","Female","542","0.0997958755239312","0.0922200618514659","0.107371689196397"
"Strong","2012","66 and older","Male","555","0.237462470391683","0.220868148114016","0.25405679266935"
"Strong","2012","66 and older","Female","819","0.325374419925791","0.307685887097399","0.343062952754183"
"A little","2012","16-34 y.","Male","249","0.143253780452058","0.12781105677074","0.158696504133376"
"A little","2012","16-34 y.","Female","447","0.21471351175898","0.19740883141368","0.23201819210428"
"A little","2012","35-65 y.","Male","1588","0.326634601845657","0.313852057301663","0.339417146389652"
"A little","2012","35-65 y.","Female","2088","0.377143634101814","0.364893246397058","0.38939402180657"
"A little","2012","66 and older","Male","1099","0.437598602712904","0.418252540648117","0.456944664777692"
"A little","2012","66 and older","Female","1190","0.441622977850723","0.422874832739189","0.460371122962256"
"Not at all","2012","16-34 y.","Male","1705","0.843687953654059","0.827680144248769","0.859695763059349"
"Not at all","2012","16-34 y.","Female","1682","0.766948930300075","0.749132175437334","0.784765685162817"
