"ple0004","year","education","n","percent","lower_confidence","upper_confidence"
"Strong","2002","lower secondary degree","1360","0.180400046284611","0.172156459914044","0.188643632655179"
"Strong","2002","secondary school degree","397","0.0752705839145673","0.0689565935197597","0.0815845743093749"
"Strong","2002","college entrance qualification","242","0.060103835973696","0.0538798647985665","0.0663278071488255"
"Strong","2002","Other degree","166","0.125608802866393","0.10773736033823","0.143480245394555"
"Strong","2002","no degree/no degree yet","68","0.0919227147730659","0.0731820268195432","0.110663402726589"
"A little","2002","lower secondary degree","2988","0.368729482769434","0.358386195350835","0.379072770188033"
"A little","2002","secondary school degree","1755","0.267639812589736","0.257044307609074","0.278235317570397"
"A little","2002","college entrance qualification","1105","0.218303926541992","0.207486442140496","0.229121410943489"
"A little","2002","Other degree","427","0.335441479444181","0.309980700871389","0.360902258016972"
"A little","2002","no degree/no degree yet","159","0.212353955276689","0.185825715898875","0.238882194654502"
"Not at all","2002","lower secondary degree","4010","0.450870470945955","0.440203031085535","0.461537910806374"
"Not at all","2002","secondary school degree","4555","0.657089603495697","0.645729388202751","0.668449818788642"
"Not at all","2002","college entrance qualification","4255","0.721592237484312","0.709855074505447","0.733329400463177"
"Not at all","2002","Other degree","728","0.538949717689427","0.512068746664639","0.565830688714214"
"Not at all","2002","no degree/no degree yet","686","0.695723329950245","0.665878760833245","0.725567899067246"
"Strong","2003","lower secondary degree","","","",""
"Strong","2003","secondary school degree","","","",""
"Strong","2003","college entrance qualification","","","",""
"Strong","2003","Other degree","","","",""
"Strong","2003","no degree/no degree yet","","","",""
"A little","2003","lower secondary degree","","","",""
"A little","2003","secondary school degree","","","",""
"A little","2003","college entrance qualification","","","",""
"A little","2003","Other degree","","","",""
"A little","2003","no degree/no degree yet","","","",""
"Not at all","2003","lower secondary degree","","","",""
"Not at all","2003","secondary school degree","","","",""
"Not at all","2003","college entrance qualification","","","",""
"Not at all","2003","Other degree","","","",""
"Not at all","2003","no degree/no degree yet","","","",""
"Strong","2004","lower secondary degree","1313","0.190611781617933","0.181762442485247","0.19946112075062"
"Strong","2004","secondary school degree","388","0.0785234577603667","0.0718758617579412","0.0851710537627921"
"Strong","2004","college entrance qualification","235","0.0640834048624175","0.0575405451648515","0.0706262645599835"
"Strong","2004","Other degree","166","0.163645154992429","0.142660936862907","0.184629373121951"
"Strong","2004","no degree/no degree yet","56","0.0877727697167464","0.0693778639717791","0.106167675461714"
"A little","2004","lower secondary degree","2754","0.371201405477618","0.360316664054664","0.382086146900572"
"A little","2004","secondary school degree","1719","0.284911250703065","0.273756559799216","0.296065941606915"
"A little","2004","college entrance qualification","1104","0.224554550877513","0.21340614425554","0.235702957499485"
"A little","2004","Other degree","380","0.306047705835514","0.279907722900949","0.33218768877008"
"A little","2004","no degree/no degree yet","156","0.200758523377693","0.174718453068548","0.226798593686839"
"Not at all","2004","lower secondary degree","3501","0.438186812904448","0.42700832283058","0.449365302978317"
"Not at all","2004","secondary school degree","4183","0.636565291536568","0.624678697069602","0.648451886003534"
"Not at all","2004","college entrance qualification","4043","0.71136204426007","0.699256110065557","0.723467978454582"
"Not at all","2004","Other degree","648","0.530307139172056","0.501998653100355","0.558615625243758"
"Not at all","2004","no degree/no degree yet","697","0.71146870690556","0.68201496262519","0.74092245118593"
"Strong","2005","lower secondary degree","","","",""
"Strong","2005","secondary school degree","","","",""
"Strong","2005","college entrance qualification","","","",""
"Strong","2005","Other degree","","","",""
"Strong","2005","no degree/no degree yet","","","",""
"A little","2005","lower secondary degree","","","",""
"A little","2005","secondary school degree","","","",""
"A little","2005","college entrance qualification","","","",""
"A little","2005","Other degree","","","",""
"A little","2005","no degree/no degree yet","","","",""
"Not at all","2005","lower secondary degree","","","",""
"Not at all","2005","secondary school degree","","","",""
"Not at all","2005","college entrance qualification","","","",""
"Not at all","2005","Other degree","","","",""
"Not at all","2005","no degree/no degree yet","","","",""
"Strong","2006","lower secondary degree","1340","0.184870776909259","0.176155905494955","0.193585648323563"
"Strong","2006","secondary school degree","431","0.0793783840056815","0.0727954526006388","0.0859613154107242"
"Strong","2006","college entrance qualification","247","0.0540264182094185","0.0481185687588906","0.0599342676599464"
"Strong","2006","Other degree","179","0.161853089188131","0.141005344958591","0.182700833417671"
"Strong","2006","no degree/no degree yet","65","0.123799320867225","0.098596039075813","0.149002602658638"
"A little","2006","lower secondary degree","2847","0.375113499553205","0.364244350686591","0.385982648419819"
