"ple0004","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","direct migration background","Female","480","0.336067562564577","0.311729328292224","0.360405796836929","2"
"A little","2002","no migration background","Male","2442","0.274061844378202","0.265053544233347","0.283070144523056","2"
"A little","2002","no migration background","Female","3061","0.33214931796614","0.322960369000518","0.341338266931762","2"
"A little","2002","direct migration background","Male","375","0.296262661366445","0.272039795605894","0.320485527126996","2"
"A little","2002","indirect migration background","Male","45","0.148369519285552","0.112247288391948","0.184491750179155","2"
"A little","2002","indirect migration background","Female","68","0.218064305083936","0.177996475330209","0.258132134837663","2"
"Not at all","2002","direct migration background","Male","866","0.615769943826477","0.589965965056755","0.641573922596199","3"
"Not at all","2002","direct migration background","Female","785","0.522032757339187","0.496295529332673","0.547769985345701","3"
"Not at all","2002","no migration background","Male","6213","0.631326009883427","0.621582468396604","0.64106955137025","3"
"Not at all","2002","no migration background","Female","5884","0.516456262727586","0.506706498229715","0.526206027225457","3"
"Not at all","2002","indirect migration background","Male","315","0.802986610078338","0.762568254088714","0.843404966067963","3"
"Not at all","2002","indirect migration background","Female","321","0.728167092942993","0.684996844444728","0.771337341441258","3"
"Strong","2002","no migration background","Male","763","0.0946121457383714","0.0887011652457886","0.100523126230954","1"
"Strong","2002","no migration background","Female","1147","0.151394419306274","0.144401357846957","0.158387480765591","1"
"Strong","2002","direct migration background","Male","124","0.0879673948070781","0.0729412415923857","0.10299354802177","1"
"Strong","2002","direct migration background","Female","182","0.141899680096236","0.123920347534625","0.159879012657848","1"
"Strong","2002","indirect migration background","Male","12","","","","1"
"Strong","2002","indirect migration background","Female","19","","","","1"
"A little","2003","direct migration background","Female","","","","","2"
"A little","2003","no migration background","Male","","","","","2"
"A little","2003","no migration background","Female","","","","","2"
"A little","2003","direct migration background","Male","","","","","2"
"A little","2003","indirect migration background","Male","","","","","2"
"A little","2003","indirect migration background","Female","","","","","2"
"Not at all","2003","no migration background","Male","","","","","3"
"Not at all","2003","no migration background","Female","","","","","3"
"Not at all","2003","direct migration background","Male","","","","","3"
"Not at all","2003","direct migration background","Female","","","","","3"
"Not at all","2003","indirect migration background","Male","","","","","3"
"Not at all","2003","indirect migration background","Female","","","","","3"
"Strong","2003","no migration background","Male","","","","","1"
"Strong","2003","no migration background","Female","","","","","1"
"Strong","2003","direct migration background","Male","","","","","1"
"Strong","2003","direct migration background","Female","","","","","1"
"Strong","2003","indirect migration background","Male","","","","","1"
"Strong","2003","indirect migration background","Female","","","","","1"
"A little","2004","direct migration background","Male","341","0.288007303288373","0.262617928421836","0.31339667815491","2"
"A little","2004","direct migration background","Female","435","0.318287230445305","0.293177463282404","0.343396997608206","2"
"A little","2004","no migration background","Male","2309","0.280141143062037","0.270754902538744","0.289527383585329","2"
"A little","2004","no migration background","Female","2960","0.338298483947721","0.328795887429024","0.347801080466418","2"
"A little","2004","indirect migration background","Male","38","0.117279358271184","0.0853464686994095","0.149212247842958","2"
"A little","2004","indirect migration background","Female","76","0.18730138583664","0.149988511906226","0.224614259767055","2"
"Not at all","2004","no migration background","Female","5480","0.509683087251447","0.4996427165641","0.519723457938793","3"
"Not at all","2004","direct migration background","Male","761","0.609873137430097","0.582524533103382","0.637221741756811","3"
"Not at all","2004","direct migration background","Female","719","0.531305969957499","0.504406146965191","0.558205792949807","3"
"Not at all","2004","no migration background","Male","5704","0.612300379534094","0.602116587856575","0.622484171211614","3"
"Not at all","2004","indirect migration background","Male","348","0.875404300047435","0.842627115045002","0.908181485049868","3"
"Not at all","2004","indirect migration background","Female","327","0.756762987386174","0.71573140955048","0.797794565221868","3"
"Strong","2004","no migration background","Male","780","0.107558477403869","0.101082702244125","0.114034252563614","1"
"Strong","2004","no migration background","Female","1083","0.152018428800832","0.144807312072901","0.159229545528764","1"
"Strong","2004","direct migration background","Male","120","0.10211955928153","0.0851419627087089","0.119097155854352","1"
"Strong","2004","direct migration background","Female","168","0.150406799597197","0.131137247829926","0.169676351364467","1"
"Strong","2004","indirect migration background","Male","4","","","","1"
"Strong","2004","indirect migration background","Female","17","","","","1"
"A little","2005","direct migration background","Male","","","","","2"
"A little","2005","direct migration background","Female","","","","","2"
"A little","2005","no migration background","Male","","","","","2"
"A little","2005","no migration background","Female","","","","","2"
"A little","2005","indirect migration background","Male","","","","","2"
"A little","2005","indirect migration background","Female","","","","","2"
"Not at all","2005","no migration background","Female","","","","","3"
"Not at all","2005","direct migration background","Male","","","","","3"
"Not at all","2005","direct migration background","Female","","","","","3"
"Not at all","2005","no migration background","Male","","","","","3"
"Not at all","2005","indirect migration background","Male","","","","","3"
"Not at all","2005","indirect migration background","Female","","","","","3"
"Strong","2005","no migration background","Male","","","","","1"
"Strong","2005","no migration background","Female","","","","","1"
"Strong","2005","direct migration background","Male","","","","","1"
"Strong","2005","direct migration background","Female","","","","","1"
"Strong","2005","indirect migration background","Male","","","","","1"
"Strong","2005","indirect migration background","Female","","","","","1"
"A little","2006","direct migration background","Male","351","0.331314492106107","0.303549680800292","0.359079303411923","2"
"A little","2006","direct migration background","Female","441","0.363020040741182","0.336707490174871","0.389332591307494","2"
"A little","2006","no migration background","Male","2519","0.28267042345044","0.273366317436172","0.291974529464709","2"
"A little","2006","no migration background","Female","3164","0.34621519254123","0.336807734619991","0.355622650462468","2"
