"ple0004","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Schleswig-Holstein","lower secondary degree","52","0.186506005467452","0.141981612031309","0.231030398903594"
"Strong","2002","Schleswig-Holstein","secondary school degree","12","","",""
"Strong","2002","Schleswig-Holstein","college entrance qualification","5","","",""
"Strong","2002","Schleswig-Holstein","Other degree","","","",""
"Strong","2002","Schleswig-Holstein","no degree/no degree yet","4","","",""
"Strong","2002","Hamburg","lower secondary degree","24","","",""
"Strong","2002","Hamburg","secondary school degree","13","","",""
"Strong","2002","Hamburg","college entrance qualification","4","","",""
"Strong","2002","Hamburg","Other degree","1","","",""
"Strong","2002","Hamburg","no degree/no degree yet","","","",""
"Strong","2002","Lower Saxony","lower secondary degree","116","0.156583738406142","0.130781052295014","0.18238642451727"
"Strong","2002","Lower Saxony","secondary school degree","37","0.0747177500265715","0.0533192612887199","0.096116238764423"
"Strong","2002","Lower Saxony","college entrance qualification","23","","",""
"Strong","2002","Lower Saxony","Other degree","10","","",""
"Strong","2002","Lower Saxony","no degree/no degree yet","4","","",""
"Strong","2002","Bremen","lower secondary degree","15","","",""
"Strong","2002","Bremen","secondary school degree","","","",""
"Strong","2002","Bremen","college entrance qualification","2","","",""
"Strong","2002","Bremen","Other degree","2","","",""
"Strong","2002","Bremen","no degree/no degree yet","","","",""
"Strong","2002","North Rhine-Westphalia","lower secondary degree","286","0.175572793029908","0.158136827368653","0.193008758691163"
"Strong","2002","North Rhine-Westphalia","secondary school degree","59","0.085167507751874","0.0681949194368597","0.102140096066888"
"Strong","2002","North Rhine-Westphalia","college entrance qualification","57","0.0572757040706701","0.0448803546189627","0.0696710535223774"
"Strong","2002","North Rhine-Westphalia","Other degree","39","0.110019981021248","0.0781789554709505","0.141861006571546"
"Strong","2002","North Rhine-Westphalia","no degree/no degree yet","15","","",""
"Strong","2002","Hesse","lower secondary degree","112","0.241388594389911","0.204956997061612","0.27782019171821"
"Strong","2002","Hesse","secondary school degree","24","","",""
"Strong","2002","Hesse","college entrance qualification","16","","",""
"Strong","2002","Hesse","Other degree","21","","",""
"Strong","2002","Hesse","no degree/no degree yet","12","","",""
"Strong","2002","Rhineland-Palatinate,Saarland","lower secondary degree","95","0.151143473711347","0.123919650612722","0.178367296809971"
"Strong","2002","Rhineland-Palatinate,Saarland","secondary school degree","14","","",""
"Strong","2002","Rhineland-Palatinate,Saarland","college entrance qualification","13","","",""
"Strong","2002","Rhineland-Palatinate,Saarland","Other degree","11","","",""
"Strong","2002","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"Strong","2002","Baden-Württemberg","lower secondary degree","124","0.155902665919364","0.133618456192034","0.178186875646694"
