"ple0004","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Not Employed","West Germany","2124","0.370038896053117","0.357989744567039","0.382088047539195","2"
"A little","2002","Not Employed","East Germany","839","0.418410207091819","0.397366924005278","0.439453490178359","2"
"A little","2002","Employed","West Germany","2564","0.24176797781393","0.233938275860804","0.249597679767056","2"
"A little","2002","Employed","East Germany","944","0.2911627207973","0.275746560072467","0.306578881522134","2"
"Not at all","2002","Not Employed","West Germany","2816","0.393772859065718","0.381579693079032","0.405966025052404","3"
"Not at all","2002","Not Employed","East Germany","797","0.333907928399926","0.313789943764664","0.354025913035187","3"
"Not at all","2002","Employed","West Germany","8488","0.713991605290453","0.705727787677431","0.722255422903475","3"
"Not at all","2002","Employed","East Germany","2283","0.676193785828383","0.660315147849989","0.692072423806777","3"
"Strong","2002","Not Employed","West Germany","1228","0.236188244881165","0.22558843155582","0.246788058206511","1"
"Strong","2002","Not Employed","East Germany","475","0.247681864508256","0.229267707405165","0.266096021611347","1"
"Strong","2002","Employed","West Germany","435","0.0442404168956166","0.0404800630240229","0.0480007707672103","1"
"Strong","2002","Employed","East Germany","109","0.0326434933743167","0.0266133635384909","0.0386736232101425","1"
"A little","2003","Not Employed","West Germany","","","","","2"
"A little","2003","Not Employed","East Germany","","","","","2"
"A little","2003","Employed","West Germany","","","","","2"
"A little","2003","Employed","East Germany","","","","","2"
"Not at all","2003","Not Employed","West Germany","","","","","3"
"Not at all","2003","Not Employed","East Germany","","","","","3"
"Not at all","2003","Employed","West Germany","","","","","3"
"Not at all","2003","Employed","East Germany","","","","","3"
"Strong","2003","Not Employed","West Germany","","","","","1"
"Strong","2003","Not Employed","East Germany","","","","","1"
"Strong","2003","Employed","West Germany","","","","","1"
"Strong","2003","Employed","East Germany","","","","","1"
"A little","2004","Not Employed","West Germany","2008","0.358170128786508","0.346059451775359","0.370280805797657","2"
"A little","2004","Not Employed","East Germany","844","0.400217532135869","0.379574931951008","0.420860132320729","2"
"A little","2004","Employed","West Germany","2422","0.253104322871788","0.244750888441045","0.26145775730253","2"
"A little","2004","Employed","East Germany","885","0.286843684949724","0.27086545025611","0.302821919643338","2"
"Not at all","2004","Not Employed","West Germany","2799","0.402683447949854","0.390295540802967","0.41507135509674","3"
"Not at all","2004","Not Employed","East Germany","828","0.337527869902291","0.317604716067766","0.357451023736816","3"
"Not at all","2004","Employed","West Germany","7610","0.701434679045083","0.692642457727914","0.710226900362253","3"
