"ple0004","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Strong","2002","in school","Male","3","","",""
"Strong","2002","in school","Female","1","","",""
"Strong","2002","inadequately","Male","24","","",""
"Strong","2002","inadequately","Female","37","0.233404035700101","0.169056563370724","0.297751508029478"
"Strong","2002","general elemantary","Male","82","0.0938556535426597","0.0753403621062811","0.112370944979038"
"Strong","2002","general elemantary","Female","406","0.241926019096302","0.222976609884443","0.260875428308162"
"Strong","2002","middle vocational","Male","561","0.11124676179387","0.102998024695052","0.119495498892689"
"Strong","2002","middle vocational","Female","664","0.13465839709622","0.126056052991366","0.143260741201075"
"Strong","2002","vocational + Abi","Male","30","0.0672307429101366","0.0452367294392397","0.0892247563810335"
"Strong","2002","vocational + Abi","Female","49","0.114607446642057","0.0906474057543061","0.138567487529809"
"Strong","2002","higher vocational","Male","70","0.0768006446669506","0.06038708824997","0.0932142010839312"
"Strong","2002","higher vocational","Female","62","0.121086193638356","0.0975017911185351","0.144670596158177"
"Strong","2002","higher education","Male","126","0.0591709189684931","0.0501103858779822","0.0682314520590041"
"Strong","2002","higher education","Female","120","0.0926862957886035","0.0798414691977521","0.105531122379455"
"A little","2002","in school","Male","17","","",""
"A little","2002","in school","Female","26","","",""
"A little","2002","inadequately","Male","38","0.392348996174592","0.303874409405511","0.480823582943673"
"A little","2002","inadequately","Female","70","0.414976828986376","0.340023227621833","0.489930430350919"
"A little","2002","general elemantary","Male","233","0.274580512803206","0.246244998115953","0.302916027490459"
"A little","2002","general elemantary","Female","693","0.36995194352642","0.348589147973075","0.391314739079764"
"A little","2002","middle vocational","Male","1527","0.283296407805293","0.271475699531596","0.29511711607899"
"A little","2002","middle vocational","Female","1907","0.333562719167959","0.321681125574343","0.345444312761575"
"A little","2002","vocational + Abi","Male","102","0.207783731683503","0.172150019427112","0.243417443939894"
"A little","2002","vocational + Abi","Female","157","0.270563543108573","0.237148534656668","0.303978551560477"
"A little","2002","higher vocational","Male","346","0.359267809229875","0.329693137147857","0.388842481311892"
"A little","2002","higher vocational","Female","213","0.315227150072185","0.281638736207764","0.348815563936607"
"A little","2002","higher education","Male","590","0.242295581808208","0.225841756406895","0.258749407209521"
"A little","2002","higher education","Female","524","0.313474269244127","0.292926195950481","0.334022342537774"
"Not at all","2002","in school","Male","278","0.917441720959232","0.886194635325007","0.948688806593457"
"Not at all","2002","in school","Female","290","0.907548301053711","0.875661512480236","0.939435089627186"
"Not at all","2002","inadequately","Male","55","0.456450496387855","0.366195437536029","0.546705555239681"
"Not at all","2002","inadequately","Female","59","0.351619135313523","0.278984227037994","0.424254043589052"
"Not at all","2002","general elemantary","Male","638","0.631563833654134","0.600937754953241","0.662189912355028"
"Not at all","2002","general elemantary","Female","863","0.388122037377278","0.366558741268501","0.409685333486055"
"Not at all","2002","middle vocational","Male","3494","0.605456830400836","0.592635236094958","0.618278424706715"
"Not at all","2002","middle vocational","Female","3478","0.531778883735821","0.519204192187639","0.544353575284002"
"Not at all","2002","vocational + Abi","Male","366","0.724985525406361","0.685768390362272","0.764202660450449"
"Not at all","2002","vocational + Abi","Female","473","0.61482901024937","0.578225969591757","0.651432050906983"
"Not at all","2002","higher vocational","Male","595","0.563931546103175","0.533363826353621","0.594499265852729"
"Not at all","2002","higher vocational","Female","460","0.563686656289459","0.527833900232928","0.599539412345989"
"Not at all","2002","higher education","Male","1889","0.698533499223299","0.680911410792271","0.716155587654327"
"Not at all","2002","higher education","Female","1314","0.593839434967269","0.572086135343871","0.615592734590667"
"Strong","2003","in school","Male","","","",""
"Strong","2003","in school","Female","","","",""
"Strong","2003","inadequately","Male","","","",""
"Strong","2003","inadequately","Female","","","",""
"Strong","2003","general elemantary","Male","","","",""
"Strong","2003","general elemantary","Female","","","",""
"Strong","2003","middle vocational","Male","","","",""
"Strong","2003","middle vocational","Female","","","",""
"Strong","2003","vocational + Abi","Male","","","",""
"Strong","2003","vocational + Abi","Female","","","",""
"Strong","2003","higher vocational","Male","","","",""
"Strong","2003","higher vocational","Female","","","",""
"Strong","2003","higher education","Male","","","",""
"Strong","2003","higher education","Female","","","",""
"A little","2003","in school","Male","","","",""
"A little","2003","in school","Female","","","",""
"A little","2003","inadequately","Male","","","",""
"A little","2003","inadequately","Female","","","",""
"A little","2003","general elemantary","Male","","","",""
"A little","2003","general elemantary","Female","","","",""
"A little","2003","middle vocational","Male","","","",""
"A little","2003","middle vocational","Female","","","",""
"A little","2003","vocational + Abi","Male","","","",""
"A little","2003","vocational + Abi","Female","","","",""
"A little","2003","higher vocational","Male","","","",""
"A little","2003","higher vocational","Female","","","",""
"A little","2003","higher education","Male","","","",""
"A little","2003","higher education","Female","","","",""
"Not at all","2003","in school","Male","","","",""
"Not at all","2003","in school","Female","","","",""
"Not at all","2003","inadequately","Male","","","",""
"Not at all","2003","inadequately","Female","","","",""
"Not at all","2003","general elemantary","Male","","","",""
"Not at all","2003","general elemantary","Female","","","",""
"Not at all","2003","middle vocational","Male","","","",""
"Not at all","2003","middle vocational","Female","","","",""
"Not at all","2003","vocational + Abi","Male","","","",""
"Not at all","2003","vocational + Abi","Female","","","",""
"Not at all","2003","higher vocational","Male","","","",""
"Not at all","2003","higher vocational","Female","","","",""
"Not at all","2003","higher education","Male","","","",""
"Not at all","2003","higher education","Female","","","",""
"Strong","2004","in school","Male","2","","",""
"Strong","2004","in school","Female","5","","",""
"Strong","2004","inadequately","Male","9","","",""
"Strong","2004","inadequately","Female","32","0.264384152724159","0.193573564019028","0.33519474142929"
"Strong","2004","general elemantary","Male","79","0.106474959225208","0.0856287449102962","0.127321173540119"
"Strong","2004","general elemantary","Female","377","0.251192202209927","0.230872500768289","0.271511903651565"
"Strong","2004","middle vocational","Male","566","0.121284850490457","0.112386076945571","0.130183624035342"
"Strong","2004","middle vocational","Female","615","0.136864737045626","0.127899477484609","0.145829996606642"
