"ple0004","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Part Time","Female","975","0.284132606428733","0.269604576956067","0.298660635901398","2"
"A little","2002","Full Time","Male","1371","0.217747004334311","0.207664787152224","0.227829221516399","2"
"A little","2002","Full Time","Female","810","0.283717472489672","0.26795478662717","0.299480158352174","2"
"A little","2002","Part Time","Male","352","0.245321050048866","0.223844998887978","0.266797101209754","2"
"A little","2002","Not Working","Male","1139","0.382746967466626","0.365842739553834","0.399651195379417","2"
"A little","2002","Not Working","Female","1824","0.378531268841268","0.365223788654334","0.391838749028202","2"
"Not at all","2002","Part Time","Male","1102","0.693511535803458","0.670500306752248","0.716522764854669","3"
"Not at all","2002","Part Time","Female","2557","0.656430092934828","0.641132197654588","0.671727988215069","3"
"Not at all","2002","Full Time","Male","4896","0.753069911973398","0.742535483221836","0.763604340724961","3"
"Not at all","2002","Full Time","Female","2216","0.677276339415725","0.660929140166621","0.693623538664828","3"
"Not at all","2002","Not Working","Male","1396","0.400838273329209","0.383794550328594","0.417881996329823","3"
"Not at all","2002","Not Working","Female","2217","0.369314954741476","0.356073368285799","0.382556541197154","3"
"Strong","2002","Full Time","Male","170","0.0291830836922904","0.0250712021533252","0.0332949652312556","1"
"Strong","2002","Full Time","Female","116","0.0390061880946035","0.032236447125505","0.0457759290637021","1"
"Strong","2002","Part Time","Male","88","0.0611674141476753","0.0492066192767353","0.0731282090186154","1"
"Strong","2002","Part Time","Female","170","0.0594373006364391","0.0518208383075824","0.0670537629652957","1"
"Strong","2002","Not Working","Male","641","0.216414759204166","0.20209306469703","0.230736453711302","1"
"Strong","2002","Not Working","Female","1062","0.252153776417255","0.24023932096687","0.264068231867641","1"
"A little","2003","Part Time","Female","","","","","2"
"A little","2003","Full Time","Male","","","","","2"
"A little","2003","Full Time","Female","","","","","2"
"A little","2003","Part Time","Male","","","","","2"
"A little","2003","Not Working","Male","","","","","2"
"A little","2003","Not Working","Female","","","","","2"
"Not at all","2003","Full Time","Male","","","","","3"
"Not at all","2003","Full Time","Female","","","","","3"
"Not at all","2003","Part Time","Male","","","","","3"
"Not at all","2003","Part Time","Female","","","","","3"
"Not at all","2003","Not Working","Male","","","","","3"
"Not at all","2003","Not Working","Female","","","","","3"
"Strong","2003","Full Time","Male","","","","","1"
"Strong","2003","Full Time","Female","","","","","1"
"Strong","2003","Part Time","Male","","","","","1"
"Strong","2003","Part Time","Female","","","","","1"
"Strong","2003","Not Working","Male","","","","","1"
"Strong","2003","Not Working","Female","","","","","1"
"A little","2004","Part Time","Male","329","0.215553306980778","0.194736872788094","0.236369741173462","2"
"A little","2004","Part Time","Female","952","0.291166712489732","0.276167341230949","0.306166083748514","2"
"A little","2004","Full Time","Male","1260","0.238686643697054","0.227572366588265","0.249800920805843","2"
"A little","2004","Full Time","Female","766","0.287212484809256","0.270486204623788","0.303938764994725","2"
"A little","2004","Not Working","Male","1099","0.356286071682031","0.339834080423574","0.372738062940488","2"
"A little","2004","Not Working","Female","1753","0.374043333860575","0.360536370387449","0.387550297333701","2"
"Not at all","2004","Full Time","Female","1954","0.673408653634606","0.656072236372281","0.69074507089693","3"
"Not at all","2004","Part Time","Male","1079","0.703564739053644","0.680445994933407","0.726683483173881","3"
"Not at all","2004","Part Time","Female","2439","0.657396462600042","0.641727518039251","0.673065407160834","3"
"Not at all","2004","Full Time","Male","4240","0.73255189102279","0.721011397009953","0.744092385035627","3"
"Not at all","2004","Not Working","Male","1494","0.418916955990196","0.401967503826846","0.435866408153547","3"
"Not at all","2004","Not Working","Female","2133","0.369265468409925","0.355793927197893","0.382737009621957","3"
"Strong","2004","Full Time","Male","151","0.0287614652801559","0.0244037997437092","0.0331191308166025","1"
