"ple0004","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","in school","43","0.0801946521642485","0.0587296368689119","0.101659667459585","2"
"A little","2002","inadequately","108","0.405066692126935","0.347872453638905","0.462260930614964","2"
"A little","2002","general elemantary","926","0.341015636709904","0.323806720781695","0.358224552638113","2"
"A little","2002","higher vocational","559","0.341181662886498","0.318943359470125","0.363419966302871","2"
"A little","2002","higher education","1114","0.27185368126864","0.258944467429187","0.284762895108093","2"
"A little","2002","middle vocational","3434","0.308866551527877","0.300469903307419","0.317263199748335","2"
"A little","2002","vocational + Abi","259","0.242469314587358","0.217984976554202","0.266953652620514","2"
"Not at all","2002","higher vocational","1055","0.563830977376603","0.540570006007424","0.587091948745782","3"
"Not at all","2002","higher education","3203","0.655057598280582","0.64126532377196","0.668849872789204","3"
"Not at all","2002","vocational + Abi","839","0.664124512094177","0.637142534973942","0.691106489214412","3"
"Not at all","2002","general elemantary","1501","0.461983847519089","0.443885460775756","0.480082234262422","3"
"Not at all","2002","middle vocational","6972","0.567977340970693","0.558974940448441","0.576979741492945","3"
"Not at all","2002","in school","568","0.912794109310754","0.890495906635635","0.935092311985873","3"
"Not at all","2002","inadequately","114","0.397531315417095","0.340513866115575","0.454548764718614","3"
"Strong","2002","in school","4","","","","1"
"Strong","2002","inadequately","61","0.197401992455971","0.15102744572414","0.243776539187801","1"
"Strong","2002","general elemantary","488","0.197000515771007","0.182562080632279","0.211438950909736","1"
"Strong","2002","middle vocational","1225","0.12315610750143","0.11718398536639","0.12912822963647","1"
"Strong","2002","vocational + Abi","79","0.0934061733184653","0.0767814652255755","0.110030881411355","1"
"Strong","2002","higher vocational","132","0.0949873597368987","0.0812347157073526","0.108740003766445","1"
"Strong","2002","higher education","246","0.0730887204507775","0.065536631099388","0.0806408098021669","1"
"A little","2003","in school","","","","","2"
"A little","2003","inadequately","","","","","2"
"A little","2003","general elemantary","","","","","2"
"A little","2003","higher vocational","","","","","2"
"A little","2003","higher education","","","","","2"
"A little","2003","middle vocational","","","","","2"
"A little","2003","vocational + Abi","","","","","2"
"Not at all","2003","higher vocational","","","","","3"
"Not at all","2003","higher education","","","","","3"
"Not at all","2003","vocational + Abi","","","","","3"
"Not at all","2003","general elemantary","","","","","3"
"Not at all","2003","middle vocational","","","","","3"
"Not at all","2003","in school","","","","","3"
"Not at all","2003","inadequately","","","","","3"
"Strong","2003","in school","","","","","1"
"Strong","2003","inadequately","","","","","1"
"Strong","2003","general elemantary","","","","","1"
"Strong","2003","middle vocational","","","","","1"
"Strong","2003","vocational + Abi","","","","","1"
"Strong","2003","higher vocational","","","","","1"
"Strong","2003","higher education","","","","","1"
"A little","2004","general elemantary","817","0.3292983359223","0.311202700222173","0.347393971622428","2"
"A little","2004","inadequately","94","0.378228491294917","0.318235052076389","0.438221930513445","2"
"A little","2004","in school","52","0.0874188767488061","0.0655192852697623","0.10931846822785","2"
"A little","2004","higher vocational","498","0.318741987865519","0.296216581511292","0.341267394219747","2"
"A little","2004","higher education","1103","0.27687825943704","0.26350417685099","0.290252342023091","2"
"A little","2004","middle vocational","3290","0.319997784352847","0.311206680688768","0.328788888016925","2"
"A little","2004","vocational + Abi","272","0.249387093077884","0.224563898961824","0.274210287193944","2"
"Not at all","2004","higher vocational","990","0.559936870476302","0.535941679615301","0.583932061337302","3"
"Not at all","2004","higher education","2953","0.643531253299578","0.629215657930636","0.657846848668521","3"
"Not at all","2004","general elemantary","1318","0.464542272300186","0.445338365047388","0.483746179552983","3"
"Not at all","2004","middle vocational","6345","0.550781672961635","0.541407494326547","0.560155851596722","3"
"Not at all","2004","vocational + Abi","819","0.657719560785348","0.630497306756822","0.684941814813874","3"
"Not at all","2004","in school","580","0.898569376926309","0.875161716124333","0.921977037728285","3"
"Not at all","2004","inadequately","116","0.451194104783669","0.389633578707192","0.512754630860145","3"
"Strong","2004","in school","7","","","","1"
"Strong","2004","inadequately","41","0.170577403921414","0.124044526142505","0.217110281700323","1"
"Strong","2004","general elemantary","456","0.206159391777514","0.190582435452985","0.221736348102043","1"
"Strong","2004","middle vocational","1181","0.129220542685519","0.122898831954262","0.135542253416775","1"
"Strong","2004","vocational + Abi","76","0.0928933461367681","0.0762387485805683","0.109547943692968","1"
"Strong","2004","higher vocational","156","0.121321141658179","0.105538470159231","0.137103813157128","1"
"Strong","2004","higher education","244","0.0795904872633812","0.0715007392452881","0.0876802352814743","1"
"A little","2005","general elemantary","","","","","2"
"A little","2005","higher education","","","","","2"
"A little","2005","inadequately","","","","","2"
"A little","2005","higher vocational","","","","","2"
"A little","2005","in school","","","","","2"
"A little","2005","middle vocational","","","","","2"
"A little","2005","vocational + Abi","","","","","2"
"Not at all","2005","higher vocational","","","","","3"
"Not at all","2005","higher education","","","","","3"
"Not at all","2005","general elemantary","","","","","3"
"Not at all","2005","middle vocational","","","","","3"
"Not at all","2005","vocational + Abi","","","","","3"
"Not at all","2005","in school","","","","","3"
"Not at all","2005","inadequately","","","","","3"
"Strong","2005","in school","","","","","1"
"Strong","2005","inadequately","","","","","1"
"Strong","2005","general elemantary","","","","","1"
"Strong","2005","middle vocational","","","","","1"
"Strong","2005","vocational + Abi","","","","","1"
"Strong","2005","higher vocational","","","","","1"
"Strong","2005","higher education","","","","","1"
"A little","2006","in school","33","0.0611909075431385","0.0376141037980827","0.0847677112881944","2"
"A little","2006","inadequately","91","0.38533682194819","0.323636419793767","0.447037224102613","2"
"A little","2006","general elemantary","840","0.346457620250909","0.327786311840985","0.365128928660832","2"
"A little","2006","higher vocational","525","0.338697128944848","0.315882278514953","0.361511979374744","2"
"A little","2006","higher education","1217","0.270905997769326","0.258046101682016","0.283765893856637","2"
"A little","2006","vocational + Abi","298","0.25745273415788","0.232908072826055","0.281997395489705","2"
"A little","2006","middle vocational","3544","0.330143216447925","0.321400325452196","0.338886107443655","2"
"Not at all","2006","higher vocational","984","0.561776029189966","0.537857122139832","0.585694936240101","3"
"Not at all","2006","higher education","3084","0.64924406205307","0.635435676794026","0.663052447312114","3"
