"ple0004","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Strong","2002","Not Employed","in school","4","","",""
"Strong","2002","Not Employed","inadequately","52","0.3005755381027","0.229970155773081","0.371180920432318"
"Strong","2002","Not Employed","general elemantary","424","0.308686409474427","0.285821401149361","0.331551417799492"
"Strong","2002","Not Employed","middle vocational","917","0.241882448278076","0.229015701250234","0.254749195305917"
"Strong","2002","Not Employed","vocational + Abi","50","0.203637050190122","0.158808864100766","0.248465236279477"
"Strong","2002","Not Employed","higher vocational","93","0.209579318551292","0.173244087061604","0.24591455004098"
"Strong","2002","Not Employed","higher education","154","0.195041676890466","0.169805503059392","0.220277850721539"
"Strong","2002","Employed","in school","","","",""
"Strong","2002","Employed","inadequately","9","","",""
"Strong","2002","Employed","general elemantary","64","0.0506659967061894","0.0389539685762947","0.0623780248360842"
"Strong","2002","Employed","middle vocational","308","0.0457480749766771","0.0409798628110287","0.0505162871423255"
"Strong","2002","Employed","vocational + Abi","29","","",""
"Strong","2002","Employed","higher vocational","39","0.0379452650043961","0.0274122369753407","0.0484782930334515"
"Strong","2002","Employed","higher education","92","0.029647271225842","0.0241189781431457","0.0351755643085382"
"A little","2002","Not Employed","in school","25","","",""
"A little","2002","Not Employed","inadequately","71","0.432707119509933","0.356412963900991","0.509001275118874"
"A little","2002","Not Employed","general elemantary","573","0.377849910035695","0.353851508943229","0.401848311128161"
"A little","2002","Not Employed","middle vocational","1601","0.391945506592665","0.377277118062637","0.406613895122692"
"A little","2002","Not Employed","vocational + Abi","88","0.334035101650383","0.281531515641669","0.386538687659098"
"A little","2002","Not Employed","higher vocational","215","0.465623949656925","0.421092614147369","0.510155285166482"
"A little","2002","Not Employed","higher education","377","0.420570967871559","0.389130219684074","0.452011716059043"
"A little","2002","Employed","in school","18","","",""
"A little","2002","Employed","inadequately","37","0.366409298356487","0.280558755334685","0.452259841378289"
"A little","2002","Employed","general elemantary","353","0.292754164347555","0.268454457550086","0.317053871145025"
"A little","2002","Employed","middle vocational","1833","0.254700151605927","0.244757144376689","0.264643158835166"
"A little","2002","Employed","vocational + Abi","171","0.202890819977333","0.176122035793452","0.229659604161215"
"A little","2002","Employed","higher vocational","344","0.279236228109653","0.254504360661117","0.30396809555819"
"A little","2002","Employed","higher education","737","0.218878381255919","0.205401337354786","0.232355425157051"
"Not at all","2002","Not Employed","in school","458","0.929340629944395","0.906581484390537","0.952099775498253"
"Not at all","2002","Not Employed","inadequately","39","0.266717342387368","0.198616588718186","0.33481809605655"
"Not at all","2002","Not Employed","general elemantary","571","0.313463680489878","0.290502171019329","0.336425189960428"
