"ple0004","year","n","percent","lower_confidence","upper_confidence"
"Strong","2002","2247","0.120839479936713","0.116636456481276","0.125042503392151"
"A little","2002","6471","0.302349875357333","0.296427484904212","0.308272265810454"
"Not at all","2002","14384","0.576810644705954","0.570439649151469","0.583181640260439"
"Strong","2003","","","",""
"A little","2003","","","",""
"Not at all","2003","","","",""
"Strong","2004","2172","0.126596184795033","0.122168909922333","0.131023459667733"
"A little","2004","6159","0.303800841547016","0.297677621473294","0.309924061620737"
"Not at all","2004","13339","0.569602973657952","0.563010636810039","0.576195310505865"
"Strong","2005","","","",""
"A little","2005","","","",""
"Not at all","2005","","","",""
"Strong","2006","2281","0.12064673794506","0.116345825406578","0.124947650483542"
"A little","2006","6603","0.313127892291899","0.307004107111541","0.319251677472258"
"Not at all","2006","13148","0.56622536976304","0.559681300825206","0.572769438700875"
"Strong","2007","","","",""
"A little","2007","","","",""
"Not at all","2007","","","",""
"Strong","2008","2058","0.119281275610515","0.114718478658739","0.12384407256229"
"A little","2008","5790","0.310798879670319","0.304283509425203","0.317314249915434"
"Not at all","2008","11536","0.569919844719166","0.56295024265918","0.576889446779153"
"Strong","2009","","","",""
"A little","2009","","","",""
"Not at all","2009","","","",""
"Strong","2010","1848","0.129456274827291","0.12436537328359","0.134547176370992"
"A little","2010","5319","0.337854970304228","0.330682321477818","0.345027619130639"
"Not at all","2010","9537","0.532688754868481","0.525122556371665","0.540254953365297"
"Strong","2011","","","",""
"A little","2011","","","",""
"Not at all","2011","","","",""
"Strong","2012","2375","0.125080092593239","0.12055660644863","0.129603578737848"
"A little","2012","6661","0.335988510539783","0.32952981178844","0.342447209291126"
"Not at all","2012","11509","0.538931396866978","0.532115162170208","0.545747631563748"
"Strong","2013","","","",""
"A little","2013","","","",""
"Not at all","2013","","","",""
"Strong","2014","2732","0.123302733492774","0.119391062234378","0.127214404751171"
"A little","2014","7735","0.308590139368882","0.303094604379624","0.31408567435814"
"Not at all","2014","16672","0.568107127138344","0.562213884694454","0.574000369582234"
"Strong","2015","","","",""
"A little","2015","","","",""
"Not at all","2015","","","",""
"Strong","2016","2836","0.121390276642938","0.117610126496725","0.125170426789152"
"A little","2016","8112","0.30977339214643","0.304421134622862","0.315125649669999"
"Not at all","2016","17724","0.568836331210631","0.563103966157024","0.574568696264239"
"Strong","2017","240","0.066942809443448","0.057860792038836","0.07602482684806"
"A little","2017","625","0.195708969619655","0.181291527773936","0.210126411465374"
"Not at all","2017","2044","0.737348220936897","0.721356223107087","0.753340218766707"
"Strong","2018","2987","0.11957173088565","0.115899452578227","0.123244009193073"
"A little","2018","8747","0.313995665702419","0.308742760099681","0.319248571305157"
"Not at all","2018","18254","0.566432603411931","0.560823715388401","0.572041491435461"
"Strong","2019","39","0.17510135533387","0.13050585526367","0.219696855404071"
"A little","2019","58","0.188598344820684","0.142696211237573","0.234500478403796"
"Not at all","2019","182","0.636300299845445","0.579852304301416","0.692748295389475"
