"ple0004","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Strong","2002","16-34 y.","no migration background","81","0.0180115516882431","0.0142464810347503","0.021776622341736"
"Strong","2002","16-34 y.","direct migration background","10","","",""
"Strong","2002","16-34 y.","indirect migration background","16","","",""
"Strong","2002","35-65 y.","no migration background","862","0.0858227251824962","0.0806937689217785","0.090951681443214"
"Strong","2002","35-65 y.","direct migration background","182","0.11021721661944","0.0954132917810063","0.125021141457873"
"Strong","2002","35-65 y.","indirect migration background","7","","",""
"Strong","2002","66 and older","no migration background","967","0.324442692376482","0.30837182239816","0.340513562354804"
"Strong","2002","66 and older","direct migration background","114","0.331244214042022","0.282005980993701","0.380482447090343"
"Strong","2002","66 and older","indirect migration background","8","","",""
"A little","2002","16-34 y.","no migration background","623","0.139340541389675","0.129536643115934","0.149144439663417"
"A little","2002","16-34 y.","direct migration background","97","0.134039159561455","0.109525332775405","0.158552986347504"
"A little","2002","16-34 y.","indirect migration background","70","0.126098023824446","0.100278589130877","0.151917458518015"
"A little","2002","35-65 y.","no migration background","3395","0.311797669741095","0.303315496536533","0.320279842945658"
"A little","2002","35-65 y.","direct migration background","576","0.361393676559766","0.338683681768699","0.384103671350834"
"A little","2002","35-65 y.","indirect migration background","37","0.361562516029398","0.278972546950947","0.444152485107849"
"A little","2002","66 and older","no migration background","1485","0.453070679986648","0.435982812283672","0.470158547689625"
"A little","2002","66 and older","direct migration background","182","0.495153383870595","0.442848272243789","0.547458495497402"
"A little","2002","66 and older","indirect migration background","6","","",""
"Not at all","2002","16-34 y.","no migration background","4089","0.842647906922081","0.832339211415757","0.852956602428406"
"Not at all","2002","16-34 y.","direct migration background","635","0.852016253871471","0.826467066764372","0.877565440978571"
"Not at all","2002","16-34 y.","indirect migration background","549","0.839150066167855","0.810574720789031","0.867725411546678"
"Not at all","2002","35-65 y.","no migration background","7200","0.602379605076408","0.593418076575436","0.611341133577381"
"Not at all","2002","35-65 y.","direct migration background","961","0.528389106820794","0.504790900470572","0.551987313171016"
"Not at all","2002","35-65 y.","indirect migration background","86","0.605581722480412","0.521569725054153","0.68959371990667"
"Not at all","2002","66 and older","no migration background","808","0.22248662763687","0.208209357355846","0.236763897917894"
"Not at all","2002","66 and older","direct migration background","55","0.173602402087382","0.133977616894535","0.213227187280229"
"Not at all","2002","66 and older","indirect migration background","1","","",""
"Strong","2003","16-34 y.","no migration background","","","",""
"Strong","2003","16-34 y.","direct migration background","","","",""
"Strong","2003","16-34 y.","indirect migration background","","","",""
"Strong","2003","35-65 y.","no migration background","","","",""
"Strong","2003","35-65 y.","direct migration background","","","",""
"Strong","2003","35-65 y.","indirect migration background","","","",""
"Strong","2003","66 and older","no migration background","","","",""
"Strong","2003","66 and older","direct migration background","","","",""
"Strong","2003","66 and older","indirect migration background","","","",""
"A little","2003","16-34 y.","no migration background","","","",""
"A little","2003","16-34 y.","direct migration background","","","",""
"A little","2003","16-34 y.","indirect migration background","","","",""
"A little","2003","35-65 y.","no migration background","","","",""
"A little","2003","35-65 y.","direct migration background","","","",""
"A little","2003","35-65 y.","indirect migration background","","","",""
"A little","2003","66 and older","no migration background","","","",""
"A little","2003","66 and older","direct migration background","","","",""
"A little","2003","66 and older","indirect migration background","","","",""
"Not at all","2003","16-34 y.","no migration background","","","",""
"Not at all","2003","16-34 y.","direct migration background","","","",""
"Not at all","2003","16-34 y.","indirect migration background","","","",""
"Not at all","2003","35-65 y.","no migration background","","","",""
"Not at all","2003","35-65 y.","direct migration background","","","",""
"Not at all","2003","35-65 y.","indirect migration background","","","",""
"Not at all","2003","66 and older","no migration background","","","",""
"Not at all","2003","66 and older","direct migration background","","","",""
"Not at all","2003","66 and older","indirect migration background","","","",""
"Strong","2004","16-34 y.","no migration background","63","0.016878466883652","0.0130561596991789","0.0207007740681251"
"Strong","2004","16-34 y.","direct migration background","7","","",""
"Strong","2004","16-34 y.","indirect migration background","10","","",""
"Strong","2004","35-65 y.","no migration background","749","0.0847018921364108","0.0793847377273477","0.0900190465454738"
"Strong","2004","35-65 y.","direct migration background","159","0.121437229204622","0.105202493715329","0.137671964693915"
"Strong","2004","35-65 y.","indirect migration background","4","","",""
"Strong","2004","66 and older","no migration background","1051","0.335061686951419","0.319240043085702","0.350883330817137"
"Strong","2004","66 and older","direct migration background","122","0.331745111487727","0.28324227425356","0.380247948721893"
"Strong","2004","66 and older","indirect migration background","7","","",""
"A little","2004","16-34 y.","no migration background","612","0.145886739756773","0.13541253339267","0.156360946120875"
"A little","2004","16-34 y.","direct migration background","86","0.126137713698803","0.100150585048185","0.15212484234942"
"A little","2004","16-34 y.","indirect migration background","71","0.104186336757219","0.0806279223378535","0.127744751176585"
"A little","2004","35-65 y.","no migration background","3155","0.317717469051031","0.308826397462952","0.326608540639109"
"A little","2004","35-65 y.","direct migration background","525","0.335768486796412","0.312295811068686","0.359241162524139"
"A little","2004","35-65 y.","indirect migration background","39","0.322450286891849","0.248143537399602","0.396757036384097"
"A little","2004","66 and older","no migration background","1502","0.441693874994088","0.425048429412539","0.458339320575638"
"A little","2004","66 and older","direct migration background","165","0.479455822200246","0.427992608749215","0.530919035651277"
"A little","2004","66 and older","indirect migration background","4","","",""
"Not at all","2004","16-34 y.","no migration background","3688","0.837234793359575","0.826281116985035","0.848188469734115"
"Not at all","2004","16-34 y.","direct migration background","534","0.85656284015476","0.829126588727543","0.883999091581977"
"Not at all","2004","16-34 y.","indirect migration background","565","0.882932038902012","0.858139871398299","0.907724206405725"
"Not at all","2004","35-65 y.","no migration background","6630","0.597580638812559","0.588216041073708","0.606945236551409"
"Not at all","2004","35-65 y.","direct migration background","871","0.542794283998966","0.518033958318826","0.567554609679105"
"Not at all","2004","35-65 y.","indirect migration background","109","0.669925070989431","0.595169135290887","0.744681006687976"
"Not at all","2004","66 and older","no migration background","866","0.223244438054492","0.209286185555145","0.237202690553839"
"Not at all","2004","66 and older","direct migration background","75","0.188799066312027","0.148484875431433","0.229113257192621"
"Not at all","2004","66 and older","indirect migration background","1","","",""
"Strong","2005","16-34 y.","no migration background","","","",""
"Strong","2005","16-34 y.","direct migration background","","","",""
"Strong","2005","16-34 y.","indirect migration background","","","",""
"Strong","2005","35-65 y.","no migration background","","","",""
"Strong","2005","35-65 y.","direct migration background","","","",""
"Strong","2005","35-65 y.","indirect migration background","","","",""
"Strong","2005","66 and older","no migration background","","","",""
"Strong","2005","66 and older","direct migration background","","","",""
"Strong","2005","66 and older","indirect migration background","","","",""
"A little","2005","16-34 y.","no migration background","","","",""
"A little","2005","16-34 y.","direct migration background","","","",""
"A little","2005","16-34 y.","indirect migration background","","","",""
"A little","2005","35-65 y.","no migration background","","","",""
"A little","2005","35-65 y.","direct migration background","","","",""
"A little","2005","35-65 y.","indirect migration background","","","",""
"A little","2005","66 and older","no migration background","","","",""
"A little","2005","66 and older","direct migration background","","","",""
"A little","2005","66 and older","indirect migration background","","","",""
"Not at all","2005","16-34 y.","no migration background","","","",""
"Not at all","2005","16-34 y.","direct migration background","","","",""
"Not at all","2005","16-34 y.","indirect migration background","","","",""
"Not at all","2005","35-65 y.","no migration background","","","",""
"Not at all","2005","35-65 y.","direct migration background","","","",""
"Not at all","2005","35-65 y.","indirect migration background","","","",""
"Not at all","2005","66 and older","no migration background","","","",""
"Not at all","2005","66 and older","direct migration background","","","",""
"Not at all","2005","66 and older","indirect migration background","","","",""
"Strong","2006","16-34 y.","no migration background","41","0.0106163632659136","0.00743033392135086","0.0138023926104764"
"Strong","2006","16-34 y.","direct migration background","12","","",""
"Strong","2006","16-34 y.","indirect migration background","6","","",""
"Strong","2006","35-65 y.","no migration background","745","0.0778107840906256","0.0727540673570757","0.0828675008241756"
"Strong","2006","35-65 y.","direct migration background","148","0.116869300618488","0.100356200984104","0.133382400252872"
"Strong","2006","35-65 y.","indirect migration background","12","","",""
"Strong","2006","66 and older","no migration background","1162","0.315820811093341","0.301536380897821","0.33010524128886"
"Strong","2006","66 and older","direct migration background","152","0.366908941334001","0.319379601642583","0.414438281025418"
"Strong","2006","66 and older","indirect migration background","3","","",""
"A little","2006","16-34 y.","no migration background","622","0.163584266910469","0.152085232138394","0.175083301682543"
"A little","2006","16-34 y.","direct migration background","82","0.165956585515658","0.134519047513211","0.197394123518106"
"A little","2006","16-34 y.","indirect migration background","79","0.133918569382508","0.107261396732479","0.160575742032536"
"A little","2006","35-65 y.","no migration background","3272","0.316103868734356","0.307326816364845","0.324880921103867"
"A little","2006","35-65 y.","direct migration background","530","0.393761399498347","0.368648072568923","0.41887472642777"
"A little","2006","35-65 y.","indirect migration background","42","0.204872136672294","0.146235057149145","0.263509216195443"
"A little","2006","66 and older","no migration background","1789","0.441051610482889","0.425793941815965","0.456309279149813"
"A little","2006","66 and older","direct migration background","180","0.47935849879816","0.430092289134521","0.528624708461799"
"A little","2006","66 and older","indirect migration background","7","","",""
"Not at all","2006","16-34 y.","no migration background","3312","0.825799369823618","0.814008613637169","0.837590126010066"
"Not at all","2006","16-34 y.","direct migration background","444","0.813743825208057","0.780846836483685","0.846640813932428"
"Not at all","2006","16-34 y.","indirect migration background","542","0.851309681862278","0.823461332908012","0.879158030816544"
"Not at all","2006","35-65 y.","no migration background","6763","0.606085347175018","0.596861615280545","0.615309079069492"
"Not at all","2006","35-65 y.","direct migration background","776","0.489369299883165","0.46367494553649","0.51506365422984"
"Not at all","2006","35-65 y.","indirect migration background","128","0.728642929433464","0.664041765089616","0.793244093777312"
"Not at all","2006","66 and older","no migration background","1117","0.243127578423771","0.229945433812893","0.256309723034649"
"Not at all","2006","66 and older","direct migration background","63","0.153732559867839","0.118162361385042","0.189302758350636"
"Not at all","2006","66 and older","indirect migration background","3","","",""
"Strong","2007","16-34 y.","no migration background","","","",""
"Strong","2007","16-34 y.","direct migration background","","","",""
"Strong","2007","16-34 y.","indirect migration background","","","",""
"Strong","2007","35-65 y.","no migration background","","","",""
"Strong","2007","35-65 y.","direct migration background","","","",""
"Strong","2007","35-65 y.","indirect migration background","","","",""
"Strong","2007","66 and older","no migration background","","","",""
"Strong","2007","66 and older","direct migration background","","","",""
"Strong","2007","66 and older","indirect migration background","","","",""
"A little","2007","16-34 y.","no migration background","","","",""
"A little","2007","16-34 y.","direct migration background","","","",""
"A little","2007","16-34 y.","indirect migration background","","","",""
"A little","2007","35-65 y.","no migration background","","","",""
"A little","2007","35-65 y.","direct migration background","","","",""
"A little","2007","35-65 y.","indirect migration background","","","",""
"A little","2007","66 and older","no migration background","","","",""
"A little","2007","66 and older","direct migration background","","","",""
"A little","2007","66 and older","indirect migration background","","","",""
"Not at all","2007","16-34 y.","no migration background","","","",""
"Not at all","2007","16-34 y.","direct migration background","","","",""
"Not at all","2007","16-34 y.","indirect migration background","","","",""
"Not at all","2007","35-65 y.","no migration background","","","",""
"Not at all","2007","35-65 y.","direct migration background","","","",""
"Not at all","2007","35-65 y.","indirect migration background","","","",""
"Not at all","2007","66 and older","no migration background","","","",""
"Not at all","2007","66 and older","direct migration background","","","",""
"Not at all","2007","66 and older","indirect migration background","","","",""
"Strong","2008","16-34 y.","no migration background","45","0.0114357940413452","0.00787650475238786","0.0149950833303025"
"Strong","2008","16-34 y.","direct migration background","2","","",""
"Strong","2008","16-34 y.","indirect migration background","11","","",""
"Strong","2008","35-65 y.","no migration background","644","0.0801372504576752","0.0746224644813141","0.0856520364340363"
"Strong","2008","35-65 y.","direct migration background","127","0.112680103962591","0.0945384703242218","0.13082173760096"
"Strong","2008","35-65 y.","indirect migration background","14","","",""
"Strong","2008","66 and older","no migration background","1086","0.294493962776889","0.280300792251354","0.308687133302424"
"Strong","2008","66 and older","direct migration background","125","0.332898812131086","0.285202539964413","0.380595084297759"
"Strong","2008","66 and older","indirect migration background","4","","",""
"A little","2008","16-34 y.","no migration background","549","0.172939094826763","0.1602788232653","0.185599366388227"
"A little","2008","16-34 y.","direct migration background","48","0.0987153198665795","0.0682400573912102","0.129190582341949"
"A little","2008","16-34 y.","indirect migration background","70","0.101163506664265","0.0763867620882079","0.125940251240323"
"A little","2008","35-65 y.","no migration background","2762","0.310593464090756","0.301194417937934","0.319992510243579"
"A little","2008","35-65 y.","direct migration background","386","0.366328847562571","0.338686164706881","0.393971530418262"
"A little","2008","35-65 y.","indirect migration background","40","0.281019316555807","0.217603712385747","0.344434920725867"
"A little","2008","66 and older","no migration background","1763","0.449342583128013","0.43385368972836","0.464831476527665"
"A little","2008","66 and older","direct migration background","170","0.47377019460579","0.423233824305646","0.524306564905933"
"A little","2008","66 and older","indirect migration background","2","","",""
"Not at all","2008","16-34 y.","no migration background","2834","0.815625111131892","0.802643641423772","0.828606580840012"
"Not at all","2008","16-34 y.","direct migration background","318","0.877145770252092","0.843606382913453","0.910685157590731"
"Not at all","2008","16-34 y.","indirect migration background","488","0.866189489615821","0.838216200996796","0.894162778234846"
"Not at all","2008","35-65 y.","no migration background","5905","0.609269285451569","0.599358836108877","0.61917973479426"
"Not at all","2008","35-65 y.","direct migration background","654","0.520991048474838","0.492329502742795","0.549652594206881"
"Not at all","2008","35-65 y.","indirect migration background","139","0.662747273146077","0.596047993093692","0.729446553198462"
"Not at all","2008","66 and older","no migration background","1113","0.256163454095098","0.2425713029016","0.269755605288596"
"Not at all","2008","66 and older","direct migration background","80","0.193330993263124","0.153361293703683","0.233300692822565"
"Not at all","2008","66 and older","indirect migration background","5","","",""
"Strong","2009","16-34 y.","no migration background","","","",""
"Strong","2009","16-34 y.","direct migration background","","","",""
"Strong","2009","16-34 y.","indirect migration background","","","",""
"Strong","2009","35-65 y.","no migration background","","","",""
"Strong","2009","35-65 y.","direct migration background","","","",""
"Strong","2009","35-65 y.","indirect migration background","","","",""
"Strong","2009","66 and older","no migration background","","","",""
"Strong","2009","66 and older","direct migration background","","","",""
"Strong","2009","66 and older","indirect migration background","","","",""
"A little","2009","16-34 y.","no migration background","","","",""
"A little","2009","16-34 y.","direct migration background","","","",""
"A little","2009","16-34 y.","indirect migration background","","","",""
"A little","2009","35-65 y.","no migration background","","","",""
"A little","2009","35-65 y.","direct migration background","","","",""
"A little","2009","35-65 y.","indirect migration background","","","",""
"A little","2009","66 and older","no migration background","","","",""
"A little","2009","66 and older","direct migration background","","","",""
"A little","2009","66 and older","indirect migration background","","","",""
"Not at all","2009","16-34 y.","no migration background","","","",""
"Not at all","2009","16-34 y.","direct migration background","","","",""
"Not at all","2009","16-34 y.","indirect migration background","","","",""
"Not at all","2009","35-65 y.","no migration background","","","",""
"Not at all","2009","35-65 y.","direct migration background","","","",""
"Not at all","2009","35-65 y.","indirect migration background","","","",""
"Not at all","2009","66 and older","no migration background","","","",""
"Not at all","2009","66 and older","direct migration background","","","",""
"Not at all","2009","66 and older","indirect migration background","","","",""
"Strong","2010","16-34 y.","no migration background","37","0.0164552186157851","0.0118242388782018","0.0210861983533684"
"Strong","2010","16-34 y.","direct migration background","3","","",""
"Strong","2010","16-34 y.","indirect migration background","5","","",""
"Strong","2010","35-65 y.","no migration background","599","0.0858320932264962","0.0796730727496286","0.0919911137033637"
"Strong","2010","35-65 y.","direct migration background","95","0.139316864036689","0.116880057881543","0.161753670191836"
"Strong","2010","35-65 y.","indirect migration background","11","","",""
"Strong","2010","66 and older","no migration background","988","0.284491383113749","0.270004710076063","0.298978056151435"
"Strong","2010","66 and older","direct migration background","109","0.378764989086545","0.325450235428963","0.432079742744127"
"Strong","2010","66 and older","indirect migration background","1","","",""
"A little","2010","16-34 y.","no migration background","478","0.161098421878783","0.147716295342751","0.174480548414815"
"A little","2010","16-34 y.","direct migration background","28","","",""
"A little","2010","16-34 y.","indirect migration background","76","0.210689600590261","0.172969713606155","0.248409487574367"
"A little","2010","35-65 y.","no migration background","2530","0.34924992955518","0.338767810546574","0.359732048563786"
"A little","2010","35-65 y.","direct migration background","335","0.386747452488197","0.355192251166107","0.418302653810286"
"A little","2010","35-65 y.","indirect migration background","57","0.282242130438571","0.220478486655867","0.344005774221275"
"A little","2010","66 and older","no migration background","1685","0.457443883691885","0.441447643738833","0.473440123644938"
"A little","2010","66 and older","direct migration background","127","0.371590824130984","0.318479359176893","0.424702289085075"
"A little","2010","66 and older","indirect migration background","3","","",""
"Not at all","2010","16-34 y.","no migration background","2384","0.822446359505431","0.808535865119783","0.836356853891079"
"Not at all","2010","16-34 y.","direct migration background","210","0.863953662537363","0.82066957945031","0.907237745624416"
"Not at all","2010","16-34 y.","indirect migration background","368","0.776416833208856","0.737878587319224","0.814955079098489"
"Not at all","2010","35-65 y.","no migration background","4817","0.564917977218323","0.554017335190459","0.575818619246188"
"Not at all","2010","35-65 y.","direct migration background","485","0.473935683475114","0.441582526088002","0.506288840862226"
"Not at all","2010","35-65 y.","indirect migration background","136","0.654046266554195","0.588771360767597","0.719321172340792"
"Not at all","2010","66 and older","no migration background","1053","0.258064733194366","0.244014808304614","0.272114658084119"
"Not at all","2010","66 and older","direct migration background","82","0.249644186782471","0.202074654039633","0.297213719525309"
"Not at all","2010","66 and older","indirect migration background","2","","",""
"Strong","2011","16-34 y.","no migration background","","","",""
"Strong","2011","16-34 y.","direct migration background","","","",""
"Strong","2011","16-34 y.","indirect migration background","","","",""
"Strong","2011","35-65 y.","no migration background","","","",""
"Strong","2011","35-65 y.","direct migration background","","","",""
"Strong","2011","35-65 y.","indirect migration background","","","",""
"Strong","2011","66 and older","no migration background","","","",""
"Strong","2011","66 and older","direct migration background","","","",""
"Strong","2011","66 and older","indirect migration background","","","",""
"A little","2011","16-34 y.","no migration background","","","",""
"A little","2011","16-34 y.","direct migration background","","","",""
"A little","2011","16-34 y.","indirect migration background","","","",""
"A little","2011","35-65 y.","no migration background","","","",""
"A little","2011","35-65 y.","direct migration background","","","",""
"A little","2011","35-65 y.","indirect migration background","","","",""
"A little","2011","66 and older","no migration background","","","",""
"A little","2011","66 and older","direct migration background","","","",""
"A little","2011","66 and older","indirect migration background","","","",""
"Not at all","2011","16-34 y.","no migration background","","","",""
"Not at all","2011","16-34 y.","direct migration background","","","",""
"Not at all","2011","16-34 y.","indirect migration background","","","",""
"Not at all","2011","35-65 y.","no migration background","","","",""
"Not at all","2011","35-65 y.","direct migration background","","","",""
"Not at all","2011","35-65 y.","indirect migration background","","","",""
"Not at all","2011","66 and older","no migration background","","","",""
"Not at all","2011","66 and older","direct migration background","","","",""
"Not at all","2011","66 and older","indirect migration background","","","",""
"Strong","2012","16-34 y.","no migration background","40","0.0134981460775009","0.00955865152500483","0.017437640629997"
"Strong","2012","16-34 y.","direct migration background","5","","",""
"Strong","2012","16-34 y.","indirect migration background","12","","",""
"Strong","2012","35-65 y.","no migration background","812","0.0892529816259794","0.0835800791051267","0.0949258841468322"
