"ple0004","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Lower Saxony","Not Working","253","0.385922517710748","0.350918706723993","0.420926328697504","2"
"A little","2002","Lower Saxony","Part Time","107","0.246066817569378","0.206490503123386","0.285643132015371","2"
"A little","2002","Rhineland-Palatinate,Saarland","Not Working","178","0.345213760638865","0.304926752023215","0.385500769254515","2"
"A little","2002","Bremen","Full Time","13","","","","2"
"A little","2002","Baden-Württemberg","Part Time","160","0.286814300355331","0.253237955579763","0.3203906451309","2"
"A little","2002","Lower Saxony","Full Time","206","0.275178658694186","0.243976575852537","0.306380741535834","2"
"A little","2002","Rhineland-Palatinate,Saarland","Part Time","61","0.188091456462418","0.14580032937411","0.230382583550726","2"
"A little","2002","Baden-Württemberg","Full Time","246","0.232267667568191","0.208234830542915","0.256300504593468","2"
"A little","2002","Mecklenburg-Western Pomerania","Part Time","38","0.454715576094355","0.360366497377529","0.549064654811182","2"
"A little","2002","Baden-Württemberg","Not Working","325","0.36779111341793","0.336716327988819","0.398865898847042","2"
"A little","2002","Saxony","Full Time","168","0.250621141819967","0.218988167483322","0.282254116156612","2"
"A little","2002","Mecklenburg-Western Pomerania","Full Time","84","0.374468387569748","0.312055494724892","0.436881280414603","2"
"A little","2002","Hamburg","Not Working","29","","","","2"
"A little","2002","Brandenburg","Not Working","160","0.439748937473293","0.390923450732602","0.488574424213984","2"
"A little","2002","Mecklenburg-Western Pomerania","Not Working","70","0.410585518199918","0.338316807871056","0.48285422852878","2"
"A little","2002","Rhineland-Palatinate,Saarland","Full Time","122","0.283693615165994","0.244798287706272","0.322588942625716","2"
"A little","2002","Brandenburg","Part Time","62","0.356484661266765","0.284486151766828","0.428483170766701","2"
"A little","2002","Thuringia","Not Working","148","0.430771136256274","0.380983323517754","0.480558948994793","2"
"A little","2002","Hamburg","Part Time","16","","","","2"
"A little","2002","Hesse","Not Working","161","0.316072814484162","0.276675220040141","0.355470408928183","2"
"A little","2002","Hamburg","Full Time","23","","","","2"
"A little","2002","Brandenburg","Full Time","105","0.262466737499151","0.219403780615868","0.305529694382434","2"
"A little","2002","Bremen","Part Time","7","","","","2"
"A little","2002","Bremen","Not Working","23","","","","2"
"A little","2002","Thuringia","Part Time","56","0.363694084061831","0.292420242783143","0.434967925340519","2"
"A little","2002","Bavaria","Full Time","282","0.203112763843848","0.182157964447126","0.224067563240571","2"
"A little","2002","Schleswig-Holstein","Not Working","73","0.331872995608866","0.274190561478083","0.389555429739648","2"
"A little","2002","Hesse","Part Time","101","0.225248974602385","0.18466417764437","0.2658337715604","2"
"A little","2002","Berlin","Not Working","116","0.456216838832289","0.398792275339365","0.513641402325213","2"
"A little","2002","Hesse","Full Time","148","0.227689252067225","0.196668891640497","0.258709612493952","2"
"A little","2002","Schleswig-Holstein","Part Time","36","0.247525257796354","0.184652207929858","0.310398307662849","2"
"A little","2002","Thuringia","Full Time","100","0.252531669502003","0.21068101601453","0.294382322989477","2"
"A little","2002","Saxony-Anhalt","Not Working","157","0.401745685421385","0.353821626346298","0.449669744496472","2"
"A little","2002","Schleswig-Holstein","Full Time","54","0.198100120089611","0.151988584383192","0.244211655796031","2"
"A little","2002","North Rhine-Westphalia","Not Working","610","0.36497918548687","0.342658175389137","0.387300195584603","2"
"A little","2002","North Rhine-Westphalia","Full Time","408","0.219592353182021","0.201251394072442","0.237933312291599","2"
"A little","2002","North Rhine-Westphalia","Part Time","292","0.278715278572002","0.252665099403084","0.304765457740921","2"
"A little","2002","Bavaria","Part Time","197","0.288476430451011","0.25698340820951","0.319969452692511","2"
"A little","2002","Bavaria","Not Working","413","0.406114353424357","0.376451734695645","0.43577697215307","2"
"A little","2002","Berlin","Full Time","96","0.244052945668605","0.19980618082454","0.28829971051267","2"
