"ple0004","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","16-34 y.","general elemantary","147","0.151132546032934","0.129384854103981","0.172880237961887","2"
"A little","2002","16-34 y.","higher vocational","46","0.165644842078336","0.124194006708423","0.207095677448249","2"
"A little","2002","16-34 y.","higher education","72","0.12447991358721","0.0986190144402876","0.150340812734132","2"
"A little","2002","66 and older","in school","","","","","2"
"A little","2002","66 and older","inadequately","26","","","","2"
"A little","2002","66 and older","general elemantary","341","0.419042646993566","0.38487358383134","0.453211710155791","2"
"A little","2002","66 and older","higher vocational","131","0.534336878926192","0.471619420406306","0.597054337446079","2"
"A little","2002","66 and older","higher education","263","0.495043995578785","0.453106698250331","0.53698129290724","2"
"A little","2002","16-34 y.","in school","43","0.0801946521642485","0.0587296368689119","0.101659667459585","2"
"A little","2002","16-34 y.","inadequately","12","","","","2"
"A little","2002","16-34 y.","vocational + Abi","63","0.135456893746247","0.104184360896412","0.166729426596082","2"
"A little","2002","66 and older","vocational + Abi","43","0.438050610346941","0.341290099857641","0.53481112083624","2"
"A little","2002","16-34 y.","middle vocational","393","0.142783215100292","0.130069861042034","0.15549656915855","2"
"A little","2002","66 and older","middle vocational","865","0.458697132543313","0.436112633370608","0.481281631716018","2"
"A little","2002","35-65 y.","in school","","","","","2"
"A little","2002","35-65 y.","inadequately","70","0.495187847627669","0.418433289031619","0.57194240622372","2"
"A little","2002","35-65 y.","vocational + Abi","153","0.281679034216272","0.246157291228478","0.317200777204066","2"
"A little","2002","35-65 y.","higher vocational","382","0.330591228336572","0.30390806650828","0.357274390164863","2"
"A little","2002","35-65 y.","general elemantary","438","0.425392003219671","0.39579612770281","0.454987878736531","2"
"A little","2002","35-65 y.","middle vocational","2176","0.319635994945204","0.308594244725977","0.33067774516443","2"
"A little","2002","35-65 y.","higher education","779","0.25579895340011","0.241113792274202","0.270484114526017","2"
"Not at all","2002","66 and older","general elemantary","157","0.181920561719879","0.155204621332427","0.208636502107331","3"
"Not at all","2002","66 and older","inadequately","4","","","","3"
