"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2018","no degree/no degree yet","Female","","","","","","","","","","",""
"2018","no degree/no degree yet","Male","","","","","","","","","","",""
"2018","Other degree","Female","","","","","","","","","","",""
"2018","Other degree","Male","","","","","","","","","","",""
"2018","secondary school degree","Female","","","","","","","","","","",""
"2018","secondary school degree","Male","","","","","","","","","","",""
"2019","college entrance qualification","Female","4.85","5","4269","3.33333325386047","4","5.66666650772095","6.33333349227905","4.82","4.88","5","5"
"2019","college entrance qualification","Male","4.66","4.67","4276","3.33333325386047","4","5.33333349227905","6","4.63","4.69","4.66666650772095","4.66666650772095"
"2019","lower secondary degree","Female","4.32","4.33","2571","2.66666674613953","3.33333325386047","5","6","4.27","4.37","4.33333349227905","4.33333349227905"
"2019","lower secondary degree","Male","4.18","4.33","2738","2.66666674613953","3.33333325386047","5","5.66666650772095","4.13","4.23","4.33333349227905","4.33333349227905"
"2019","no degree/no degree yet","Female","4.72","4.67","406","3","4","5.66666650772095","6.33333349227905","4.59","4.85","4.66666650772095","5"
"2019","no degree/no degree yet","Male","4.28","4.33","373","2.33333325386047","3.33333325386047","5.33333349227905","6","4.15","4.41","4","4.66666650772095"
"2019","Other degree","Female","4.62","4.67","1397","3","3.66666674613953","5.66666650772095","6.33333349227905","4.55","4.69","4.66666650772095","4.66666650772095"
"2019","Other degree","Male","4.42","4.33","1156","2.66666674613953","3.66666674613953","5.33333349227905","6","4.34","4.5","4.33333349227905","4.33333349227905"
"2019","secondary school degree","Female","4.58","4.67","4242","3","3.66666674613953","5.33333349227905","6","4.54","4.62","4.66666650772095","4.66666650772095"
"2019","secondary school degree","Male","4.48","4.33","3190","3","3.66666674613953","5.33333349227905","6","4.44","4.52","4.33333349227905","4.66666650772095"
