"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","4.8","5","5200","3.33333325386047","4","5.66666650772095","6.33333349227905","4.77","4.83","4.66666650772095","5"
"2005","lower secondary degree","4.24","4.33","7091","2.66666674613953","3.33333325386047","5","6","4.21","4.27","4.33333349227905","4.33333349227905"
"2005","no degree/no degree yet","4.49","4.67","901","2.66666674613953","3.66666674613953","5.66666650772095","6.33333349227905","4.4","4.58","4.33333349227905","4.66666650772095"
"2005","Other degree","4.13","4","1115","2.66666674613953","3.33333325386047","5","6","4.05","4.21","4","4"
"2005","secondary school degree","4.54","4.67","6027","3","3.66666674613953","5.33333349227905","6","4.51","4.57","4.66666650772095","4.66666650772095"
"2006","college entrance qualification","","","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","","","",""
"2006","Other degree","","","","","","","","","","",""
"2006","secondary school degree","","","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","","","",""
"2007","Other degree","","","","","","","","","","",""
"2007","secondary school degree","","","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","","","",""
"2008","Other degree","","","","","","","","","","",""
"2008","secondary school degree","","","","","","","","","","",""
"2009","college entrance qualification","4.68","4.67","4893","3","4","5.66666650772095","6.33333349227905","4.65","4.71","4.66666650772095","4.66666650772095"
"2009","lower secondary degree","4.11","4","5933","2.5","3.33333325386047","5","5.66666650772095","4.08","4.14","4","4"
"2009","no degree/no degree yet","4.2","4.33","485","2.66666674613953","3.33333325386047","5.33333349227905","6","4.08","4.32","4.33333349227905","4.66666650772095"
"2009","Other degree","4.1","4","804","2.33333325386047","3","5","6","4.01","4.19","4","4.33333349227905"
"2009","secondary school degree","4.38","4.33","5415","3","3.66666674613953","5.33333349227905","6","4.35","4.41","4.33333349227905","4.33333349227905"
"2010","college entrance qualification","","","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","","","",""
"2010","Other degree","","","","","","","","","","",""
"2010","secondary school degree","","","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","","","",""
"2011","Other degree","","","","","","","","","","",""
"2011","secondary school degree","","","","","","","","","","",""
"2012","college entrance qualification","4.79","5","2148","3.33333325386047","4","5.66666650772095","6.33333349227905","4.74","4.84","4.66666650772095","5"
"2012","lower secondary degree","4.51","4.67","1409","3","3.66666674613953","5.33333349227905","6","4.45","4.57","4.33333349227905","4.66666650772095"
"2012","no degree/no degree yet","4.67","4.67","350","3","4","5.66666650772095","6.33333349227905","4.54","4.8","4.33333349227905","4.66666650772095"
"2012","Other degree","4.67","4.67","679","3","4","5.66666650772095","6.33333349227905","4.58","4.76","4.66666650772095","4.66666650772095"
"2012","secondary school degree","4.61","4.67","2388","3","3.66666674613953","5.33333349227905","6","4.56","4.66","4.66666650772095","4.66666650772095"
"2013","college entrance qualification","4.86","5","5394","3.33333325386047","4","5.66666650772095","6.33333349227905","4.83","4.89","5","5"
"2013","lower secondary degree","4.32","4.33","5839","2.66666674613953","3.33333325386047","5.33333349227905","6","4.29","4.35","4.33333349227905","4.33333349227905"
"2013","no degree/no degree yet","4.33","4.67","488","2.66666674613953","3.33333325386047","5.33333349227905","6","4.22","4.44","4.33333349227905","4.66666650772095"
"2013","Other degree","4.46","4.33","1017","3","3.66666674613953","5.33333349227905","6.33333349227905","4.38","4.54","4.33333349227905","4.66666650772095"
"2013","secondary school degree","4.58","4.67","5637","3","3.66666674613953","5.33333349227905","6","4.55","4.61","4.66666650772095","4.66666650772095"
"2014","college entrance qualification","","","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","","","",""
