"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","direct migration background","4.37","4.33","1364","2.67","3.67","5.33","6","7","4.3","4.44","1","7","4.33333349227905","4.33333349227905"
"2005","Employed","indirect migration background","4.66","4.67","548","3","4","5.33","6","7","4.57","4.75","1.33","7","4.66666650772095","5"
"2005","Employed","no migration background","4.54","4.67","10944","3","3.67","5.33","6","7","4.52","4.56","1","7","4.66666650772095","4.66666650772095"
"2005","Not Employed","direct migration background","4.23","4.33","997","2.33","3.33","5","6","7","4.15","4.31","1","7","4","4"
"2005","Not Employed","indirect migration background","4.7","4.67","283","3","3.67","5.67","6.67","7","4.55","4.85","1","7","4.33333349227905","4.66666650772095"
"2005","Not Employed","no migration background","4.34","4.33","6586","2.67","3.33","5.33","6","7","4.31","4.37","1","7","4.33333349227905","4.33333349227905"
"2006","Employed","direct migration background","","","","","","","","","","","","","",""
"2006","Employed","indirect migration background","","","","","","","","","","","","","",""
"2006","Employed","no migration background","","","","","","","","","","","","","",""
"2006","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2006","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2006","Not Employed","no migration background","","","","","","","","","","","","","",""
"2007","Employed","direct migration background","","","","","","","","","","","","","",""
"2007","Employed","indirect migration background","","","","","","","","","","","","","",""
"2007","Employed","no migration background","","","","","","","","","","","","","",""
"2007","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2007","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2007","Not Employed","no migration background","","","","","","","","","","","","","",""
"2008","Employed","direct migration background","","","","","","","","","","","","","",""
"2008","Employed","indirect migration background","","","","","","","","","","","","","",""
"2008","Employed","no migration background","","","","","","","","","","","","","",""
"2008","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2008","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2008","Not Employed","no migration background","","","","","","","","","","","","","",""
"2009","Employed","direct migration background","4.46","4.67","982","2.67","3.67","5.33","6","7","4.38","4.54","1","7","4.33333349227905","4.66666650772095"
"2009","Employed","indirect migration background","4.64","4.67","520","3","4","5.33","6","7","4.54","4.74","1","7","4.33333349227905","4.66666650772095"
"2009","Employed","no migration background","4.4","4.33","9725","3","3.67","5.33","6","7","4.38","4.42","1","7","4.33333349227905","4.33333349227905"
"2009","Not Employed","direct migration background","3.98","4","674","2","3","5","6","7","3.87","4.09","1","7","3.66666674613953","4"
"2009","Not Employed","indirect migration background","4.69","4.67","193","3.33","4","5.67","6.33","7","4.52","4.86","1.5","7","4.33333349227905","5"
"2009","Not Employed","no migration background","4.22","4.33","5944","2.67","3.33","5","6","7","4.19","4.25","1","7","4.33333349227905","4.33333349227905"
"2010","Employed","direct migration background","","","","","","","","","","","","","",""
"2010","Employed","indirect migration background","","","","","","","","","","","","","",""
"2010","Employed","no migration background","","","","","","","","","","","","","",""
"2010","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2010","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2010","Not Employed","no migration background","","","","","","","","","","","","","",""
"2011","Employed","direct migration background","","","","","","","","","","","","","",""
"2011","Employed","indirect migration background","","","","","","","","","","","","","",""
"2011","Employed","no migration background","","","","","","","","","","","","","",""
"2011","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2011","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2011","Not Employed","no migration background","","","","","","","","","","","","","",""
"2012","Employed","direct migration background","4.64","4.67","726","3.33","4","5.33","6","7","4.56","4.72","1.33","7","4.66666650772095","4.66666650772095"
