"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","16-34 y.","Rural Area","4.55","4.67","1768","3","3.67","5.33","6","7","4.5","4.6","1","7","4.66666650772095","4.66666650772095"
"2005","16-34 y.","Urban Area","4.62","4.67","3559","3","4","5.33","6","7","4.58","4.66","1","7","4.66666650772095","4.66666650772095"
"2005","35-65 y.","Rural Area","4.42","4.33","3821","3","3.67","5.33","6","7","4.38","4.46","1","7","4.33333349227905","4.66666650772095"
"2005","35-65 y.","Urban Area","4.5","4.67","7799","3","3.67","5.33","6","7","4.47","4.53","1","7","4.66666650772095","4.66666650772095"
"2005","66 and older","Rural Area","4.11","4","1266","2.33","3.33","5","5.67","7","4.04","4.18","1","7","4","4.33333349227905"
"2005","66 and older","Urban Area","4.25","4.33","2509","2.33","3.33","5.33","6","7","4.2","4.3","1","7","4.33333349227905","4.33333349227905"
"2006","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2006","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2006","66 and older","Rural Area","","","","","","","","","","","","","",""
"2006","66 and older","Urban Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2007","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2007","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2007","66 and older","Rural Area","","","","","","","","","","","","","",""
"2007","66 and older","Urban Area","","","","","","","","","","","","","",""
"2008","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2008","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2008","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2008","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2008","66 and older","Rural Area","","","","","","","","","","","","","",""
"2008","66 and older","Urban Area","","","","","","","","","","","","","",""
"2009","16-34 y.","Rural Area","4.45","4.33","1350","3","3.67","5.33","6","7","4.39","4.51","1","7","4.33333349227905","4.33333349227905"
