"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","in school","Urban Area","4.62","4.67","218","2.67","3.67","5.67","6.33","7","4.46","4.78","2","7","4.66666650772095","5"
"2009","inadequately","Rural Area","3.66","3.66","43","1","3.33","4.67","5","5.67","3.28","4.04","1","5.67","3.33333325386047","4.33333349227905"
"2009","inadequately","Urban Area","3.57","3.65","124","1.67","2.67","4.33","5","6","3.35","3.79","1","7","3.33333325386047","4"
"2009","middle vocational","Rural Area","4.21","4.33","3418","2.67","3.33","5","5.67","7","4.17","4.25","1","7","4","4.33333349227905"
"2009","middle vocational","Urban Area","4.26","4.33","5652","2.67","3.33","5","6","7","4.23","4.29","1","7","4.33333349227905","4.33333349227905"
"2009","vocational + Abi","Rural Area","4.25","4.33","257","2.67","3.33","5","5.67","7","4.11","4.39","1.33","7","4","4.66666650772095"
"2009","vocational + Abi","Urban Area","4.66","4.67","742","3","4","5.67","6.33","7","4.57","4.75","1","7","4.33333349227905","4.66666650772095"
"2010","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2010","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2010","higher education","Rural Area","","","","","","","","","","","","","",""
"2010","higher education","Urban Area","","","","","","","","","","","","","",""
"2010","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2010","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2010","in school","Rural Area","","","","","","","","","","","","","",""
"2010","in school","Urban Area","","","","","","","","","","","","","",""
"2010","inadequately","Rural Area","","","","","","","","","","","","","",""
"2010","inadequately","Urban Area","","","","","","","","","","","","","",""
"2010","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2010","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2010","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2010","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2011","general elemantary","Rural Area","","","","","","","","","","","","","",""
"2011","general elemantary","Urban Area","","","","","","","","","","","","","",""
"2011","higher education","Rural Area","","","","","","","","","","","","","",""
"2011","higher education","Urban Area","","","","","","","","","","","","","",""
"2011","higher vocational","Rural Area","","","","","","","","","","","","","",""
"2011","higher vocational","Urban Area","","","","","","","","","","","","","",""
"2011","in school","Rural Area","","","","","","","","","","","","","",""
"2011","in school","Urban Area","","","","","","","","","","","","","",""
"2011","inadequately","Rural Area","","","","","","","","","","","","","",""
"2011","inadequately","Urban Area","","","","","","","","","","","","","",""
"2011","middle vocational","Rural Area","","","","","","","","","","","","","",""
"2011","middle vocational","Urban Area","","","","","","","","","","","","","",""
"2011","vocational + Abi","Rural Area","","","","","","","","","","","","","",""
"2011","vocational + Abi","Urban Area","","","","","","","","","","","","","",""
"2012","general elemantary","Rural Area","4.54","4.67","299","3","3.67","5.33","6","7","4.4","4.68","1.33","7","4.33333349227905","4.66666650772095"
