"pli0097_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","1-pers.-HH","West Germany","","","","","1"
"Daily","1985","1-pers.-HH","East Germany","","","","","1"
"Daily","1985","(Married) couple without C. ","West Germany","","","","","1"
"Daily","1985","(Married) couple without C. ","East Germany","","","","","1"
"Daily","1985","Single parent ","West Germany","","","","","1"
"Daily","1985","Single parent ","East Germany","","","","","1"
"Daily","1985","Couple + C. LE 16 ","West Germany","","","","","1"
"Daily","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"Daily","1985","Couple + C. GT 16 ","West Germany","","","","","1"
"Daily","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","West Germany","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"Min 1x per month","1985","1-pers.-HH","West Germany","25","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","West Germany","32","0.01347435733743","0.00885399832216944","0.0180947163526906","3"
"Min 1x per month","1985","(Married) couple without C. ","East Germany","","","","","3"
"Min 1x per month","1985","1-pers.-HH","East Germany","","","","","3"
"Min 1x per month","1985","Single parent ","West Germany","12","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","West Germany","50","0.0235164838407053","0.017744730641171","0.0292882370402395","3"
"Min 1x per month","1985","Single parent ","East Germany","","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","West Germany","50","0.0284031942377094","0.0211245385177505","0.0356818499576683","3"
"Min 1x per month","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","West Germany","17","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"Min 1x per week","1985","(Married) couple without C. ","West Germany","17","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","East Germany","","","","","2"
"Min 1x per week","1985","1-pers.-HH","East Germany","","","","","2"
"Min 1x per week","1985","1-pers.-HH","West Germany","13","","","","2"
"Min 1x per week","1985","Single parent ","West Germany","5","","","","2"
"Min 1x per week","1985","Single parent ","East Germany","","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","West Germany","24","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","West Germany","22","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","West Germany","15","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Never","1985","Couple + C. LE 16 ","West Germany","2444","0.90607552221505","0.894964329141033","0.917186715289067","5"
"Never","1985","Couple + C. LE 16 ","East Germany","","","","","5"
"Never","1985","Single parent ","West Germany","496","0.90502097863246","0.880338338225952","0.929703619038968","5"
"Never","1985","Single parent ","East Germany","","","","","5"
"Never","1985","(Married) couple without C. ","East Germany","","","","","5"
