"pli0097_h","year","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","","","",""
"Daily","1985","Employed","","","",""
"Min 1x per week","1985","Not Employed","32","0.00765258427473419","0.00500351075897551","0.0103016577904929"
"Min 1x per week","1985","Employed","71","0.0126048270521146","0.00994775359036176","0.0152619005138674"
"Min 1x per month","1985","Not Employed","54","0.0130107314622365","0.00956592243382373","0.0164555404906493"
"Min 1x per month","1985","Employed","145","0.0253756418688912","0.0216300818111334","0.029121201926649"
"Rarely","1985","Not Employed","132","0.0322279208510289","0.0268593243117163","0.0375965173903416"
"Rarely","1985","Employed","385","0.0661372076490694","0.0602181294199391","0.0720562858781996"
"Never","1985","Not Employed","3939","0.947108763412","0.940304989608526","0.953912537215474"
"Never","1985","Employed","6171","0.895882323429925","0.888608255806359","0.90315639105349"
"Daily","1986","Not Employed","","","",""
"Daily","1986","Employed","","","",""
"Min 1x per week","1986","Not Employed","24","","",""
"Min 1x per week","1986","Employed","72","0.0124385015876813","0.00977107828908758","0.0151059248862751"
"Min 1x per month","1986","Not Employed","46","0.0128803239084612","0.0093341765620958","0.0164264712548266"
"Min 1x per month","1986","Employed","123","0.0228152551332271","0.0192216791151291","0.0264088311513252"
"Rarely","1986","Not Employed","124","0.0287746926680883","0.0235172587521555","0.0340321265840212"
"Rarely","1986","Employed","377","0.0684172085444622","0.0623411879616826","0.0744932291272418"
"Never","1986","Not Employed","3690","0.952119615008078","0.945404815445633","0.958834414570522"
"Never","1986","Employed","6060","0.896329034734629","0.888992548015164","0.903665521454094"
"Daily","1987","Not Employed","","","",""
"Daily","1987","Employed","","","",""
"Min 1x per week","1987","Not Employed","","","",""
"Min 1x per week","1987","Employed","","","",""
"Min 1x per month","1987","Not Employed","","","",""
"Min 1x per month","1987","Employed","","","",""
"Rarely","1987","Not Employed","","","",""
"Rarely","1987","Employed","","","",""
"Never","1987","Not Employed","","","",""
"Never","1987","Employed","","","",""
"Daily","1988","Not Employed","","","",""
"Daily","1988","Employed","","","",""
"Min 1x per week","1988","Not Employed","15","","",""
"Min 1x per week","1988","Employed","54","0.00917172946882563","0.00683420341702418","0.0115092555206271"
"Min 1x per month","1988","Not Employed","33","0.0109681540539289","0.0075303679974926","0.0144059401103651"
"Min 1x per month","1988","Employed","91","0.01731825453472","0.0141194319734445","0.0205170770959954"
"Rarely","1988","Not Employed","130","0.0360190583727545","0.0298686020534428","0.0421695146920663"
"Rarely","1988","Employed","379","0.0712084693900656","0.0649024312134695","0.0775145075666617"
"Never","1988","Not Employed","3348","0.948220442042221","0.94090668106113","0.955534203023312"
"Never","1988","Employed","5865","0.902301546606389","0.895021211964418","0.909581881248359"
"Daily","1989","Not Employed","","","",""
"Daily","1989","Employed","","","",""
"Min 1x per week","1989","Not Employed","","","",""
"Min 1x per week","1989","Employed","","","",""
"Min 1x per month","1989","Not Employed","","","",""
"Min 1x per month","1989","Employed","","","",""
"Rarely","1989","Not Employed","","","",""
"Rarely","1989","Employed","","","",""
"Never","1989","Not Employed","","","",""
"Never","1989","Employed","","","",""
"Daily","1990","Not Employed","11","","",""
"Daily","1990","Employed","13","","",""
"Min 1x per week","1990","Not Employed","17","","",""
"Min 1x per week","1990","Employed","64","0.012628136601087","0.00983738911446424","0.0154188840877098"
"Min 1x per month","1990","Not Employed","57","0.0185994553430874","0.0140065145802085","0.0231923961059663"
"Min 1x per month","1990","Employed","156","0.0315344887820461","0.0271668621022251","0.0359021154618671"
"Rarely","1990","Not Employed","290","0.0896497953351176","0.0799380679764881","0.0993615226937472"
"Rarely","1990","Employed","826","0.158981379759888","0.149842636646467","0.168120122873308"
"Never","1990","Not Employed","2949","0.882033976229048","0.871068216866146","0.89299973559195"
"Never","1990","Employed","5091","0.794977283689803","0.784887336709154","0.805067230670453"
"Daily","1991","Not Employed","","","",""
"Daily","1991","Employed","","","",""
"Min 1x per week","1991","Not Employed","","","",""
"Min 1x per week","1991","Employed","","","",""
"Min 1x per month","1991","Not Employed","","","",""
"Min 1x per month","1991","Employed","","","",""
"Rarely","1991","Not Employed","","","",""
"Rarely","1991","Employed","","","",""
"Never","1991","Not Employed","","","",""
"Never","1991","Employed","","","",""
"Daily","1992","Not Employed","","","",""
"Daily","1992","Employed","","","",""
"Min 1x per week","1992","Not Employed","21","","",""
"Min 1x per week","1992","Employed","90","0.0101437010886386","0.00807189463788353","0.0122155075393936"
"Min 1x per month","1992","Not Employed","68","0.0198159999024336","0.015595085405114","0.0240369143997532"
"Min 1x per month","1992","Employed","164","0.0197334206390518","0.0168577564524835","0.0226090848256202"
"Rarely","1992","Not Employed","177","0.0431472313754049","0.0369934256682906","0.0493010370825192"
"Rarely","1992","Employed","557","0.0674831615201826","0.0622964638309646","0.0726698592094005"
"Never","1992","Not Employed","3922","0.932490964720797","0.924892112096713","0.940089817344882"
"Never","1992","Employed","8175","0.902639716752127","0.896510386561652","0.908769046942601"
"Daily","1993","Not Employed","","","",""
"Daily","1993","Employed","","","",""
"Min 1x per week","1993","Not Employed","","","",""
"Min 1x per week","1993","Employed","","","",""
"Min 1x per month","1993","Not Employed","","","",""
"Min 1x per month","1993","Employed","","","",""
"Rarely","1993","Not Employed","","","",""
"Rarely","1993","Employed","","","",""
"Never","1993","Not Employed","","","",""
"Never","1993","Employed","","","",""
"Daily","1994","Not Employed","","","",""
"Daily","1994","Employed","","","",""
"Min 1x per week","1994","Not Employed","22","","",""
"Min 1x per week","1994","Employed","84","0.0100686680617788","0.00791799732039102","0.0122193388031667"
"Min 1x per month","1994","Not Employed","67","0.0145576867796937","0.0110613124265158","0.0180540611328717"
"Min 1x per month","1994","Employed","143","0.0169126583630287","0.0141349453709551","0.0196903713551024"
"Rarely","1994","Not Employed","215","0.0506605971935906","0.0442587980613758","0.0570623963258055"
"Rarely","1994","Employed","568","0.076407699786646","0.0706850905085819","0.0821303090647102"
"Never","1994","Not Employed","4204","0.930275917701122","0.922841389212967","0.937710446189277"
"Never","1994","Employed","7483","0.896610973788546","0.89005217017293","0.903169777404163"
"Daily","1995","Not Employed","8","","",""
"Daily","1995","Employed","19","","",""
"Min 1x per week","1995","Not Employed","39","0.00834343736172566","0.00576697281812297","0.0109199019053284"
"Min 1x per week","1995","Employed","84","0.00953467363658384","0.00746608593054914","0.0116032613426185"
"Min 1x per month","1995","Not Employed","84","0.0200990876601422","0.0161239673877912","0.0240742079324933"
"Min 1x per month","1995","Employed","157","0.0208002494759058","0.0177623646548287","0.0238381342969828"
"Rarely","1995","Not Employed","278","0.0676585329763874","0.0605444355449088","0.0747726304078659"
"Rarely","1995","Employed","742","0.098297126903972","0.091959837743911","0.104634416064033"
"Never","1995","Not Employed","4379","0.902123350580637","0.893706617992749","0.910540083168524"
"Never","1995","Employed","7476","0.869450565746347","0.862279043843268","0.876622087649427"
"Daily","1996","Not Employed","","","",""
"Daily","1996","Employed","","","",""
"Min 1x per week","1996","Not Employed","25","","",""
"Min 1x per week","1996","Employed","78","0.00938219790605574","0.00732336998370382","0.0114410258284076"
"Min 1x per month","1996","Not Employed","54","0.0123694092136671","0.00918366484825261","0.0155551535790815"
"Min 1x per month","1996","Employed","133","0.0168838645719633","0.014132469008432","0.0196352601354946"
"Rarely","1996","Not Employed","289","0.0691909458918322","0.061876286436126","0.0765056053475384"
"Rarely","1996","Employed","704","0.101185628723287","0.0947452840297305","0.107625973416844"
"Never","1996","Not Employed","4256","0.913543431788425","0.905443100624188","0.921643762952663"
"Never","1996","Employed","7508","0.872548308798693","0.865426632455231","0.879669985142156"
"Daily","1997","Not Employed","","","",""
"Daily","1997","Employed","","","",""
"Min 1x per week","1997","Not Employed","26","","",""
"Min 1x per week","1997","Employed","68","0.00942067925779417","0.00731875855899297","0.0115225999565954"
"Min 1x per month","1997","Not Employed","70","0.0152462122341637","0.0117330758414123","0.0187593486269151"
"Min 1x per month","1997","Employed","145","0.0190523561140531","0.0160777610786479","0.0220269511494582"
"Rarely","1997","Not Employed","226","0.0572461877868828","0.050585445438361","0.0639069301354046"
"Rarely","1997","Employed","561","0.0796697045580795","0.0737778902351352","0.0855615188810237"
"Never","1997","Not Employed","4351","0.921410118446179","0.913694690741244","0.929125546151114"
"Never","1997","Employed","7340","0.891857260070073","0.88509990173445","0.898614618405696"
"Daily","1998","Not Employed","5","","",""
"Daily","1998","Employed","11","","",""
"Min 1x per week","1998","Not Employed","29","","",""
"Min 1x per week","1998","Employed","69","0.00787802667296119","0.00603559907632894","0.00972045426959343"
"Min 1x per month","1998","Not Employed","85","0.0136513496065619","0.0105535256768379","0.016749173536286"
"Min 1x per month","1998","Employed","164","0.0188016286452827","0.0159710494060537","0.0216322078845116"
"Rarely","1998","Not Employed","428","0.0887576282035331","0.0811653256655827","0.0963499307414834"
"Rarely","1998","Employed","901","0.113646899221157","0.107032637860035","0.120261160582279"
"Never","1998","Not Employed","4843","0.89048206195967","0.882145078778634","0.898819045140705"
"Never","1998","Employed","7700","0.858503084489324","0.851239623828441","0.865766545150206"
"Daily","1999","Not Employed","","","",""
"Daily","1999","Employed","","","",""
"Min 1x per week","1999","Not Employed","36","0.00859370382549011","0.00600926606150712","0.0111781415894731"
"Min 1x per week","1999","Employed","86","0.00946164552514982","0.00743320139917288","0.0114900896511268"
"Min 1x per month","1999","Not Employed","73","0.0140844360157426","0.0107850005154313","0.0173838715160538"
"Min 1x per month","1999","Employed","153","0.0169037843036993","0.0142027254457418","0.0196048431616569"
"Rarely","1999","Not Employed","277","0.0588358823683597","0.0522471196573018","0.0654246450794176"
"Rarely","1999","Employed","704","0.0832951894082921","0.0775053198464257","0.0890850589701586"
"Never","1999","Not Employed","4514","0.918485977790408","0.910824677627603","0.926147277953212"
"Never","1999","Employed","7807","0.890339380762859","0.883792307465542","0.896886454060176"
"Daily","2000","Not Employed","","","",""
"Daily","2000","Employed","","","",""
"Min 1x per week","2000","Not Employed","","","",""
"Min 1x per week","2000","Employed","","","",""
"Min 1x per month","2000","Not Employed","","","",""
"Min 1x per month","2000","Employed","","","",""
"Rarely","2000","Not Employed","","","",""
"Rarely","2000","Employed","","","",""
"Never","2000","Not Employed","","","",""
"Never","2000","Employed","","","",""
"Daily","2001","Not Employed","","","",""
"Daily","2001","Employed","","","",""
"Min 1x per week","2001","Not Employed","54","0.00664770496493638","0.0048674505598173","0.00842795937005546"
"Min 1x per week","2001","Employed","139","0.0103457344888727","0.00865536207012273","0.0120361069076227"
"Min 1x per month","2001","Not Employed","132","0.0158898947567774","0.0131503594174969","0.018629430096058"
"Min 1x per month","2001","Employed","249","0.0187328211289922","0.0164678888941814","0.020997753363803"
"Rarely","2001","Not Employed","408","0.0525471865865233","0.0476589965646271","0.0574353766084195"
"Rarely","2001","Employed","987","0.0708790416219431","0.0665920263579387","0.0751660568859475"
"Never","2001","Not Employed","7410","0.924915213691763","0.919141948764491","0.930688478619035"
"Never","2001","Employed","12390","0.900042402760192","0.89503169155835","0.905053113962034"
"Daily","2002","Not Employed","","","",""
"Daily","2002","Employed","","","",""
"Min 1x per week","2002","Not Employed","","","",""
"Min 1x per week","2002","Employed","","","",""
"Min 1x per month","2002","Not Employed","","","",""
"Min 1x per month","2002","Employed","","","",""
"Rarely","2002","Not Employed","","","",""
"Rarely","2002","Employed","","","",""
"Never","2002","Not Employed","","","",""
"Never","2002","Employed","","","",""
"Daily","2003","Not Employed","10","","",""
"Daily","2003","Employed","37","0.00159548034980862","0.000934426946210663","0.00225653375340657"
