"pli0097_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Urban Area","","","","","1"
"Daily","1985","Rural Area","","","","","1"
"Min 1x per month","1985","Rural Area","46","0.0208296114134675","0.0149233463327046","0.0267358764942305","3"
"Min 1x per month","1985","Urban Area","153","0.0197077348390389","0.0167841928639771","0.0226312768141008","3"
"Min 1x per week","1985","Rural Area","25","","","","2"
"Min 1x per week","1985","Urban Area","78","0.0102617896712649","0.00814203835512233","0.0123815409874075","2"
"Never","1985","Rural Area","2055","0.912649675597654","0.900972776482732","0.924326574712577","5"
"Never","1985","Urban Area","8055","0.919998414808451","0.914292096072621","0.925704733544282","5"
"Rarely","1985","Urban Area","397","0.0500320606812447","0.0454465061751767","0.0546176151873127","4"
"Rarely","1985","Rural Area","120","0.0554989149996597","0.0460302949021453","0.0649675350971742","4"
"Daily","1986","Urban Area","","","","","1"
"Daily","1986","Rural Area","","","","","1"
"Min 1x per month","1986","Rural Area","43","0.0228400458834051","0.0165471512960798","0.0291329404707305","3"
"Min 1x per month","1986","Urban Area","126","0.0172448392773072","0.0144527384888856","0.0200369400657289","3"
"Min 1x per week","1986","Rural Area","22","","","","2"
"Min 1x per week","1986","Urban Area","74","0.00920080243380856","0.00715301664420605","0.0112485882234111","2"
"Never","1986","Rural Area","1991","0.916342467061353","0.904679727590019","0.928005206532687","5"
"Never","1986","Urban Area","7759","0.921459674306334","0.915689839687447","0.927229508925222","5"
"Rarely","1986","Urban Area","392","0.0520946839825498","0.0473286401458973","0.0568607278192023","4"
"Rarely","1986","Rural Area","109","0.0491693221067915","0.0400614307019339","0.0582772135116492","4"
"Daily","1987","Urban Area","","","","","1"
"Daily","1987","Rural Area","","","","","1"
"Min 1x per month","1987","Rural Area","","","","","3"
"Min 1x per month","1987","Urban Area","","","","","3"
"Min 1x per week","1987","Urban Area","","","","","2"
"Min 1x per week","1987","Rural Area","","","","","2"
"Never","1987","Rural Area","","","","","5"
"Never","1987","Urban Area","","","","","5"
"Rarely","1987","Urban Area","","","","","4"
"Rarely","1987","Rural Area","","","","","4"
"Daily","1988","Urban Area","","","","","1"
"Daily","1988","Rural Area","","","","","1"
"Min 1x per month","1988","Urban Area","90","0.0130222652978599","0.0105246843169092","0.0155198462788107","3"
"Min 1x per month","1988","Rural Area","34","0.0204346691357725","0.0142340707721798","0.0266352674993653","3"
"Min 1x per week","1988","Urban Area","56","0.00788136199153961","0.00593328968207099","0.00982943430100823","2"
"Min 1x per week","1988","Rural Area","13","","","","2"
"Never","1988","Urban Area","7383","0.923622765707638","0.917771471842237","0.929474059573039","5"
"Never","1988","Rural Area","1830","0.912995127908312","0.900643075956076","0.925347179860548","5"
"Rarely","1988","Urban Area","386","0.0554736070029626","0.0504307937777152","0.0605164202282099","4"
"Rarely","1988","Rural Area","123","0.0609524153870763","0.0504673207840295","0.0714375099901232","4"
"Daily","1989","Rural Area","","","","","1"
"Daily","1989","Urban Area","","","","","1"
"Min 1x per month","1989","Rural Area","","","","","3"
"Min 1x per month","1989","Urban Area","","","","","3"
"Min 1x per week","1989","Urban Area","","","","","2"
"Min 1x per week","1989","Rural Area","","","","","2"
"Never","1989","Urban Area","","","","","5"
"Never","1989","Rural Area","","","","","5"
"Rarely","1989","Urban Area","","","","","4"
"Rarely","1989","Rural Area","","","","","4"
"Daily","1990","Rural Area","4","","","","1"
"Daily","1990","Urban Area","20","","","","1"
"Min 1x per month","1990","Rural Area","204","0.0398036168768674","0.0341809379185131","0.0454262958352217","3"
"Min 1x per month","1990","Urban Area","231","0.0273132318198312","0.0239564048440166","0.0306700587956457","3"
"Min 1x per week","1990","Urban Area","77","0.00906549815675198","0.00711352330124749","0.0110174730122565","2"
"Min 1x per week","1990","Rural Area","93","0.0182860324706855","0.0144325426702335","0.0221395222711376","2"
"Never","1990","Urban Area","7750","0.83883692424209","0.8312646305403","0.84640921794388","5"
"Never","1990","Rural Area","3776","0.812965816440701","0.801750833379195","0.824180799502208","5"
"Rarely","1990","Rural Area","567","0.127730378229226","0.118130306932066","0.137330449526387","4"
"Rarely","1990","Urban Area","979","0.122368688332458","0.115619568887849","0.129117807777067","4"
"Daily","1991","Rural Area","","","","","1"
"Daily","1991","Urban Area","","","","","1"
"Min 1x per month","1991","Rural Area","","","","","3"
"Min 1x per month","1991","Urban Area","","","","","3"
"Min 1x per week","1991","Urban Area","","","","","2"
"Min 1x per week","1991","Rural Area","","","","","2"
"Never","1991","Urban Area","","","","","5"
"Never","1991","Rural Area","","","","","5"
"Rarely","1991","Rural Area","","","","","4"
"Rarely","1991","Urban Area","","","","","4"
"Daily","1992","Rural Area","","","","","1"
"Daily","1992","Urban Area","","","","","1"
"Min 1x per month","1992","Urban Area","121","0.0172803304181745","0.0145403084930478","0.0200203523433013","3"
"Min 1x per month","1992","Rural Area","110","0.0256994624869543","0.0210073808500315","0.0303915441238771","3"
"Min 1x per week","1992","Urban Area","56","0.00669914996789758","0.00498395518902552","0.00841434474676965","2"
"Min 1x per week","1992","Rural Area","54","0.0111243352984572","0.00801430264689493","0.0142343679500195","2"
"Never","1992","Urban Area","8078","0.921451804735181","0.915795046595641","0.92710856287472","5"
"Never","1992","Rural Area","3913","0.896408158601739","0.887372230940676","0.905444086262802","5"
"Rarely","1992","Rural Area","292","0.0667680436128494","0.0593662632295718","0.074169823996127","4"
"Rarely","1992","Urban Area","434","0.0545687148787473","0.0497928718934397","0.0593445578640549","4"
"Daily","1993","Rural Area","","","","","1"
"Daily","1993","Urban Area","","","","","1"
"Min 1x per month","1993","Urban Area","","","","","3"
"Min 1x per month","1993","Rural Area","","","","","3"
"Min 1x per week","1993","Rural Area","","","","","2"
"Min 1x per week","1993","Urban Area","","","","","2"
"Never","1993","Urban Area","","","","","5"
"Never","1993","Rural Area","","","","","5"
"Rarely","1993","Rural Area","","","","","4"
"Rarely","1993","Urban Area","","","","","4"
"Daily","1994","Rural Area","","","","","1"
"Daily","1994","Urban Area","","","","","1"
"Min 1x per month","1994","Urban Area","115","0.0140512114439847","0.0115526791876101","0.0165497437003593","3"
"Min 1x per month","1994","Rural Area","95","0.0203915011134554","0.0161478155746781","0.0246351866522328","3"
"Min 1x per week","1994","Rural Area","51","0.0105125247707332","0.00745020180976518","0.0135748477317013","2"
"Min 1x per week","1994","Urban Area","55","0.00665038380716329","0.00492504132292427","0.0083757262914023","2"
"Never","1994","Urban Area","7876","0.918634131016805","0.912830586510569","0.924437675523042","5"
"Never","1994","Rural Area","3811","0.890814749378133","0.881450606940115","0.900178891816152","5"
"Rarely","1994","Rural Area","304","0.0782812247376779","0.0702159280689559","0.0863465214063998","4"
"Rarely","1994","Urban Area","479","0.0606642737320465","0.0555969597064901","0.0657315877576029","4"
"Daily","1995","Urban Area","16","","","","1"
"Daily","1995","Rural Area","11","","","","1"
"Min 1x per month","1995","Urban Area","135","0.017516221582846","0.0147786083624403","0.0202538348032518","3"
"Min 1x per month","1995","Rural Area","106","0.0273259023801924","0.0225331704331345","0.0321186343272502","3"
"Min 1x per week","1995","Rural Area","46","0.0104920544882254","0.00749667314843754","0.0134874358280134","2"
"Min 1x per week","1995","Urban Area","77","0.00839779318716062","0.00649347063855483","0.0103021157357664","2"
"Never","1995","Rural Area","3862","0.853734165156765","0.843345853116688","0.864122477196843","5"
"Never","1995","Urban Area","7993","0.896008890050337","0.889638831177434","0.902378948923239","5"
"Rarely","1995","Rural Area","420","0.105976492152111","0.0969276826029682","0.115025301701254","4"
"Rarely","1995","Urban Area","600","0.0764880274469371","0.0709416786798268","0.0820343762140474","4"
"Daily","1996","Urban Area","","","","","1"
"Daily","1996","Rural Area","","","","","1"
"Min 1x per month","1996","Urban Area","113","0.013925222463877","0.0114537955585527","0.0163966493692014","3"
"Min 1x per month","1996","Rural Area","74","0.0175925132367588","0.0137124520768284","0.0214725743966892","3"
"Min 1x per week","1996","Rural Area","45","0.0110436450045823","0.00795922452516446","0.0141280654840001","2"
