"pli0097_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","Full Time","","","","","1"
"Daily","1985","16-34 y.","Part Time","","","","","1"
"Daily","1985","16-34 y.","Not Working","","","","","1"
"Daily","1985","35-65 y.","Full Time","","","","","1"
"Daily","1985","35-65 y.","Part Time","","","","","1"
"Daily","1985","35-65 y.","Not Working","","","","","1"
"Daily","1985","66 and older","Full Time","","","","","1"
"Daily","1985","66 and older","Part Time","","","","","1"
"Daily","1985","66 and older","Not Working","","","","","1"
"Min 1x per month","1985","16-34 y.","Not Working","23","","","","3"
"Min 1x per month","1985","66 and older","Full Time","","","","","3"
"Min 1x per month","1985","66 and older","Part Time","","","","","3"
"Min 1x per month","1985","16-34 y.","Part Time","16","","","","3"
"Min 1x per month","1985","35-65 y.","Not Working","25","","","","3"
"Min 1x per month","1985","16-34 y.","Full Time","32","0.0196373177679491","0.0134294126106932","0.0258452229252049","3"
"Min 1x per month","1985","66 and older","Not Working","6","","","","3"
"Min 1x per month","1985","35-65 y.","Full Time","79","0.0343509611343043","0.0278293291290828","0.0408725931395258","3"
"Min 1x per month","1985","35-65 y.","Part Time","18","","","","3"
"Min 1x per week","1985","16-34 y.","Not Working","15","","","","2"
"Min 1x per week","1985","66 and older","Full Time","","","","","2"
"Min 1x per week","1985","16-34 y.","Full Time","10","","","","2"
"Min 1x per week","1985","16-34 y.","Part Time","6","","","","2"
"Min 1x per week","1985","35-65 y.","Not Working","10","","","","2"
"Min 1x per week","1985","35-65 y.","Part Time","12","","","","2"
"Min 1x per week","1985","66 and older","Not Working","7","","","","2"
"Min 1x per week","1985","35-65 y.","Full Time","43","0.0170079092503973","0.0123779447280747","0.0216378737727199","2"
"Min 1x per week","1985","66 and older","Part Time","","","","","2"
"Never","1985","35-65 y.","Part Time","853","0.903591567567387","0.884673103214891","0.922510031919883","5"
"Never","1985","35-65 y.","Full Time","2709","0.882940076091823","0.871428178432962","0.894451973750683","5"
"Never","1985","16-34 y.","Full Time","1768","0.909856286071784","0.897042875943822","0.922669696199747","5"
"Never","1985","16-34 y.","Part Time","799","0.894378076641669","0.874048026890617","0.91470812639272","5"
"Never","1985","16-34 y.","Not Working","1230","0.899404644851073","0.883293576888298","0.915515712813849","5"
"Never","1985","35-65 y.","Not Working","1689","0.951932947421181","0.941956413882831","0.961909480959531","5"
"Never","1985","66 and older","Full Time","17","","","","5"
"Never","1985","66 and older","Part Time","25","","","","5"
"Never","1985","66 and older","Not Working","1020","0.970690070342133","0.960497401771932","0.980882738912333","5"
"Rarely","1985","66 and older","Part Time","2","","","","4"
"Rarely","1985","35-65 y.","Full Time","165","0.0657010535234758","0.0568293650588957","0.074572741988056","4"
"Rarely","1985","16-34 y.","Not Working","71","0.0652457160398687","0.052018070902127","0.0784733611776105","4"
"Rarely","1985","35-65 y.","Not Working","42","0.0258655153297044","0.0184622593169742","0.0332687713424347","4"
"Rarely","1985","16-34 y.","Full Time","109","0.0638677856652555","0.0529277149686377","0.0748078563618733","4"
"Rarely","1985","66 and older","Not Working","19","","","","4"
"Rarely","1985","16-34 y.","Part Time","57","0.0786734941305821","0.0608652198751314","0.0964817683860328","4"
"Rarely","1985","35-65 y.","Part Time","52","0.0613368548845967","0.045956798754618","0.0767169110145754","4"
"Rarely","1985","66 and older","Full Time","","","","","4"
"Daily","1986","16-34 y.","Full Time","","","","","1"
"Daily","1986","16-34 y.","Part Time","","","","","1"
"Daily","1986","16-34 y.","Not Working","","","","","1"
"Daily","1986","35-65 y.","Full Time","","","","","1"
"Daily","1986","35-65 y.","Part Time","","","","","1"
"Daily","1986","35-65 y.","Not Working","","","","","1"
"Daily","1986","66 and older","Full Time","","","","","1"
"Daily","1986","66 and older","Part Time","","","","","1"
"Daily","1986","66 and older","Not Working","","","","","1"
"Min 1x per month","1986","16-34 y.","Full Time","28","","","","3"
"Min 1x per month","1986","16-34 y.","Part Time","17","","","","3"
"Min 1x per month","1986","16-34 y.","Not Working","16","","","","3"
"Min 1x per month","1986","35-65 y.","Not Working","25","","","","3"
"Min 1x per month","1986","66 and older","Full Time","1","","","","3"
"Min 1x per month","1986","66 and older","Part Time","1","","","","3"
"Min 1x per month","1986","66 and older","Not Working","5","","","","3"
"Min 1x per month","1986","35-65 y.","Full Time","64","0.0268846599849778","0.0209547047856421","0.0328146151843134","3"
