"pli0097_h","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","Schleswig-Holstein","","","",""
"Daily","1985","16-34 y.","Hamburg","","","",""
"Daily","1985","16-34 y.","Lower Saxony","","","",""
"Daily","1985","16-34 y.","Bremen","","","",""
"Daily","1985","16-34 y.","North Rhine-Westphalia","","","",""
"Daily","1985","16-34 y.","Hesse","","","",""
"Daily","1985","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1985","16-34 y.","Baden-Württemberg","","","",""
"Daily","1985","16-34 y.","Bavaria","","","",""
"Daily","1985","16-34 y.","Berlin","","","",""
"Daily","1985","16-34 y.","Brandenburg","","","",""
"Daily","1985","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1985","16-34 y.","Saxony","","","",""
"Daily","1985","16-34 y.","Saxony-Anhalt","","","",""
"Daily","1985","16-34 y.","Thuringia","","","",""
"Daily","1985","35-65 y.","Schleswig-Holstein","","","",""
"Daily","1985","35-65 y.","Hamburg","","","",""
"Daily","1985","35-65 y.","Lower Saxony","","","",""
"Daily","1985","35-65 y.","Bremen","","","",""
"Daily","1985","35-65 y.","North Rhine-Westphalia","","","",""
"Daily","1985","35-65 y.","Hesse","","","",""
"Daily","1985","35-65 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1985","35-65 y.","Baden-Württemberg","","","",""
"Daily","1985","35-65 y.","Bavaria","","","",""
"Daily","1985","35-65 y.","Berlin","","","",""
"Daily","1985","35-65 y.","Brandenburg","","","",""
"Daily","1985","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1985","35-65 y.","Saxony","","","",""
"Daily","1985","35-65 y.","Saxony-Anhalt","","","",""
"Daily","1985","35-65 y.","Thuringia","","","",""
"Daily","1985","66 and older","Schleswig-Holstein","","","",""
"Daily","1985","66 and older","Hamburg","","","",""
"Daily","1985","66 and older","Lower Saxony","","","",""
"Daily","1985","66 and older","Bremen","","","",""
"Daily","1985","66 and older","North Rhine-Westphalia","","","",""
"Daily","1985","66 and older","Hesse","","","",""
"Daily","1985","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Daily","1985","66 and older","Baden-Württemberg","","","",""
"Daily","1985","66 and older","Bavaria","","","",""
"Daily","1985","66 and older","Berlin","","","",""
"Daily","1985","66 and older","Brandenburg","","","",""
"Daily","1985","66 and older","Mecklenburg-Western Pomerania","","","",""
"Daily","1985","66 and older","Saxony","","","",""
"Daily","1985","66 and older","Saxony-Anhalt","","","",""
"Daily","1985","66 and older","Thuringia","","","",""
"Min 1x per week","1985","16-34 y.","Schleswig-Holstein","1","","",""
"Min 1x per week","1985","16-34 y.","Hamburg","1","","",""
"Min 1x per week","1985","16-34 y.","Lower Saxony","4","","",""
"Min 1x per week","1985","16-34 y.","Bremen","1","","",""
"Min 1x per week","1985","16-34 y.","North Rhine-Westphalia","7","","",""
"Min 1x per week","1985","16-34 y.","Hesse","6","","",""
"Min 1x per week","1985","16-34 y.","Rhineland-Palatinate,Saarland","2","","",""
"Min 1x per week","1985","16-34 y.","Baden-Württemberg","4","","",""
"Min 1x per week","1985","16-34 y.","Bavaria","3","","",""
"Min 1x per week","1985","16-34 y.","Berlin","2","","",""
"Min 1x per week","1985","16-34 y.","Brandenburg","","","",""
"Min 1x per week","1985","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1985","16-34 y.","Saxony","","","",""
"Min 1x per week","1985","16-34 y.","Saxony-Anhalt","","","",""
"Min 1x per week","1985","16-34 y.","Thuringia","","","",""
"Min 1x per week","1985","35-65 y.","Schleswig-Holstein","2","","",""
"Min 1x per week","1985","35-65 y.","Hamburg","2","","",""
"Min 1x per week","1985","35-65 y.","Lower Saxony","8","","",""
"Min 1x per week","1985","35-65 y.","Bremen","","","",""
"Min 1x per week","1985","35-65 y.","North Rhine-Westphalia","10","","",""
"Min 1x per week","1985","35-65 y.","Hesse","8","","",""
"Min 1x per week","1985","35-65 y.","Rhineland-Palatinate,Saarland","12","","",""
"Min 1x per week","1985","35-65 y.","Baden-Württemberg","8","","",""
"Min 1x per week","1985","35-65 y.","Bavaria","15","","",""
"Min 1x per week","1985","35-65 y.","Berlin","","","",""
"Min 1x per week","1985","35-65 y.","Brandenburg","","","",""
"Min 1x per week","1985","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1985","35-65 y.","Saxony","","","",""
"Min 1x per week","1985","35-65 y.","Saxony-Anhalt","","","",""
"Min 1x per week","1985","35-65 y.","Thuringia","","","",""
"Min 1x per week","1985","66 and older","Schleswig-Holstein","","","",""
"Min 1x per week","1985","66 and older","Hamburg","","","",""
"Min 1x per week","1985","66 and older","Lower Saxony","1","","",""
"Min 1x per week","1985","66 and older","Bremen","","","",""
"Min 1x per week","1985","66 and older","North Rhine-Westphalia","1","","",""
"Min 1x per week","1985","66 and older","Hesse","1","","",""
"Min 1x per week","1985","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1985","66 and older","Baden-Württemberg","2","","",""
"Min 1x per week","1985","66 and older","Bavaria","2","","",""
"Min 1x per week","1985","66 and older","Berlin","","","",""
"Min 1x per week","1985","66 and older","Brandenburg","","","",""
"Min 1x per week","1985","66 and older","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1985","66 and older","Saxony","","","",""
"Min 1x per week","1985","66 and older","Saxony-Anhalt","","","",""
"Min 1x per week","1985","66 and older","Thuringia","","","",""
"Min 1x per month","1985","16-34 y.","Schleswig-Holstein","6","","",""
"Min 1x per month","1985","16-34 y.","Hamburg","2","","",""
"Min 1x per month","1985","16-34 y.","Lower Saxony","6","","",""
"Min 1x per month","1985","16-34 y.","Bremen","","","",""
"Min 1x per month","1985","16-34 y.","North Rhine-Westphalia","15","","",""
"Min 1x per month","1985","16-34 y.","Hesse","9","","",""
"Min 1x per month","1985","16-34 y.","Rhineland-Palatinate,Saarland","5","","",""
"Min 1x per month","1985","16-34 y.","Baden-Württemberg","6","","",""
"Min 1x per month","1985","16-34 y.","Bavaria","19","","",""
"Min 1x per month","1985","16-34 y.","Berlin","3","","",""
"Min 1x per month","1985","16-34 y.","Brandenburg","","","",""
"Min 1x per month","1985","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1985","16-34 y.","Saxony","","","",""
"Min 1x per month","1985","16-34 y.","Saxony-Anhalt","","","",""
"Min 1x per month","1985","16-34 y.","Thuringia","","","",""
