"pli0097_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","Male","","","",""
"Daily","1985","Not Employed","Female","","","",""
"Daily","1985","Employed","Male","","","",""
"Daily","1985","Employed","Female","","","",""
"Min 1x per week","1985","Not Employed","Male","20","","",""
"Min 1x per week","1985","Not Employed","Female","12","","",""
"Min 1x per week","1985","Employed","Male","61","0.0172573612833568","0.0133047222161997","0.0212100003505139"
"Min 1x per week","1985","Employed","Female","10","","",""
"Min 1x per month","1985","Not Employed","Male","23","","",""
"Min 1x per month","1985","Not Employed","Female","31","0.0099251244351393","0.00634613824009418","0.0135041106301844"
"Min 1x per month","1985","Employed","Male","106","0.0306100077904211","0.0253817011684138","0.0358383144124284"
"Min 1x per month","1985","Employed","Female","39","0.0173915379494181","0.0123686476961358","0.0224144282027003"
"Rarely","1985","Not Employed","Male","46","0.0387901921650843","0.027910278023142","0.0496701063070267"
"Rarely","1985","Not Employed","Female","86","0.0294372111175971","0.0233345651969691","0.0355398570382251"
"Rarely","1985","Employed","Male","279","0.0791733254732118","0.0709781463086719","0.0873685046377516"
"Rarely","1985","Employed","Female","106","0.0462529043781912","0.0381827737691506","0.0543230349872318"
"Never","1985","Not Employed","Male","1121","0.925426076261672","0.910624097751641","0.940228054771703"
"Never","1985","Not Employed","Female","2818","0.956329669281554","0.948951390199227","0.963707948363882"
"Never","1985","Employed","Male","3724","0.87295930545301","0.86285169507544","0.883066915830581"
"Never","1985","Employed","Female","2447","0.930847352703641","0.921098846237509","0.940595859169774"
"Daily","1986","Not Employed","Male","","","",""
"Daily","1986","Not Employed","Female","","","",""
"Daily","1986","Employed","Male","","","",""
"Daily","1986","Employed","Female","","","",""
"Min 1x per week","1986","Not Employed","Male","13","","",""
"Min 1x per week","1986","Not Employed","Female","11","","",""
"Min 1x per week","1986","Employed","Male","64","0.0177892135291144","0.0137136807597299","0.0218647462984989"
"Min 1x per week","1986","Employed","Female","8","","",""
"Min 1x per month","1986","Not Employed","Male","22","","",""
"Min 1x per month","1986","Not Employed","Female","24","","",""
"Min 1x per month","1986","Employed","Male","91","0.0283768221811564","0.023257240477726","0.0334964038845867"
"Min 1x per month","1986","Employed","Female","32","0.0144541637630907","0.00985848902419389","0.0190498385019876"
"Rarely","1986","Not Employed","Male","42","0.034560594806933","0.0240759932578425","0.0450451963560234"
"Rarely","1986","Not Employed","Female","82","0.0262423226343579","0.0202326620078432","0.0322519832608727"
"Rarely","1986","Employed","Male","269","0.081309077053491","0.0728823700420428","0.0897357840649391"
"Rarely","1986","Employed","Female","108","0.0490359640846103","0.0407211261243542","0.0573508020448664"
"Never","1986","Not Employed","Male","1089","0.931665267093896","0.917182567615646","0.946147966572146"
"Never","1986","Not Employed","Female","2601","0.961072061225517","0.953800426662356","0.968343695788677"
"Never","1986","Employed","Male","3617","0.872524887236238","0.862242231878761","0.882807542593716"
"Never","1986","Employed","Female","2443","0.932115468757097","0.922429687563569","0.941801249950626"
"Daily","1987","Not Employed","Male","","","",""
"Daily","1987","Not Employed","Female","","","",""
"Daily","1987","Employed","Male","","","",""
"Daily","1987","Employed","Female","","","",""
"Min 1x per week","1987","Not Employed","Male","","","",""
"Min 1x per week","1987","Not Employed","Female","","","",""
"Min 1x per week","1987","Employed","Male","","","",""
"Min 1x per week","1987","Employed","Female","","","",""
"Min 1x per month","1987","Not Employed","Male","","","",""
"Min 1x per month","1987","Not Employed","Female","","","",""
"Min 1x per month","1987","Employed","Male","","","",""
"Min 1x per month","1987","Employed","Female","","","",""
"Rarely","1987","Not Employed","Male","","","",""
"Rarely","1987","Not Employed","Female","","","",""
"Rarely","1987","Employed","Male","","","",""
"Rarely","1987","Employed","Female","","","",""
"Never","1987","Not Employed","Male","","","",""
"Never","1987","Not Employed","Female","","","",""
"Never","1987","Employed","Male","","","",""
"Never","1987","Employed","Female","","","",""
"Daily","1988","Not Employed","Male","","","",""
"Daily","1988","Not Employed","Female","","","",""
"Daily","1988","Employed","Male","","","",""
"Daily","1988","Employed","Female","","","",""
"Min 1x per week","1988","Not Employed","Male","10","","",""
"Min 1x per week","1988","Not Employed","Female","5","","",""
"Min 1x per week","1988","Employed","Male","46","0.0131893810415003","0.00957677062558623","0.0168019914574143"
"Min 1x per week","1988","Employed","Female","8","","",""
"Min 1x per month","1988","Not Employed","Male","18","","",""
"Min 1x per month","1988","Not Employed","Female","15","","",""
"Min 1x per month","1988","Employed","Male","73","0.0236250313685395","0.0188156797472449","0.0284343829898342"
