"pli0097_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","West Germany","","","","","1"
"Daily","1985","Not Employed","East Germany","","","","","1"
"Daily","1985","Employed","West Germany","","","","","1"
"Daily","1985","Employed","East Germany","","","","","1"
"Min 1x per month","1985","Employed","West Germany","145","0.0253756418688912","0.0216300818111334","0.029121201926649","3"
"Min 1x per month","1985","Not Employed","West Germany","54","0.0130107314622365","0.00956592243382373","0.0164555404906493","3"
"Min 1x per month","1985","Employed","East Germany","","","","","3"
"Min 1x per month","1985","Not Employed","East Germany","","","","","3"
"Min 1x per week","1985","Not Employed","East Germany","","","","","2"
"Min 1x per week","1985","Employed","West Germany","71","0.0126048270521146","0.00994775359036176","0.0152619005138674","2"
"Min 1x per week","1985","Employed","East Germany","","","","","2"
"Min 1x per week","1985","Not Employed","West Germany","32","0.00765258427473419","0.00500351075897551","0.0103016577904929","2"
"Never","1985","Not Employed","West Germany","3939","0.947108763412","0.940304989608526","0.953912537215474","5"
"Never","1985","Not Employed","East Germany","","","","","5"
"Never","1985","Employed","West Germany","6171","0.895882323429925","0.888608255806359","0.90315639105349","5"
"Never","1985","Employed","East Germany","","","","","5"
"Rarely","1985","Not Employed","East Germany","","","","","4"
"Rarely","1985","Employed","West Germany","385","0.0661372076490694","0.0602181294199391","0.0720562858781996","4"
"Rarely","1985","Not Employed","West Germany","132","0.0322279208510289","0.0268593243117163","0.0375965173903416","4"
"Rarely","1985","Employed","East Germany","","","","","4"
"Daily","1986","Not Employed","West Germany","","","","","1"
"Daily","1986","Not Employed","East Germany","","","","","1"
"Daily","1986","Employed","West Germany","","","","","1"
"Daily","1986","Employed","East Germany","","","","","1"
"Min 1x per month","1986","Employed","West Germany","123","0.0228152551332271","0.0192216791151291","0.0264088311513252","3"
"Min 1x per month","1986","Not Employed","East Germany","","","","","3"
"Min 1x per month","1986","Employed","East Germany","","","","","3"
"Min 1x per month","1986","Not Employed","West Germany","46","0.0128803239084612","0.0093341765620958","0.0164264712548266","3"
"Min 1x per week","1986","Employed","West Germany","72","0.0124385015876813","0.00977107828908758","0.0151059248862751","2"
"Min 1x per week","1986","Not Employed","West Germany","24","","","","2"
"Min 1x per week","1986","Not Employed","East Germany","","","","","2"
"Min 1x per week","1986","Employed","East Germany","","","","","2"
"Never","1986","Not Employed","West Germany","3690","0.952119615008078","0.945404815445633","0.958834414570522","5"
"Never","1986","Not Employed","East Germany","","","","","5"
"Never","1986","Employed","West Germany","6060","0.896329034734629","0.888992548015164","0.903665521454094","5"
"Never","1986","Employed","East Germany","","","","","5"
"Rarely","1986","Employed","West Germany","377","0.0684172085444622","0.0623411879616826","0.0744932291272418","4"
"Rarely","1986","Not Employed","East Germany","","","","","4"
"Rarely","1986","Not Employed","West Germany","124","0.0287746926680883","0.0235172587521555","0.0340321265840212","4"
"Rarely","1986","Employed","East Germany","","","","","4"
"Daily","1987","Not Employed","West Germany","","","","","1"
"Daily","1987","Employed","East Germany","","","","","1"
"Daily","1987","Not Employed","East Germany","","","","","1"
"Daily","1987","Employed","West Germany","","","","","1"
"Min 1x per month","1987","Employed","West Germany","","","","","3"
"Min 1x per month","1987","Employed","East Germany","","","","","3"
"Min 1x per month","1987","Not Employed","East Germany","","","","","3"
"Min 1x per month","1987","Not Employed","West Germany","","","","","3"
"Min 1x per week","1987","Employed","East Germany","","","","","2"
"Min 1x per week","1987","Not Employed","West Germany","","","","","2"
"Min 1x per week","1987","Not Employed","East Germany","","","","","2"
"Min 1x per week","1987","Employed","West Germany","","","","","2"
"Never","1987","Not Employed","West Germany","","","","","5"
