"pli0097_h","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","Full Time","","","",""
"Daily","1985","Schleswig-Holstein","Part Time","","","",""
"Daily","1985","Schleswig-Holstein","Not Working","","","",""
"Daily","1985","Hamburg","Full Time","","","",""
"Daily","1985","Hamburg","Part Time","","","",""
"Daily","1985","Hamburg","Not Working","","","",""
"Daily","1985","Lower Saxony","Full Time","","","",""
"Daily","1985","Lower Saxony","Part Time","","","",""
"Daily","1985","Lower Saxony","Not Working","","","",""
"Daily","1985","Bremen","Full Time","","","",""
"Daily","1985","Bremen","Part Time","","","",""
"Daily","1985","Bremen","Not Working","","","",""
"Daily","1985","North Rhine-Westphalia","Full Time","","","",""
"Daily","1985","North Rhine-Westphalia","Part Time","","","",""
"Daily","1985","North Rhine-Westphalia","Not Working","","","",""
"Daily","1985","Hesse","Full Time","","","",""
"Daily","1985","Hesse","Part Time","","","",""
"Daily","1985","Hesse","Not Working","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Not Working","","","",""
"Daily","1985","Baden-Württemberg","Full Time","","","",""
"Daily","1985","Baden-Württemberg","Part Time","","","",""
"Daily","1985","Baden-Württemberg","Not Working","","","",""
"Daily","1985","Bavaria","Full Time","","","",""
"Daily","1985","Bavaria","Part Time","","","",""
"Daily","1985","Bavaria","Not Working","","","",""
"Daily","1985","Berlin","Full Time","","","",""
"Daily","1985","Berlin","Part Time","","","",""
"Daily","1985","Berlin","Not Working","","","",""
"Daily","1985","Brandenburg","Full Time","","","",""
"Daily","1985","Brandenburg","Part Time","","","",""
"Daily","1985","Brandenburg","Not Working","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Full Time","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Part Time","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Not Working","","","",""
"Daily","1985","Saxony","Full Time","","","",""
"Daily","1985","Saxony","Part Time","","","",""
"Daily","1985","Saxony","Not Working","","","",""
"Daily","1985","Saxony-Anhalt","Full Time","","","",""
"Daily","1985","Saxony-Anhalt","Part Time","","","",""
"Daily","1985","Saxony-Anhalt","Not Working","","","",""
"Daily","1985","Thuringia","Full Time","","","",""
"Daily","1985","Thuringia","Part Time","","","",""
"Daily","1985","Thuringia","Not Working","","","",""
"Min 1x per week","1985","Schleswig-Holstein","Full Time","2","","",""
"Min 1x per week","1985","Schleswig-Holstein","Part Time","1","","",""
"Min 1x per week","1985","Schleswig-Holstein","Not Working","","","",""
"Min 1x per week","1985","Hamburg","Full Time","2","","",""
"Min 1x per week","1985","Hamburg","Part Time","","","",""
"Min 1x per week","1985","Hamburg","Not Working","1","","",""
"Min 1x per week","1985","Lower Saxony","Full Time","6","","",""
"Min 1x per week","1985","Lower Saxony","Part Time","3","","",""
"Min 1x per week","1985","Lower Saxony","Not Working","4","","",""
"Min 1x per week","1985","Bremen","Full Time","1","","",""
"Min 1x per week","1985","Bremen","Part Time","","","",""
"Min 1x per week","1985","Bremen","Not Working","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Full Time","10","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Part Time","1","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Not Working","7","","",""
"Min 1x per week","1985","Hesse","Full Time","5","","",""
"Min 1x per week","1985","Hesse","Part Time","5","","",""
"Min 1x per week","1985","Hesse","Not Working","5","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Full Time","11","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Part Time","1","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Not Working","2","","",""
"Min 1x per week","1985","Baden-Württemberg","Full Time","6","","",""
"Min 1x per week","1985","Baden-Württemberg","Part Time","4","","",""
"Min 1x per week","1985","Baden-Württemberg","Not Working","4","","",""
"Min 1x per week","1985","Bavaria","Full Time","10","","",""
"Min 1x per week","1985","Bavaria","Part Time","2","","",""
"Min 1x per week","1985","Bavaria","Not Working","8","","",""
"Min 1x per week","1985","Berlin","Full Time","","","",""
"Min 1x per week","1985","Berlin","Part Time","1","","",""
"Min 1x per week","1985","Berlin","Not Working","1","","",""
"Min 1x per week","1985","Brandenburg","Full Time","","","",""
"Min 1x per week","1985","Brandenburg","Part Time","","","",""
"Min 1x per week","1985","Brandenburg","Not Working","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Full Time","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Part Time","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Not Working","","","",""
"Min 1x per week","1985","Saxony","Full Time","","","",""
"Min 1x per week","1985","Saxony","Part Time","","","",""
"Min 1x per week","1985","Saxony","Not Working","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Full Time","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Part Time","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Not Working","","","",""
"Min 1x per week","1985","Thuringia","Full Time","","","",""
"Min 1x per week","1985","Thuringia","Part Time","","","",""
"Min 1x per week","1985","Thuringia","Not Working","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Full Time","9","","",""
"Min 1x per month","1985","Schleswig-Holstein","Part Time","4","","",""
"Min 1x per month","1985","Schleswig-Holstein","Not Working","1","","",""
"Min 1x per month","1985","Hamburg","Full Time","1","","",""
"Min 1x per month","1985","Hamburg","Part Time","1","","",""
"Min 1x per month","1985","Hamburg","Not Working","2","","",""
"Min 1x per month","1985","Lower Saxony","Full Time","11","","",""
"Min 1x per month","1985","Lower Saxony","Part Time","3","","",""
"Min 1x per month","1985","Lower Saxony","Not Working","5","","",""
"Min 1x per month","1985","Bremen","Full Time","","","",""
"Min 1x per month","1985","Bremen","Part Time","","","",""
"Min 1x per month","1985","Bremen","Not Working","1","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Full Time","28","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Part Time","9","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Not Working","17","","",""
"Min 1x per month","1985","Hesse","Full Time","10","","",""
"Min 1x per month","1985","Hesse","Part Time","2","","",""
"Min 1x per month","1985","Hesse","Not Working","7","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Full Time","15","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Not Working","2","","",""
"Min 1x per month","1985","Baden-Württemberg","Full Time","12","","",""
"Min 1x per month","1985","Baden-Württemberg","Part Time","","","",""
"Min 1x per month","1985","Baden-Württemberg","Not Working","5","","",""
"Min 1x per month","1985","Bavaria","Full Time","22","","",""
"Min 1x per month","1985","Bavaria","Part Time","12","","",""
"Min 1x per month","1985","Bavaria","Not Working","11","","",""
"Min 1x per month","1985","Berlin","Full Time","3","","",""
"Min 1x per month","1985","Berlin","Part Time","3","","",""
"Min 1x per month","1985","Berlin","Not Working","3","","",""
"Min 1x per month","1985","Brandenburg","Full Time","","","",""
"Min 1x per month","1985","Brandenburg","Part Time","","","",""
"Min 1x per month","1985","Brandenburg","Not Working","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Full Time","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Part Time","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Not Working","","","",""
"Min 1x per month","1985","Saxony","Full Time","","","",""
"Min 1x per month","1985","Saxony","Part Time","","","",""
"Min 1x per month","1985","Saxony","Not Working","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Full Time","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Part Time","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Not Working","","","",""
"Min 1x per month","1985","Thuringia","Full Time","","","",""
"Min 1x per month","1985","Thuringia","Part Time","","","",""
"Min 1x per month","1985","Thuringia","Not Working","","","",""
"Rarely","1985","Schleswig-Holstein","Full Time","12","","",""
"Rarely","1985","Schleswig-Holstein","Part Time","3","","",""
"Rarely","1985","Schleswig-Holstein","Not Working","4","","",""
"Rarely","1985","Hamburg","Full Time","5","","",""
"Rarely","1985","Hamburg","Part Time","1","","",""
"Rarely","1985","Hamburg","Not Working","1","","",""
"Rarely","1985","Lower Saxony","Full Time","29","","",""
"Rarely","1985","Lower Saxony","Part Time","10","","",""
"Rarely","1985","Lower Saxony","Not Working","12","","",""
"Rarely","1985","Bremen","Full Time","1","","",""
"Rarely","1985","Bremen","Part Time","1","","",""
"Rarely","1985","Bremen","Not Working","3","","",""
"Rarely","1985","North Rhine-Westphalia","Full Time","78","0.0654686359040768","0.0519444817010204","0.0789927901071332"
"Rarely","1985","North Rhine-Westphalia","Part Time","37","0.0978556511234939","0.070936823806143","0.124774478440845"
"Rarely","1985","North Rhine-Westphalia","Not Working","46","0.0367960624485244","0.0260907420699692","0.0475013828270795"
"Rarely","1985","Hesse","Full Time","28","","",""
"Rarely","1985","Hesse","Part Time","10","","",""
"Rarely","1985","Hesse","Not Working","14","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Full Time","19","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Part Time","8","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Not Working","12","","",""
"Rarely","1985","Baden-Württemberg","Full Time","35","0.0426924307023567","0.0303222626944742","0.0550625987102391"
"Rarely","1985","Baden-Württemberg","Part Time","21","","",""
"Rarely","1985","Baden-Württemberg","Not Working","15","","",""
"Rarely","1985","Bavaria","Full Time","56","0.0732254468235944","0.055964598747338","0.0904862948998508"
"Rarely","1985","Bavaria","Part Time","17","","",""
"Rarely","1985","Bavaria","Not Working","22","","",""
