"pli0097_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","in school","","","","","1"
"Daily","1985","16-34 y.","inadequately","","","","","1"
"Daily","1985","16-34 y.","general elemantary","","","","","1"
"Daily","1985","16-34 y.","middle vocational","","","","","1"
"Daily","1985","16-34 y.","vocational + Abi","","","","","1"
"Daily","1985","16-34 y.","higher vocational","","","","","1"
"Daily","1985","16-34 y.","higher education","","","","","1"
"Daily","1985","35-65 y.","in school","","","","","1"
"Daily","1985","35-65 y.","inadequately","","","","","1"
"Daily","1985","35-65 y.","general elemantary","","","","","1"
"Daily","1985","35-65 y.","middle vocational","","","","","1"
"Daily","1985","35-65 y.","vocational + Abi","","","","","1"
"Daily","1985","35-65 y.","higher vocational","","","","","1"
"Daily","1985","35-65 y.","higher education","","","","","1"
"Daily","1985","66 and older","in school","","","","","1"
"Daily","1985","66 and older","inadequately","","","","","1"
"Daily","1985","66 and older","general elemantary","","","","","1"
"Daily","1985","66 and older","middle vocational","","","","","1"
"Daily","1985","66 and older","vocational + Abi","","","","","1"
"Daily","1985","66 and older","higher vocational","","","","","1"
"Daily","1985","66 and older","higher education","","","","","1"
"Min 1x per month","1985","35-65 y.","middle vocational","62","0.0257178505360058","0.0197237856344384","0.0317119154375731","3"
"Min 1x per month","1985","66 and older","higher vocational","","","","","3"
"Min 1x per month","1985","35-65 y.","in school","","","","","3"
"Min 1x per month","1985","35-65 y.","general elemantary","12","","","","3"
"Min 1x per month","1985","35-65 y.","vocational + Abi","5","","","","3"
"Min 1x per month","1985","35-65 y.","higher vocational","13","","","","3"
"Min 1x per month","1985","66 and older","middle vocational","3","","","","3"
"Min 1x per month","1985","35-65 y.","inadequately","2","","","","3"
"Min 1x per month","1985","35-65 y.","higher education","28","","","","3"
"Min 1x per month","1985","66 and older","in school","","","","","3"
"Min 1x per month","1985","66 and older","inadequately","","","","","3"
"Min 1x per month","1985","66 and older","general elemantary","2","","","","3"
"Min 1x per month","1985","66 and older","vocational + Abi","","","","","3"
"Min 1x per month","1985","66 and older","higher education","1","","","","3"
"Min 1x per month","1985","16-34 y.","in school","1","","","","3"
"Min 1x per month","1985","16-34 y.","inadequately","","","","","3"
"Min 1x per month","1985","16-34 y.","general elemantary","17","","","","3"
"Min 1x per month","1985","16-34 y.","middle vocational","31","0.0174538356252504","0.0116174795637547","0.0232901916867462","3"
"Min 1x per month","1985","16-34 y.","vocational + Abi","6","","","","3"
"Min 1x per month","1985","16-34 y.","higher vocational","5","","","","3"
"Min 1x per month","1985","16-34 y.","higher education","10","","","","3"
"Min 1x per week","1985","66 and older","higher education","1","","","","2"
"Min 1x per week","1985","66 and older","higher vocational","1","","","","2"
"Min 1x per week","1985","16-34 y.","in school","1","","","","2"
"Min 1x per week","1985","35-65 y.","higher education","16","","","","2"
"Min 1x per week","1985","66 and older","general elemantary","1","","","","2"
"Min 1x per week","1985","16-34 y.","inadequately","1","","","","2"
"Min 1x per week","1985","16-34 y.","general elemantary","6","","","","2"
"Min 1x per week","1985","16-34 y.","middle vocational","10","","","","2"
"Min 1x per week","1985","16-34 y.","vocational + Abi","2","","","","2"
"Min 1x per week","1985","35-65 y.","in school","","","","","2"
"Min 1x per week","1985","35-65 y.","inadequately","2","","","","2"
"Min 1x per week","1985","35-65 y.","general elemantary","7","","","","2"
"Min 1x per week","1985","35-65 y.","middle vocational","28","","","","2"
"Min 1x per week","1985","35-65 y.","vocational + Abi","3","","","","2"
"Min 1x per week","1985","35-65 y.","higher vocational","9","","","","2"
"Min 1x per week","1985","66 and older","in school","","","","","2"
"Min 1x per week","1985","66 and older","inadequately","","","","","2"
"Min 1x per week","1985","66 and older","middle vocational","4","","","","2"
"Min 1x per week","1985","66 and older","vocational + Abi","","","","","2"
"Min 1x per week","1985","16-34 y.","higher vocational","4","","","","2"
"Min 1x per week","1985","16-34 y.","higher education","6","","","","2"
"Never","1985","66 and older","higher vocational","72","0.938376238769245","0.884312771245922","0.992439706292567","5"
"Never","1985","66 and older","higher education","53","0.977282787543463","0.937904720776169","1.01666085431076","5"
"Never","1985","16-34 y.","in school","174","0.922786974886736","0.884426177081672","0.9611477726918","5"
"Never","1985","16-34 y.","inadequately","234","0.986131826208654","0.971274634136777","1.00098901828053","5"
"Never","1985","16-34 y.","general elemantary","1072","0.928722312686475","0.913740896258828","0.943703729114122","5"
"Never","1985","16-34 y.","middle vocational","1777","0.911347854349042","0.898679897670599","0.924015811027484","5"
"Never","1985","16-34 y.","vocational + Abi","118","0.789968687019194","0.724121627500249","0.85581574653814","5"
"Never","1985","16-34 y.","higher vocational","166","0.838227889600363","0.786542991519155","0.889912787681571","5"
"Never","1985","16-34 y.","higher education","193","0.807066757789435","0.756722452697684","0.857411062881187","5"
"Never","1985","35-65 y.","in school","","","","","5"
