"pli0097_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","in school","West Germany","","","",""
"Daily","1985","in school","East Germany","","","",""
"Daily","1985","inadequately","West Germany","","","",""
"Daily","1985","inadequately","East Germany","","","",""
"Daily","1985","general elemantary","West Germany","","","",""
"Daily","1985","general elemantary","East Germany","","","",""
"Daily","1985","middle vocational","West Germany","","","",""
"Daily","1985","middle vocational","East Germany","","","",""
"Daily","1985","vocational + Abi","West Germany","","","",""
"Daily","1985","vocational + Abi","East Germany","","","",""
"Daily","1985","higher vocational","West Germany","","","",""
"Daily","1985","higher vocational","East Germany","","","",""
"Daily","1985","higher education","West Germany","","","",""
"Daily","1985","higher education","East Germany","","","",""
"Min 1x per week","1985","in school","West Germany","1","","",""
"Min 1x per week","1985","in school","East Germany","","","",""
"Min 1x per week","1985","inadequately","West Germany","3","","",""
"Min 1x per week","1985","inadequately","East Germany","","","",""
"Min 1x per week","1985","general elemantary","West Germany","14","","",""
"Min 1x per week","1985","general elemantary","East Germany","","","",""
"Min 1x per week","1985","middle vocational","West Germany","42","0.00810404978379104","0.00564942415243152","0.0105586754151506"
"Min 1x per week","1985","middle vocational","East Germany","","","",""
"Min 1x per week","1985","vocational + Abi","West Germany","5","","",""
"Min 1x per week","1985","vocational + Abi","East Germany","","","",""
"Min 1x per week","1985","higher vocational","West Germany","14","","",""
"Min 1x per week","1985","higher vocational","East Germany","","","",""
"Min 1x per week","1985","higher education","West Germany","23","","",""
"Min 1x per week","1985","higher education","East Germany","","","",""
"Min 1x per month","1985","in school","West Germany","1","","",""
"Min 1x per month","1985","in school","East Germany","","","",""
"Min 1x per month","1985","inadequately","West Germany","2","","",""
"Min 1x per month","1985","inadequately","East Germany","","","",""
"Min 1x per month","1985","general elemantary","West Germany","31","0.0105513830593938","0.00691505377240835","0.0141877123463792"
"Min 1x per month","1985","general elemantary","East Germany","","","",""
"Min 1x per month","1985","middle vocational","West Germany","96","0.0198635174138824","0.0160434369452138","0.023683597882551"
"Min 1x per month","1985","middle vocational","East Germany","","","",""
"Min 1x per month","1985","vocational + Abi","West Germany","11","","",""
"Min 1x per month","1985","vocational + Abi","East Germany","","","",""
"Min 1x per month","1985","higher vocational","West Germany","18","","",""
"Min 1x per month","1985","higher vocational","East Germany","","","",""
"Min 1x per month","1985","higher education","West Germany","39","0.050931025837609","0.0351858584460052","0.0666761932292128"
"Min 1x per month","1985","higher education","East Germany","","","",""
"Rarely","1985","in school","West Germany","10","","",""
"Rarely","1985","in school","East Germany","","","",""
"Rarely","1985","inadequately","West Germany","10","","",""
"Rarely","1985","inadequately","East Germany","","","",""
"Rarely","1985","general elemantary","West Germany","77","0.0279471303502309","0.022081354820154","0.0338129058803077"
"Rarely","1985","general elemantary","East Germany","","","",""
"Rarely","1985","middle vocational","West Germany","257","0.0504654120787576","0.0444722853311284","0.0564585388263869"
"Rarely","1985","middle vocational","East Germany","","","",""
"Rarely","1985","vocational + Abi","West Germany","26","","",""
"Rarely","1985","vocational + Abi","East Germany","","","",""
"Rarely","1985","higher vocational","West Germany","45","0.0750410491985253","0.0541510624548762","0.0959310359421744"
"Rarely","1985","higher vocational","East Germany","","","",""
"Rarely","1985","higher education","West Germany","90","0.119971915660426","0.096701976653975","0.143241854666877"
"Rarely","1985","higher education","East Germany","","","",""
"Never","1985","in school","West Germany","174","0.922786974886736","0.884426177081672","0.9611477726918"
"Never","1985","in school","East Germany","","","",""
"Never","1985","inadequately","West Germany","824","0.979935348113152","0.970447196032713","0.989423500193591"
"Never","1985","inadequately","East Germany","","","",""
