"pli0097_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","Not Employed","","","",""
"Daily","1985","16-34 y.","Employed","","","",""
"Daily","1985","35-65 y.","Not Employed","","","",""
"Daily","1985","35-65 y.","Employed","","","",""
"Daily","1985","66 and older","Not Employed","","","",""
"Daily","1985","66 and older","Employed","","","",""
"Min 1x per week","1985","16-34 y.","Not Employed","15","","",""
"Min 1x per week","1985","16-34 y.","Employed","16","","",""
"Min 1x per week","1985","35-65 y.","Not Employed","10","","",""
"Min 1x per week","1985","35-65 y.","Employed","55","0.0165970639048283","0.0126033407844436","0.0205907870252131"
"Min 1x per week","1985","66 and older","Not Employed","7","","",""
"Min 1x per week","1985","66 and older","Employed","","","",""
"Min 1x per month","1985","16-34 y.","Not Employed","23","","",""
"Min 1x per month","1985","16-34 y.","Employed","48","0.0190243646885134","0.0139616197336103","0.0240871096434165"
"Min 1x per month","1985","35-65 y.","Not Employed","25","","",""
"Min 1x per month","1985","35-65 y.","Employed","97","0.0304878689742996","0.0251133855529748","0.0358623523956244"
"Min 1x per month","1985","66 and older","Not Employed","6","","",""
"Min 1x per month","1985","66 and older","Employed","","","",""
"Rarely","1985","16-34 y.","Not Employed","71","0.0652457160398687","0.052018070902127","0.0784733611776105"
"Rarely","1985","16-34 y.","Employed","166","0.0685014148262692","0.0591399733121493","0.0778628563403891"
"Rarely","1985","35-65 y.","Not Employed","42","0.0258655153297044","0.0184622593169742","0.0332687713424347"
"Rarely","1985","35-65 y.","Employed","217","0.0645558471081736","0.056873864959015","0.0722378292573321"
"Rarely","1985","66 and older","Not Employed","19","","",""
"Rarely","1985","66 and older","Employed","2","","",""
"Never","1985","16-34 y.","Not Employed","1230","0.899404644851073","0.883293576888298","0.915515712813849"
"Never","1985","16-34 y.","Employed","2567","0.905012189435435","0.894146356812177","0.915878022058693"
"Never","1985","35-65 y.","Not Employed","1689","0.951932947421181","0.941956413882831","0.961909480959531"
"Never","1985","35-65 y.","Employed","3562","0.888359220012699","0.878514524072889","0.898203915952508"
"Never","1985","66 and older","Not Employed","1020","0.970690070342133","0.960497401771932","0.980882738912333"
"Never","1985","66 and older","Employed","42","0.941762717643857","0.872564796130846","1.01096063915687"
"Daily","1986","16-34 y.","Not Employed","","","",""
"Daily","1986","16-34 y.","Employed","","","",""
"Daily","1986","35-65 y.","Not Employed","","","",""
"Daily","1986","35-65 y.","Employed","","","",""
"Daily","1986","66 and older","Not Employed","","","",""
"Daily","1986","66 and older","Employed","","","",""
"Min 1x per week","1986","16-34 y.","Not Employed","10","","",""
"Min 1x per week","1986","16-34 y.","Employed","11","","",""
"Min 1x per week","1986","35-65 y.","Not Employed","7","","",""
