"pli0097_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","1-pers.-HH","no migration background","","","","","1"
"Daily","1985","1-pers.-HH","direct migration background","","","","","1"
"Daily","1985","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1985","(Married) couple without C. ","no migration background","","","","","1"
"Daily","1985","(Married) couple without C. ","direct migration background","","","","","1"
"Daily","1985","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1985","Single parent ","no migration background","","","","","1"
"Daily","1985","Single parent ","direct migration background","","","","","1"
"Daily","1985","Single parent ","indirect migration background","","","","","1"
"Daily","1985","Couple + C. LE 16 ","no migration background","","","","","1"
"Daily","1985","Couple + C. LE 16 ","direct migration background","","","","","1"
"Daily","1985","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1985","Couple + C. GT 16 ","no migration background","","","","","1"
"Daily","1985","Couple + C. GT 16 ","direct migration background","","","","","1"
"Daily","1985","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","no migration background","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1985","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","direct migration background","4","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","direct migration background","2","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Min 1x per month","1985","1-pers.-HH","no migration background","22","","","","3"
"Min 1x per month","1985","1-pers.-HH","direct migration background","3","","","","3"
"Min 1x per month","1985","1-pers.-HH","indirect migration background","","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","no migration background","30","0.0140422401754214","0.00886599083002141","0.0192184895208214","3"
"Min 1x per month","1985","(Married) couple without C. ","direct migration background","2","","","","3"
"Min 1x per month","1985","Single parent ","direct migration background","2","","","","3"
"Min 1x per month","1985","Single parent ","indirect migration background","1","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","no migration background","41","0.0253639170147095","0.0178208263569821","0.0329070076724369","3"
"Min 1x per month","1985","Couple + C. LE 16 ","direct migration background","9","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","no migration background","46","0.0289307627631074","0.0205458424185604","0.0373156831076545","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","no migration background","15","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","indirect migration background","","","","","3"
"Min 1x per month","1985","Single parent ","no migration background","9","","","","3"
"Min 1x per week","1985","(Married) couple without C. ","indirect migration background","","","","","2"
"Min 1x per week","1985","1-pers.-HH","no migration background","10","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","no migration background","20","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","no migration background","20","","","","2"
"Min 1x per week","1985","1-pers.-HH","direct migration background","3","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","direct migration background","","","","","2"
"Min 1x per week","1985","Single parent ","indirect migration background","","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","direct migration background","4","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","direct migration background","2","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","direct migration background","2","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Min 1x per week","1985","Single parent ","direct migration background","2","","","","2"
"Min 1x per week","1985","1-pers.-HH","indirect migration background","","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","no migration background","17","","","","2"
"Min 1x per week","1985","Single parent ","no migration background","3","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","no migration background","13","","","","2"
"Never","1985","(Married) couple without C. ","indirect migration background","9","","","","5"
"Never","1985","Couple + C. LE 16 ","no migration background","1496","0.895425332936681","0.880744596004398","0.910106069868965","5"
"Never","1985","Single parent ","indirect migration background","11","","","","5"
"Never","1985","1-pers.-HH","no migration background","885","0.932257231578225","0.916352068062492","0.948162395093958","5"
"Never","1985","1-pers.-HH","direct migration background","188","0.941791006940447","0.909178227845623","0.974403786035272","5"
"Never","1985","(Married) couple without C. ","no migration background","1854","0.937326889291156","0.926664513158682","0.94798926542363","5"
"Never","1985","Single parent ","no migration background","375","0.909995069689027","0.882360535232705","0.937629604145348","5"
"Never","1985","Single parent ","direct migration background","110","0.908120121424915","0.855779724029184","0.960460518820647","5"
"Never","1985","(Married) couple without C. ","direct migration background","386","0.962804111485614","0.944212245006737","0.981395977964491","5"
"Never","1985","1-pers.-HH","indirect migration background","8","","","","5"
"Never","1985","Couple + C. LE 16 ","direct migration background","932","0.964126717780426","0.952380783580261","0.975872651980592","5"
"Never","1985","Couple + C. LE 16 ","indirect migration background","16","","","","5"
"Never","1985","Couple + C. GT 16 ","no migration background","1360","0.887620367023397","0.871820576274651","0.903420157772142","5"
"Never","1985","Couple + C. GT 16 ","direct migration background","404","0.9262925414471","0.901421443105634","0.951163639788566","5"
"Never","1985","Couple + C. GT 16 ","indirect migration background","40","0.942695434770275","0.872403781401405","1.01298708813915","5"
"Never","1985","Couple + C. LE and GT 16","no migration background","722","0.900347546214752","0.879668540117922","0.921026552311582","5"
"Never","1985","Couple + C. LE and GT 16","direct migration background","601","0.965309712098551","0.950858807801791","0.979760616395311","5"
"Never","1985","Couple + C. LE and GT 16","indirect migration background","46","0.984746787433524","0.950075463952616","1.01941811091443","5"
"Rarely","1985","Couple + C. LE 16 ","no migration background","112","0.0668308702401437","0.0548499917780572","0.0788117487022302","4"
"Rarely","1985","Couple + C. LE and GT 16","no migration background","56","0.0659150036486825","0.0487846665811887","0.0830453407161763","4"
"Rarely","1985","1-pers.-HH","direct migration background","4","","","","4"
"Rarely","1985","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","indirect migration background","2","","","","4"
"Rarely","1985","Couple + C. LE 16 ","direct migration background","18","","","","4"
"Rarely","1985","Couple + C. GT 16 ","indirect migration background","2","","","","4"
"Rarely","1985","Single parent ","no migration background","25","","","","4"
"Rarely","1985","1-pers.-HH","no migration background","42","0.0391603883273116","0.0268835162151944","0.0514372604394289","4"
"Rarely","1985","Couple + C. LE and GT 16","direct migration background","11","","","","4"
"Rarely","1985","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","1985","(Married) couple without C. ","no migration background","84","0.0402447636263686","0.0315990116805687","0.0488905155721686","4"
"Rarely","1985","(Married) couple without C. ","direct migration background","10","","","","4"
"Rarely","1985","Single parent ","direct migration background","3","","","","4"
"Rarely","1985","Single parent ","indirect migration background","1","","","","4"
"Rarely","1985","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","1985","Couple + C. GT 16 ","no migration background","109","0.0703968389804851","0.0575995117150599","0.0831941662459103","4"
"Rarely","1985","Couple + C. GT 16 ","direct migration background","14","","","","4"
"Daily","1986","1-pers.-HH","no migration background","","","","","1"
"Daily","1986","1-pers.-HH","direct migration background","","","","","1"
"Daily","1986","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1986","(Married) couple without C. ","no migration background","","","","","1"
"Daily","1986","(Married) couple without C. ","direct migration background","","","","","1"
"Daily","1986","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1986","Single parent ","no migration background","","","","","1"
"Daily","1986","Single parent ","direct migration background","","","","","1"
"Daily","1986","Single parent ","indirect migration background","","","","","1"
"Daily","1986","Couple + C. LE 16 ","no migration background","","","","","1"
"Daily","1986","Couple + C. LE 16 ","direct migration background","","","","","1"
"Daily","1986","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1986","Couple + C. GT 16 ","no migration background","","","","","1"
"Daily","1986","Couple + C. GT 16 ","direct migration background","","","","","1"
"Daily","1986","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","no migration background","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1986","Couple + C. GT 16 ","direct migration background","3","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","direct migration background","2","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Min 1x per month","1986","1-pers.-HH","no migration background","20","","","","3"
"Min 1x per month","1986","1-pers.-HH","direct migration background","3","","","","3"
"Min 1x per month","1986","1-pers.-HH","indirect migration background","","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","no migration background","23","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","direct migration background","1","","","","3"
"Min 1x per month","1986","Single parent ","direct migration background","2","","","","3"
"Min 1x per month","1986","Single parent ","indirect migration background","1","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","no migration background","32","0.0224783811752581","0.0149492226129489","0.0300075397375674","3"
"Min 1x per month","1986","Couple + C. LE 16 ","direct migration background","4","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","no migration background","34","0.0222590527519236","0.0149100594086882","0.029608046095159","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","no migration background","21","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","indirect migration background","","","","","3"
"Min 1x per month","1986","Single parent ","no migration background","11","","","","3"
"Min 1x per week","1986","(Married) couple without C. ","direct migration background","2","","","","2"
"Min 1x per week","1986","Single parent ","indirect migration background","1","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","no migration background","15","","","","2"
"Min 1x per week","1986","1-pers.-HH","direct migration background","1","","","","2"
"Min 1x per week","1986","1-pers.-HH","no migration background","9","","","","2"
