"pli0097_h","year","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","","","","","1"
"Min 1x per month","1985","199","0.0199713211327202","0.0173484275657003","0.0225942146997401","3"
"Min 1x per week","1985","103","0.0104403545689217","0.00853473374368568","0.0123459753941576","2"
"Never","1985","10110","0.918271819409318","0.913135767294949","0.923407871523687","5"
"Rarely","1985","517","0.0513165048890402","0.0471798710033844","0.055453138774696","4"
"Daily","1986","","","","","1"
"Min 1x per month","1986","169","0.0185531864133095","0.0159741026873278","0.0211322701392912","3"
"Min 1x per week","1986","96","0.00977307794787115","0.00789287015468532","0.011653285741057","2"
"Never","1986","9750","0.920263099467435","0.915085738068232","0.925440460866638","5"
"Rarely","1986","501","0.0514106361713846","0.0471898979548086","0.0556313743879605","4"
"Daily","1987","","","","","1"
"Min 1x per month","1987","","","","","3"
"Min 1x per week","1987","","","","","2"
"Never","1987","","","","","5"
"Rarely","1987","","","","","4"
"Daily","1988","","","","","1"
"Min 1x per month","1988","124","0.0147030011244716","0.0123338743169535","0.0170721279319897","3"
"Min 1x per week","1988","69","0.00736810465807172","0.00568475731555164","0.0090514520005918","2"
"Never","1988","9213","0.921212987180702","0.915910140446546","0.926515833914858","5"
"Rarely","1988","509","0.0567159070367548","0.0521631400006873","0.0612686740728223","4"
"Daily","1989","","","","","1"
"Min 1x per month","1989","","","","","3"
"Min 1x per week","1989","","","","","2"
"Never","1989","","","","","5"
"Rarely","1989","","","","","4"
"Daily","1990","24","","","","1"
"Min 1x per month","1990","439","0.031105717942617","0.0282080023020145","0.0340034335832196","3"
"Min 1x per week","1990","173","0.011905556298549","0.0100951688551432","0.0137159437419548","2"
"Never","1990","11595","0.830964719199375","0.824708997413332","0.837220440985418","5"
"Rarely","1990","1557","0.123975671294672","0.118474897682517","0.129476444906827","4"
"Daily","1991","","","","","1"
"Min 1x per month","1991","","","","","3"
"Min 1x per week","1991","","","","","2"
"Never","1991","","","","","5"
"Rarely","1991","","","","","4"
"Daily","1992","","","","","1"
"Min 1x per month","1992","232","0.019764551637675","0.0173877225879932","0.0221413806873569","3"
"Min 1x per week","1992","111","0.00803338768330988","0.00650902905985415","0.00955774630676561","2"
"Never","1992","12097","0.913893137058349","0.909102912719217","0.918683361397482","5"
"Rarely","1992","734","0.0583089236206658","0.0543075325266383","0.0623103147146933","4"
"Daily","1993","","","","","1"
"Min 1x per month","1993","","","","","3"
"Min 1x per week","1993","","","","","2"
"Never","1993","","","","","5"
"Rarely","1993","","","","","4"
"Daily","1994","","","","","1"
"Min 1x per month","1994","210","0.0159570291746674","0.0137850093131554","0.0181290490361795","3"
"Min 1x per week","1994","106","0.00781129870387687","0.00628535151916746","0.00933724588858628","2"
"Never","1994","11687","0.910271946708586","0.90531823825402","0.915225655163153","5"
"Rarely","1994","783","0.0659597254128692","0.0616574029115669","0.0702620479141716","4"
"Daily","1995","27","","","","1"
"Min 1x per month","1995","241","0.0205068880316284","0.0180951581312199","0.0229186179320369","3"
"Min 1x per week","1995","123","0.00903626829531829","0.00742598779795957","0.010646548792677","2"
"Never","1995","11855","0.883120641800209","0.877653541751712","0.888587741848706","5"
"Rarely","1995","1020","0.0854781428076452","0.0807203811925485","0.0902359044227419","4"
"Daily","1996","","","","","1"
"Min 1x per month","1996","187","0.0150182238644237","0.0129312541613794","0.0171051935674679","3"
