"pli0097_h","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","(0) in school","","","",""
"Daily","1985","Not Employed","(1a) inadequately completed","","","",""
"Daily","1985","Not Employed","(1b) general elementary school","","","",""
"Daily","1985","Not Employed","(1c) basic vocational qualification","","","",""
"Daily","1985","Not Employed","(2b) intermediate general qualification","","","",""
"Daily","1985","Not Employed","(2a) intermediate vocational","","","",""
"Daily","1985","Not Employed","(2c_gen) general maturity certificate","","","",""
"Daily","1985","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","Not Employed","(3a) lower tertiary education","","","",""
"Daily","1985","Not Employed","(3b) higher tertiary education","","","",""
"Daily","1985","Employed","(0) in school","","","",""
"Daily","1985","Employed","(1a) inadequately completed","","","",""
"Daily","1985","Employed","(1b) general elementary school","","","",""
"Daily","1985","Employed","(1c) basic vocational qualification","","","",""
"Daily","1985","Employed","(2b) intermediate general qualification","","","",""
"Daily","1985","Employed","(2a) intermediate vocational","","","",""
"Daily","1985","Employed","(2c_gen) general maturity certificate","","","",""
"Daily","1985","Employed","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","Employed","(3a) lower tertiary education","","","",""
"Daily","1985","Employed","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","Not Employed","(0) in school","1","","",""
"Min 1x per week","1985","Not Employed","(1a) inadequately completed","2","","",""
"Min 1x per week","1985","Not Employed","(1b) general elementary school","3","","",""
"Min 1x per week","1985","Not Employed","(1c) basic vocational qualification","4","","",""
"Min 1x per week","1985","Not Employed","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1985","Not Employed","(2a) intermediate vocational","5","","",""
"Min 1x per week","1985","Not Employed","(2c_gen) general maturity certificate","5","","",""
"Min 1x per week","1985","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per week","1985","Not Employed","(3a) lower tertiary education","2","","",""
"Min 1x per week","1985","Not Employed","(3b) higher tertiary education","3","","",""
"Min 1x per week","1985","Employed","(0) in school","","","",""
"Min 1x per week","1985","Employed","(1a) inadequately completed","1","","",""
"Min 1x per week","1985","Employed","(1b) general elementary school","6","","",""
"Min 1x per week","1985","Employed","(1c) basic vocational qualification","23","","",""
"Min 1x per week","1985","Employed","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1985","Employed","(2a) intermediate vocational","12","","",""
"Min 1x per week","1985","Employed","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1985","Employed","(2c_voc) vocational maturity certificate","7","","",""
"Min 1x per week","1985","Employed","(3a) lower tertiary education","3","","",""
"Min 1x per week","1985","Employed","(3b) higher tertiary education","15","","",""
"Min 1x per month","1985","Not Employed","(0) in school","1","","",""
"Min 1x per month","1985","Not Employed","(1a) inadequately completed","1","","",""
"Min 1x per month","1985","Not Employed","(1b) general elementary school","7","","",""
"Min 1x per month","1985","Not Employed","(1c) basic vocational qualification","14","","",""
"Min 1x per month","1985","Not Employed","(2b) intermediate general qualification","10","","",""
"Min 1x per month","1985","Not Employed","(2a) intermediate vocational","5","","",""
"Min 1x per month","1985","Not Employed","(2c_gen) general maturity certificate","5","","",""
"Min 1x per month","1985","Not Employed","(2c_voc) vocational maturity certificate","5","","",""
"Min 1x per month","1985","Not Employed","(3a) lower tertiary education","1","","",""
"Min 1x per month","1985","Not Employed","(3b) higher tertiary education","5","","",""
"Min 1x per month","1985","Employed","(0) in school","","","",""
"Min 1x per month","1985","Employed","(1a) inadequately completed","2","","",""
"Min 1x per month","1985","Employed","(1b) general elementary school","11","","",""
"Min 1x per month","1985","Employed","(1c) basic vocational qualification","62","0.0260870884723544","0.0199353865012363","0.0322387904434724"
"Min 1x per month","1985","Employed","(2b) intermediate general qualification","3","","",""
"Min 1x per month","1985","Employed","(2a) intermediate vocational","20","","",""
"Min 1x per month","1985","Employed","(2c_gen) general maturity certificate","4","","",""
"Min 1x per month","1985","Employed","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per month","1985","Employed","(3a) lower tertiary education","12","","",""
"Min 1x per month","1985","Employed","(3b) higher tertiary education","21","","",""
"Rarely","1985","Not Employed","(0) in school","10","","",""
"Rarely","1985","Not Employed","(1a) inadequately completed","3","","",""
"Rarely","1985","Not Employed","(1b) general elementary school","16","","",""
