"pli0097_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","no migration background","","","","","1"
"Daily","1985","16-34 y.","direct migration background","","","","","1"
"Daily","1985","16-34 y.","indirect migration background","","","","","1"
"Daily","1985","35-65 y.","no migration background","","","","","1"
"Daily","1985","35-65 y.","direct migration background","","","","","1"
"Daily","1985","35-65 y.","indirect migration background","","","","","1"
"Daily","1985","66 and older","no migration background","","","","","1"
"Daily","1985","66 and older","direct migration background","","","","","1"
"Daily","1985","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1985","16-34 y.","indirect migration background","1","","","","3"
"Min 1x per month","1985","66 and older","no migration background","6","","","","3"
"Min 1x per month","1985","66 and older","direct migration background","","","","","3"
"Min 1x per month","1985","16-34 y.","direct migration background","12","","","","3"
"Min 1x per month","1985","35-65 y.","indirect migration background","","","","","3"
"Min 1x per month","1985","16-34 y.","no migration background","58","0.0195336243389769","0.0144802178955102","0.0245870307824437","3"
"Min 1x per month","1985","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1985","35-65 y.","no migration background","111","0.0274275453032794","0.0223303169399339","0.0325247736666248","3"
"Min 1x per month","1985","35-65 y.","direct migration background","11","","","","3"
"Min 1x per week","1985","16-34 y.","indirect migration background","","","","","2"
"Min 1x per week","1985","66 and older","no migration background","6","","","","2"
"Min 1x per week","1985","16-34 y.","no migration background","27","","","","2"
"Min 1x per week","1985","16-34 y.","direct migration background","4","","","","2"
"Min 1x per week","1985","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1985","35-65 y.","direct migration background","8","","","","2"
"Min 1x per week","1985","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1985","35-65 y.","no migration background","57","0.0144679448343578","0.0107412962869864","0.0181945933817292","2"
"Min 1x per week","1985","66 and older","direct migration background","1","","","","2"
"Never","1985","35-65 y.","direct migration background","1683","0.956343457898804","0.946731655297479","0.965955260500129","5"
"Never","1985","35-65 y.","no migration background","3552","0.904161406362866","0.894974424971656","0.913348387754076","5"
"Never","1985","16-34 y.","no migration background","2593","0.899184311645195","0.888190080023048","0.910178543267343","5"
"Never","1985","16-34 y.","direct migration background","1090","0.936704809071137","0.922545382768193","0.95086423537408","5"
"Never","1985","16-34 y.","indirect migration background","114","0.939677938730319","0.896901737665173","0.982454139795466","5"
"Never","1985","35-65 y.","indirect migration background","16","","","","5"
"Never","1985","66 and older","no migration background","1021","0.96901370767376","0.958552602877452","0.979474812470067","5"
"Never","1985","66 and older","direct migration background","36","0.988786777034511","0.954858345528736","1.02271520854029","5"
"Never","1985","66 and older","indirect migration background","5","","","","5"
"Rarely","1985","66 and older","direct migration background","","","","","4"
"Rarely","1985","35-65 y.","no migration background","224","0.0539431034994966","0.0468928256886287","0.0609933813103644","4"
"Rarely","1985","16-34 y.","indirect migration background","4","","","","4"
"Rarely","1985","35-65 y.","indirect migration background","1","","","","4"
