"pli0097_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","Male","","","",""
"Daily","1985","16-34 y.","Female","","","",""
"Daily","1985","35-65 y.","Male","","","",""
"Daily","1985","35-65 y.","Female","","","",""
"Daily","1985","66 and older","Male","","","",""
"Daily","1985","66 and older","Female","","","",""
"Min 1x per week","1985","16-34 y.","Male","","","",""
"Min 1x per week","1985","16-34 y.","Female","","","",""
"Min 1x per week","1985","35-65 y.","Male","54","0.0214307595146092","0.016134485638265","0.0267270333909535"
"Min 1x per week","1985","35-65 y.","Female","","","",""
"Min 1x per week","1985","66 and older","Male","","","",""
"Min 1x per week","1985","66 and older","Female","","","",""
"Min 1x per month","1985","16-34 y.","Male","42","0.022726252171807","0.0163139929993648","0.0291385113442492"
"Min 1x per month","1985","16-34 y.","Female","","","",""
"Min 1x per month","1985","35-65 y.","Male","82","0.0352540442107171","0.0285092791124459","0.0419988093089883"
"Min 1x per month","1985","35-65 y.","Female","40","0.0158783779347101","0.011268745261962","0.0204880106074582"
"Min 1x per month","1985","66 and older","Male","","","",""
"Min 1x per month","1985","66 and older","Female","","","",""
"Rarely","1985","16-34 y.","Male","143","0.079749173196387","0.0680930200931851","0.091405326299589"
"Rarely","1985","16-34 y.","Female","94","0.0549416443999731","0.0451040426998762","0.0647792461000701"
"Rarely","1985","35-65 y.","Male","172","0.0706249806074327","0.061255175848223","0.0799947853666423"
"Rarely","1985","35-65 y.","Female","87","0.0330632368677438","0.0264698192316921","0.0396566545037956"
"Rarely","1985","66 and older","Male","","","",""
"Rarely","1985","66 and older","Female","","","",""
"Never","1985","16-34 y.","Male","1869","0.885292198582399","0.871580892149524","0.899003505015274"
"Never","1985","16-34 y.","Female","1928","0.921901718341951","0.910317355641215","0.933486081042687"
"Never","1985","35-65 y.","Male","2564","0.872690215667241","0.860499847620567","0.884880583713915"
"Never","1985","35-65 y.","Female","2687","0.94550711968481","0.937136817279803","0.953877422089817"
"Never","1985","66 and older","Male","412","0.950158872474893","0.929661594721785","0.970656150228001"
"Never","1985","66 and older","Female","650","0.980450060823164","0.969911610054965","0.990988511591363"
"Daily","1986","16-34 y.","Male","","","",""
"Daily","1986","16-34 y.","Female","","","",""
"Daily","1986","35-65 y.","Male","","","",""
"Daily","1986","35-65 y.","Female","","","",""
"Daily","1986","66 and older","Male","","","",""
"Daily","1986","66 and older","Female","","","",""
"Min 1x per week","1986","16-34 y.","Male","","","",""
"Min 1x per week","1986","16-34 y.","Female","","","",""
"Min 1x per week","1986","35-65 y.","Male","56","0.0231474857247691","0.0175036815840353","0.0287912898655028"
"Min 1x per week","1986","35-65 y.","Female","","","",""
"Min 1x per week","1986","66 and older","Male","","","",""
"Min 1x per week","1986","66 and older","Female","","","",""
"Min 1x per month","1986","16-34 y.","Male","39","0.0255449392735168","0.0187350961775301","0.0323547823695035"
"Min 1x per month","1986","16-34 y.","Female","","","",""
"Min 1x per month","1986","35-65 y.","Male","70","0.0317694708040415","0.0251868339260445","0.0383521076820384"
"Min 1x per month","1986","35-65 y.","Female","31","0.0131225903500046","0.00882693394070002","0.0174182467593092"
"Min 1x per month","1986","66 and older","Male","","","",""
"Min 1x per month","1986","66 and older","Female","","","",""
"Rarely","1986","16-34 y.","Male","131","0.0739787855033633","0.0626816632830877","0.0852759077236389"
"Rarely","1986","16-34 y.","Female","91","0.0560481074121255","0.0459800354866774","0.0661161793375735"
"Rarely","1986","35-65 y.","Male","174","0.0786253071119065","0.0685233658448769","0.0887272483789361"
"Rarely","1986","35-65 y.","Female","94","0.0359160495936776","0.0288919630337081","0.0429401361536471"
"Rarely","1986","66 and older","Male","","","",""
"Rarely","1986","66 and older","Female","","","",""
"Never","1986","16-34 y.","Male","1877","0.893078024126872","0.879740293259631","0.906415754994114"
"Never","1986","16-34 y.","Female","1886","0.928669216200147","0.917403470974356","0.939934961425938"
"Never","1986","35-65 y.","Male","2427","0.866457736359283","0.853690744521733","0.879224728196833"
"Never","1986","35-65 y.","Female","2559","0.944486406371653","0.935842985233214","0.953129827510091"
"Never","1986","66 and older","Male","402","0.960645368706464","0.942005647138242","0.979285090274686"
"Never","1986","66 and older","Female","599","0.98662067289524","0.977488196827367","0.995753148963112"
"Daily","1987","16-34 y.","Male","","","",""
"Daily","1987","16-34 y.","Female","","","",""
"Daily","1987","35-65 y.","Male","","","",""
"Daily","1987","35-65 y.","Female","","","",""
"Daily","1987","66 and older","Male","","","",""
"Daily","1987","66 and older","Female","","","",""
"Min 1x per week","1987","16-34 y.","Male","","","",""
"Min 1x per week","1987","16-34 y.","Female","","","",""
"Min 1x per week","1987","35-65 y.","Male","","","",""
"Min 1x per week","1987","35-65 y.","Female","","","",""
"Min 1x per week","1987","66 and older","Male","","","",""
"Min 1x per week","1987","66 and older","Female","","","",""
"Min 1x per month","1987","16-34 y.","Male","","","",""
"Min 1x per month","1987","16-34 y.","Female","","","",""
"Min 1x per month","1987","35-65 y.","Male","","","",""
"Min 1x per month","1987","35-65 y.","Female","","","",""
"Min 1x per month","1987","66 and older","Male","","","",""
"Min 1x per month","1987","66 and older","Female","","","",""
"Rarely","1987","16-34 y.","Male","","","",""
"Rarely","1987","16-34 y.","Female","","","",""
"Rarely","1987","35-65 y.","Male","","","",""
"Rarely","1987","35-65 y.","Female","","","",""
"Rarely","1987","66 and older","Male","","","",""
"Rarely","1987","66 and older","Female","","","",""
"Never","1987","16-34 y.","Male","","","",""
"Never","1987","16-34 y.","Female","","","",""
"Never","1987","35-65 y.","Male","","","",""
"Never","1987","35-65 y.","Female","","","",""
"Never","1987","66 and older","Male","","","",""
"Never","1987","66 and older","Female","","","",""
"Daily","1988","16-34 y.","Male","","","",""
"Daily","1988","16-34 y.","Female","","","",""
"Daily","1988","35-65 y.","Male","","","",""
