"pli0097_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","Urban Area","","","",""
"Daily","1985","Not Employed","Rural Area","","","",""
"Daily","1985","Employed","Urban Area","","","",""
"Daily","1985","Employed","Rural Area","","","",""
"Min 1x per week","1985","Not Employed","Urban Area","24","","",""
"Min 1x per week","1985","Not Employed","Rural Area","8","","",""
"Min 1x per week","1985","Employed","Urban Area","54","0.0124367528203235","0.00948768893539086","0.0153858167052562"
"Min 1x per week","1985","Employed","Rural Area","17","","",""
"Min 1x per month","1985","Not Employed","Urban Area","47","0.0148507489249922","0.0106974064389535","0.019004091411031"
"Min 1x per month","1985","Not Employed","Rural Area","7","","",""
"Min 1x per month","1985","Employed","Urban Area","106","0.0233832268947847","0.0193619634023036","0.0274044903872658"
"Min 1x per month","1985","Employed","Rural Area","39","0.0321842878423429","0.0227592613580384","0.0416093143266474"
"Rarely","1985","Not Employed","Urban Area","107","0.0334035383611077","0.0272334499357781","0.0395736267864373"
"Rarely","1985","Not Employed","Rural Area","25","","",""
"Rarely","1985","Employed","Urban Area","290","0.0626155852720196","0.0561687242774312","0.0690624462666079"
"Rarely","1985","Employed","Rural Area","95","0.0781715882018805","0.063836056493964","0.0925071199097969"
"Never","1985","Not Employed","Urban Area","3080","0.9443580322009","0.936486810759435","0.952229253642365"
"Never","1985","Not Employed","Rural Area","859","0.955540493026503","0.942067157837081","0.969013828215925"
"Never","1985","Employed","Urban Area","4975","0.901564435012872","0.893637183736725","0.90949168628902"
"Never","1985","Employed","Rural Area","1196","0.876464939675676","0.858892717605693","0.894037161745659"
"Daily","1986","Not Employed","Urban Area","","","",""
"Daily","1986","Not Employed","Rural Area","","","",""
"Daily","1986","Employed","Urban Area","","","",""
"Daily","1986","Employed","Rural Area","","","",""
"Min 1x per week","1986","Not Employed","Urban Area","19","","",""
"Min 1x per week","1986","Not Employed","Rural Area","5","","",""
"Min 1x per week","1986","Employed","Urban Area","55","0.0116345309137488","0.00873934801845933","0.0145297138090383"
"Min 1x per week","1986","Employed","Rural Area","17","","",""
"Min 1x per month","1986","Not Employed","Urban Area","37","0.0122419042776767","0.00835904160882401","0.0161247669465294"
"Min 1x per month","1986","Not Employed","Rural Area","9","","",""
"Min 1x per month","1986","Employed","Urban Area","89","0.0210071152995252","0.0171352899343749","0.0248789406646754"
"Min 1x per month","1986","Employed","Rural Area","34","0.0287295198921072","0.0198580860917621","0.0376009536924523"
"Rarely","1986","Not Employed","Urban Area","106","0.0318406792891102","0.0256410343237131","0.0380403242545072"
"Rarely","1986","Not Employed","Rural Area","18","","",""
"Rarely","1986","Employed","Urban Area","286","0.0673259744585693","0.0605604876989401","0.0740914612181985"
"Rarely","1986","Employed","Rural Area","91","0.0719865382929649","0.0582599590970188","0.0857131174889109"
"Never","1986","Not Employed","Urban Area","2919","0.949952895792656","0.942253746266728","0.957652045318584"
"Never","1986","Not Employed","Rural Area","771","0.959235270322107","0.945558134136852","0.972912406507361"
"Never","1986","Employed","Urban Area","4840","0.900032379328157","0.891933936359875","0.908130822296438"
"Never","1986","Employed","Rural Area","1220","0.884215723578464","0.867222982229915","0.901208464927014"
"Daily","1987","Not Employed","Urban Area","","","",""
"Daily","1987","Not Employed","Rural Area","","","",""
"Daily","1987","Employed","Urban Area","","","",""
"Daily","1987","Employed","Rural Area","","","",""
"Min 1x per week","1987","Not Employed","Urban Area","","","",""
"Min 1x per week","1987","Not Employed","Rural Area","","","",""
"Min 1x per week","1987","Employed","Urban Area","","","",""
"Min 1x per week","1987","Employed","Rural Area","","","",""
"Min 1x per month","1987","Not Employed","Urban Area","","","",""
"Min 1x per month","1987","Not Employed","Rural Area","","","",""
"Min 1x per month","1987","Employed","Urban Area","","","",""
"Min 1x per month","1987","Employed","Rural Area","","","",""
"Rarely","1987","Not Employed","Urban Area","","","",""
"Rarely","1987","Not Employed","Rural Area","","","",""
"Rarely","1987","Employed","Urban Area","","","",""
"Rarely","1987","Employed","Rural Area","","","",""
"Never","1987","Not Employed","Urban Area","","","",""
"Never","1987","Not Employed","Rural Area","","","",""
"Never","1987","Employed","Urban Area","","","",""
"Never","1987","Employed","Rural Area","","","",""
"Daily","1988","Not Employed","Urban Area","","","",""
"Daily","1988","Not Employed","Rural Area","","","",""
"Daily","1988","Employed","Urban Area","","","",""
"Daily","1988","Employed","Rural Area","","","",""
"Min 1x per week","1988","Not Employed","Urban Area","11","","",""
"Min 1x per week","1988","Not Employed","Rural Area","4","","",""
