"pli0097_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","","","",""
"Daily","1985","(Married) couple without C. ","","","",""
"Daily","1985","Single parent ","","","",""
"Daily","1985","Couple + C. LE 16 ","","","",""
"Daily","1985","Couple + C. GT 16 ","","","",""
"Daily","1985","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","1-pers.-HH","13","","",""
"Min 1x per week","1985","(Married) couple without C. ","17","","",""
"Min 1x per week","1985","Single parent ","5","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","24","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","22","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","15","","",""
"Min 1x per month","1985","1-pers.-HH","25","","",""
"Min 1x per month","1985","(Married) couple without C. ","32","0.01347435733743","0.00885399832216944","0.0180947163526906"
"Min 1x per month","1985","Single parent ","12","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","50","0.0235164838407053","0.017744730641171","0.0292882370402395"
"Min 1x per month","1985","Couple + C. GT 16 ","50","0.0284031942377094","0.0211245385177505","0.0356818499576683"
"Min 1x per month","1985","Couple + C. LE and GT 16","17","","",""
"Rarely","1985","1-pers.-HH","46","0.0382844848823447","0.0272660516690118","0.0493029180956775"
"Rarely","1985","(Married) couple without C. ","94","0.0393367913228815","0.0315465206309627","0.0471270620148002"
"Rarely","1985","Single parent ","29","","",""
"Rarely","1985","Couple + C. LE 16 ","130","0.0595556029248376","0.0505416149333216","0.0685695909163537"
"Rarely","1985","Couple + C. GT 16 ","125","0.0688047241463708","0.0577141492832472","0.0798952990094944"
"Rarely","1985","Couple + C. LE and GT 16","69","0.0593144628439922","0.0472393288698251","0.0713895968181593"
"Never","1985","1-pers.-HH","1081","0.933478907151417","0.919169650587518","0.947788163715315"
"Never","1985","(Married) couple without C. ","2249","0.939458263315597","0.929900997038141","0.949015529593053"
"Never","1985","Single parent ","496","0.90502097863246","0.880338338225952","0.929703619038968"
"Never","1985","Couple + C. LE 16 ","2444","0.90607552221505","0.894964329141033","0.917186715289067"
"Never","1985","Couple + C. GT 16 ","1804","0.890427905422206","0.876741988178436","0.904113822665976"
"Never","1985","Couple + C. LE and GT 16","1369","0.910511940299886","0.895919941266352","0.92510393933342"
"Daily","1986","1-pers.-HH","","","",""
"Daily","1986","(Married) couple without C. ","","","",""
"Daily","1986","Single parent ","","","",""
"Daily","1986","Couple + C. LE 16 ","","","",""
"Daily","1986","Couple + C. GT 16 ","","","",""
"Daily","1986","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1986","1-pers.-HH","10","","",""
"Min 1x per week","1986","(Married) couple without C. ","23","","",""
"Min 1x per week","1986","Single parent ","5","","",""
"Min 1x per week","1986","Couple + C. LE 16 ","24","","",""
"Min 1x per week","1986","Couple + C. GT 16 ","17","","",""
"Min 1x per week","1986","Couple + C. LE and GT 16","12","","",""
"Min 1x per month","1986","1-pers.-HH","23","","",""
"Min 1x per month","1986","(Married) couple without C. ","24","","",""
"Min 1x per month","1986","Single parent ","14","","",""
"Min 1x per month","1986","Couple + C. LE 16 ","36","0.0193569450591307","0.0138310222125698","0.0248828679056915"
"Min 1x per month","1986","Couple + C. GT 16 ","37","0.0209196250953613","0.0147766156554381","0.0270626345352846"
"Min 1x per month","1986","Couple + C. LE and GT 16","23","","",""
"Rarely","1986","1-pers.-HH","51","0.0403869967491393","0.0288005262607174","0.0519734672375612"
"Rarely","1986","(Married) couple without C. ","120","0.0517940208415699","0.0428397900116641","0.0607482516714756"
"Rarely","1986","Single parent ","17","","",""
"Rarely","1986","Couple + C. LE 16 ","113","0.057297463660009","0.047975960170594","0.0666189671494239"
"Rarely","1986","Couple + C. GT 16 ","111","0.0615049814424843","0.0511924284523098","0.0718175344326589"
"Rarely","1986","Couple + C. LE and GT 16","67","0.0591269553928565","0.0467186741226838","0.0715352366630292"
"Never","1986","1-pers.-HH","1025","0.929012804945605","0.913898674157109","0.944126935734101"
"Never","1986","(Married) couple without C. ","2186","0.928769841018545","0.918377266755863","0.939162415281227"
"Never","1986","Single parent ","469","0.922485666731602","0.899163267604346","0.945808065858858"
"Never","1986","Couple + C. LE 16 ","2215","0.911099304105509","0.899684555070376","0.922514053140641"
