"pli0097_h","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","in school","","","","","1"
"Daily","1985","inadequately","","","","","1"
"Daily","1985","general elemantary","","","","","1"
"Daily","1985","middle vocational","","","","","1"
"Daily","1985","vocational + Abi","","","","","1"
"Daily","1985","higher vocational","","","","","1"
"Daily","1985","higher education","","","","","1"
"Min 1x per month","1985","higher education","39","0.050931025837609","0.0351858584460052","0.0666761932292128","3"
"Min 1x per month","1985","higher vocational","18","","","","3"
"Min 1x per month","1985","vocational + Abi","11","","","","3"
"Min 1x per month","1985","middle vocational","96","0.0198635174138824","0.0160434369452138","0.023683597882551","3"
"Min 1x per month","1985","inadequately","2","","","","3"
"Min 1x per month","1985","general elemantary","31","0.0105513830593938","0.00691505377240835","0.0141877123463792","3"
"Min 1x per month","1985","in school","1","","","","3"
"Min 1x per week","1985","in school","1","","","","2"
"Min 1x per week","1985","inadequately","3","","","","2"
"Min 1x per week","1985","general elemantary","14","","","","2"
"Min 1x per week","1985","middle vocational","42","0.00810404978379104","0.00564942415243152","0.0105586754151506","2"
"Min 1x per week","1985","vocational + Abi","5","","","","2"
"Min 1x per week","1985","higher vocational","14","","","","2"
"Min 1x per week","1985","higher education","23","","","","2"
"Never","1985","in school","174","0.922786974886736","0.884426177081672","0.9611477726918","5"
"Never","1985","inadequately","824","0.979935348113152","0.970447196032713","0.989423500193591","5"
"Never","1985","general elemantary","2911","0.956449286447224","0.949185877491987","0.963712695402461","5"
"Never","1985","middle vocational","4730","0.921567020723569","0.914206407891105","0.928927633556033","5"
"Never","1985","vocational + Abi","230","0.822684466689727","0.777295146419976","0.868073786959479","5"
"Never","1985","higher vocational","534","0.875492018353837","0.849313071108841","0.901670965598833","5"
"Never","1985","higher education","597","0.797511974176332","0.768732989927023","0.82629095842564","5"
"Rarely","1985","in school","10","","","","4"
"Rarely","1985","inadequately","10","","","","4"
"Rarely","1985","general elemantary","77","0.0279471303502309","0.022081354820154","0.0338129058803077","4"
"Rarely","1985","middle vocational","257","0.0504654120787576","0.0444722853311284","0.0564585388263869","4"
"Rarely","1985","vocational + Abi","26","","","","4"
"Rarely","1985","higher vocational","45","0.0750410491985253","0.0541510624548762","0.0959310359421744","4"
"Rarely","1985","higher education","90","0.119971915660426","0.096701976653975","0.143241854666877","4"
"Daily","1986","in school","","","","","1"
"Daily","1986","inadequately","","","","","1"
"Daily","1986","general elemantary","","","","","1"
"Daily","1986","middle vocational","","","","","1"
"Daily","1986","vocational + Abi","","","","","1"
"Daily","1986","higher vocational","","","","","1"
"Daily","1986","higher education","","","","","1"
"Min 1x per month","1986","higher education","24","","","","3"
"Min 1x per month","1986","middle vocational","88","0.0188729697020528","0.0150852522798497","0.0226606871242558","3"
"Min 1x per month","1986","vocational + Abi","6","","","","3"
"Min 1x per month","1986","higher vocational","14","","","","3"
"Min 1x per month","1986","in school","2","","","","3"
"Min 1x per month","1986","inadequately","2","","","","3"
"Min 1x per month","1986","general elemantary","32","0.0148783589657215","0.0104598788068058","0.0192968391246372","3"
"Min 1x per week","1986","in school","","","","","2"
"Min 1x per week","1986","inadequately","4","","","","2"
"Min 1x per week","1986","general elemantary","7","","","","2"
"Min 1x per week","1986","middle vocational","49","0.00997049527792761","0.00720497234191658","0.0127360182139386","2"
"Min 1x per week","1986","vocational + Abi","9","","","","2"
"Min 1x per week","1986","higher vocational","6","","","","2"
"Min 1x per week","1986","higher education","21","","","","2"
"Never","1986","higher vocational","496","0.877717533344543","0.850893118166031","0.904541948523055","5"
"Never","1986","higher education","604","0.810961300823742","0.782808013717331","0.839114587930153","5"
"Never","1986","middle vocational","4587","0.922221560398141","0.91476665599935","0.929676464796933","5"
"Never","1986","vocational + Abi","245","0.848682589656221","0.806481340815576","0.890883838496865","5"
"Never","1986","in school","177","0.957224571507805","0.927986866300413","0.986462276715198","5"
"Never","1986","inadequately","770","0.986032406906943","0.977817617369416","0.994247196444471","5"
"Never","1986","general elemantary","2763","0.955738815249301","0.948232417165513","0.963245213333089","5"
"Rarely","1986","in school","5","","","","4"
"Rarely","1986","inadequately","8","","","","4"
"Rarely","1986","general elemantary","82","0.027729498727419","0.0217369023540197","0.0337220951008183","4"
"Rarely","1986","middle vocational","234","0.0489349746218782","0.0429300215318918","0.0549399277118646","4"
"Rarely","1986","vocational + Abi","17","","","","4"
"Rarely","1986","higher vocational","57","0.0914903643240551","0.0678843195001222","0.115096409147988","4"
"Rarely","1986","higher education","94","0.128284443626709","0.104239261008328","0.15232962624509","4"
"Daily","1987","in school","","","","","1"
"Daily","1987","inadequately","","","","","1"
"Daily","1987","general elemantary","","","","","1"
"Daily","1987","middle vocational","","","","","1"
"Daily","1987","vocational + Abi","","","","","1"
"Daily","1987","higher vocational","","","","","1"
"Daily","1987","higher education","","","","","1"
"Min 1x per month","1987","higher education","","","","","3"
"Min 1x per month","1987","middle vocational","","","","","3"
"Min 1x per month","1987","vocational + Abi","","","","","3"
"Min 1x per month","1987","higher vocational","","","","","3"
"Min 1x per month","1987","in school","","","","","3"
"Min 1x per month","1987","inadequately","","","","","3"
"Min 1x per month","1987","general elemantary","","","","","3"
"Min 1x per week","1987","vocational + Abi","","","","","2"
"Min 1x per week","1987","in school","","","","","2"
"Min 1x per week","1987","inadequately","","","","","2"
"Min 1x per week","1987","higher education","","","","","2"
"Min 1x per week","1987","general elemantary","","","","","2"
"Min 1x per week","1987","middle vocational","","","","","2"
"Min 1x per week","1987","higher vocational","","","","","2"
"Never","1987","higher vocational","","","","","5"
"Never","1987","higher education","","","","","5"
"Never","1987","middle vocational","","","","","5"
"Never","1987","vocational + Abi","","","","","5"
"Never","1987","in school","","","","","5"
"Never","1987","inadequately","","","","","5"
"Never","1987","general elemantary","","","","","5"
"Rarely","1987","in school","","","","","4"
"Rarely","1987","inadequately","","","","","4"
"Rarely","1987","general elemantary","","","","","4"
"Rarely","1987","middle vocational","","","","","4"
"Rarely","1987","vocational + Abi","","","","","4"
"Rarely","1987","higher vocational","","","","","4"
"Rarely","1987","higher education","","","","","4"
"Daily","1988","middle vocational","","","","","1"
"Daily","1988","vocational + Abi","","","","","1"
"Daily","1988","in school","","","","","1"
"Daily","1988","inadequately","","","","","1"
"Daily","1988","general elemantary","","","","","1"
"Daily","1988","higher vocational","","","","","1"
"Daily","1988","higher education","","","","","1"
"Min 1x per month","1988","higher education","27","","","","3"
"Min 1x per month","1988","middle vocational","61","0.0139912720079496","0.0106319392378566","0.0173506047780426","3"
"Min 1x per month","1988","vocational + Abi","5","","","","3"
"Min 1x per month","1988","higher vocational","14","","","","3"
"Min 1x per month","1988","in school","","","","","3"
"Min 1x per month","1988","inadequately","1","","","","3"
"Min 1x per month","1988","general elemantary","16","","","","3"
"Min 1x per week","1988","in school","","","","","2"
"Min 1x per week","1988","inadequately","2","","","","2"
"Min 1x per week","1988","vocational + Abi","3","","","","2"
"Min 1x per week","1988","general elemantary","7","","","","2"
"Min 1x per week","1988","middle vocational","36","0.00728611380410017","0.00485366297191456","0.00971856463628578","2"
"Min 1x per week","1988","higher vocational","7","","","","2"
"Min 1x per week","1988","higher education","14","","","","2"
"Never","1988","higher vocational","466","0.875342620533322","0.84735156770492","0.903333673361723","5"
"Never","1988","higher education","546","0.782518204218348","0.751936042315849","0.813100366120846","5"
"Never","1988","middle vocational","4358","0.92352334536659","0.915922315708882","0.931124375024297","5"
"Never","1988","vocational + Abi","243","0.893389648503056","0.856577907770208","0.930201389235905","5"
"Never","1988","in school","153","0.942747925292231","0.906861635461989","0.978634215122473","5"
"Never","1988","inadequately","685","0.984007859749759","0.974694973881765","0.993320745617752","5"
"Never","1988","general elemantary","2622","0.966254165027642","0.959458076506194","0.97305025354909","5"
"Rarely","1988","inadequately","9","","","","4"
"Rarely","1988","general elemantary","67","0.026344030393004","0.02031639293269","0.032371667853318","4"
"Rarely","1988","middle vocational","241","0.0551992688213605","0.0486676501812447","0.0617308874614763","4"
"Rarely","1988","vocational + Abi","19","","","","4"
"Rarely","1988","in school","8","","","","4"
"Rarely","1988","higher vocational","48","0.0865030409958322","0.0626831132044911","0.110322968787173","4"
"Rarely","1988","higher education","112","0.155091273163379","0.128255872636477","0.181926673690281","4"
"Daily","1989","in school","","","","","1"
"Daily","1989","inadequately","","","","","1"
"Daily","1989","middle vocational","","","","","1"
"Daily","1989","vocational + Abi","","","","","1"
"Daily","1989","general elemantary","","","","","1"
"Daily","1989","higher vocational","","","","","1"
"Daily","1989","higher education","","","","","1"
"Min 1x per month","1989","in school","","","","","3"
"Min 1x per month","1989","inadequately","","","","","3"
"Min 1x per month","1989","higher education","","","","","3"
"Min 1x per month","1989","general elemantary","","","","","3"
"Min 1x per month","1989","middle vocational","","","","","3"
"Min 1x per month","1989","vocational + Abi","","","","","3"
"Min 1x per month","1989","higher vocational","","","","","3"
"Min 1x per week","1989","in school","","","","","2"
"Min 1x per week","1989","inadequately","","","","","2"
"Min 1x per week","1989","middle vocational","","","","","2"
"Min 1x per week","1989","vocational + Abi","","","","","2"
"Min 1x per week","1989","general elemantary","","","","","2"
"Min 1x per week","1989","higher vocational","","","","","2"
"Min 1x per week","1989","higher education","","","","","2"
"Never","1989","higher vocational","","","","","5"
"Never","1989","higher education","","","","","5"
"Never","1989","middle vocational","","","","","5"
"Never","1989","vocational + Abi","","","","","5"
"Never","1989","in school","","","","","5"
"Never","1989","inadequately","","","","","5"
"Never","1989","general elemantary","","","","","5"
"Rarely","1989","inadequately","","","","","4"
"Rarely","1989","general elemantary","","","","","4"
"Rarely","1989","middle vocational","","","","","4"
"Rarely","1989","vocational + Abi","","","","","4"
"Rarely","1989","higher education","","","","","4"
"Rarely","1989","in school","","","","","4"
"Rarely","1989","higher vocational","","","","","4"
"Daily","1990","in school","","","","","1"
"Daily","1990","inadequately","2","","","","1"
"Daily","1990","general elemantary","1","","","","1"
"Daily","1990","middle vocational","15","","","","1"
"Daily","1990","vocational + Abi","","","","","1"
"Daily","1990","higher vocational","3","","","","1"
"Daily","1990","higher education","3","","","","1"
"Min 1x per month","1990","in school","1","","","","3"
"Min 1x per month","1990","inadequately","5","","","","3"
"Min 1x per month","1990","general elemantary","46","0.015992514654889","0.0114809472937222","0.0205040820160558","3"
"Min 1x per month","1990","middle vocational","199","0.0267436872479294","0.0229664409736649","0.030520933522194","3"
"Min 1x per month","1990","vocational + Abi","9","","","","3"
"Min 1x per month","1990","higher vocational","28","","","","3"
"Min 1x per month","1990","higher education","150","0.0879531748821581","0.0743692840124151","0.101537065751901","3"
"Min 1x per week","1990","in school","1","","","","2"
"Min 1x per week","1990","inadequately","4","","","","2"
"Min 1x per week","1990","general elemantary","9","","","","2"
"Min 1x per week","1990","middle vocational","71","0.010582318891941","0.00818662513978416","0.0129780126440979","2"
"Min 1x per week","1990","vocational + Abi","6","","","","2"
"Min 1x per week","1990","higher vocational","16","","","","2"
"Min 1x per week","1990","higher education","66","0.0374213307452981","0.0283186861606497","0.0465239753299465","2"
"Never","1990","higher vocational","597","0.792600971146479","0.763888910311818","0.82131303198114","5"
"Never","1990","higher education","1099","0.647109901195583","0.62419074551821","0.670029056872956","5"
"Never","1990","in school","178","0.922029897217157","0.884300159935284","0.959759634499029","5"
"Never","1990","inadequately","615","0.926505657740747","0.906398673279813","0.946612642201682","5"
"Never","1990","general elemantary","2713","0.906691166814998","0.896230462218538","0.917151871411457","5"
"Never","1990","middle vocational","5945","0.836712824383476","0.828058856168651","0.845366792598301","5"
"Never","1990","vocational + Abi","304","0.797984474999616","0.757183906410061","0.83878504358917","5"
"Rarely","1990","in school","14","","","","4"
"Rarely","1990","inadequately","21","","","","4"
"Rarely","1990","vocational + Abi","53","0.141108343120953","0.105731248810838","0.176485437431067","4"
"Rarely","1990","higher education","352","0.224614549136255","0.2045989948608","0.24463010341171","4"
