"pli0097_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","(0) in school","","","",""
"Daily","1985","(1a) inadequately completed","","","",""
"Daily","1985","(1b) general elementary school","","","",""
"Daily","1985","(1c) basic vocational qualification","","","",""
"Daily","1985","(2b) intermediate general qualification","","","",""
"Daily","1985","(2a) intermediate vocational","","","",""
"Daily","1985","(2c_gen) general maturity certificate","","","",""
"Daily","1985","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","(3a) lower tertiary education","","","",""
"Daily","1985","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","(0) in school","1","","",""
"Min 1x per week","1985","(1a) inadequately completed","3","","",""
"Min 1x per week","1985","(1b) general elementary school","9","","",""
"Min 1x per week","1985","(1c) basic vocational qualification","27","","",""
"Min 1x per week","1985","(2b) intermediate general qualification","5","","",""
"Min 1x per week","1985","(2a) intermediate vocational","17","","",""
"Min 1x per week","1985","(2c_gen) general maturity certificate","6","","",""
"Min 1x per week","1985","(2c_voc) vocational maturity certificate","11","","",""
"Min 1x per week","1985","(3a) lower tertiary education","5","","",""
"Min 1x per week","1985","(3b) higher tertiary education","18","","",""
"Min 1x per month","1985","(0) in school","1","","",""
"Min 1x per month","1985","(1a) inadequately completed","3","","",""
"Min 1x per month","1985","(1b) general elementary school","18","","",""
"Min 1x per month","1985","(1c) basic vocational qualification","76","0.0206739561024087","0.0161367076498308","0.0252112045549866"
"Min 1x per month","1985","(2b) intermediate general qualification","13","","",""
"Min 1x per month","1985","(2a) intermediate vocational","25","","",""
"Min 1x per month","1985","(2c_gen) general maturity certificate","9","","",""
"Min 1x per month","1985","(2c_voc) vocational maturity certificate","14","","",""
"Min 1x per month","1985","(3a) lower tertiary education","13","","",""
"Min 1x per month","1985","(3b) higher tertiary education","26","","",""
"Rarely","1985","(0) in school","10","","",""
"Rarely","1985","(1a) inadequately completed","12","","",""
"Rarely","1985","(1b) general elementary school","44","0.0183781753494991","0.0132054251369097","0.0235509255620885"
"Rarely","1985","(1c) basic vocational qualification","154","0.0408868155012622","0.0345722468670557","0.0472013841354686"
"Rarely","1985","(2b) intermediate general qualification","33","0.0716079308987756","0.0482977611865289","0.0949181006110223"
"Rarely","1985","(2a) intermediate vocational","89","0.0661784061478309","0.0528031306108343","0.0795536816848275"
"Rarely","1985","(2c_gen) general maturity certificate","42","0.133100034105668","0.0987657698913897","0.167434298319947"
"Rarely","1985","(2c_voc) vocational maturity certificate","39","0.100344324801388","0.0710460547354895","0.129642594867287"
"Rarely","1985","(3a) lower tertiary education","26","","",""
"Rarely","1985","(3b) higher tertiary education","64","0.130723104264541","0.101264013187353","0.160182195341728"
"Never","1985","(0) in school","174","0.922786974886736","0.884426177081672","0.9611477726918"
"Never","1985","(1a) inadequately completed","889","0.976860469536724","0.967075984209649","0.9866449548638"
"Never","1985","(1b) general elementary school","2519","0.971480756550722","0.965070368644456","0.977891144456988"
"Never","1985","(1c) basic vocational qualification","3521","0.931882219730477","0.923848292926172","0.939916146534782"
"Never","1985","(2b) intermediate general qualification","419","0.88784397475918","0.859315484265217","0.916372465253142"
"Never","1985","(2a) intermediate vocational","1196","0.902028936496083","0.88603439571262","0.918023477279546"
"Never","1985","(2c_gen) general maturity certificate","319","0.819975014410273","0.781140232503207","0.858809796317339"
"Never","1985","(2c_voc) vocational maturity certificate","340","0.826509230336367","0.789584320004054","0.86343414066868"
"Never","1985","(3a) lower tertiary education","202","0.823397666480665","0.775745398845616","0.871049934115715"
"Never","1985","(3b) higher tertiary education","395","0.783359951743166","0.747358985850523","0.819360917635809"
"Daily","1986","(0) in school","","","",""
"Daily","1986","(1a) inadequately completed","","","",""
"Daily","1986","(1b) general elementary school","","","",""
"Daily","1986","(1c) basic vocational qualification","","","",""
"Daily","1986","(2b) intermediate general qualification","","","",""
"Daily","1986","(2a) intermediate vocational","","","",""
"Daily","1986","(2c_gen) general maturity certificate","","","",""
"Daily","1986","(2c_voc) vocational maturity certificate","","","",""
"Daily","1986","(3a) lower tertiary education","","","",""
"Daily","1986","(3b) higher tertiary education","","","",""
"Min 1x per week","1986","(0) in school","","","",""
"Min 1x per week","1986","(1a) inadequately completed","4","","",""
"Min 1x per week","1986","(1b) general elementary school","6","","",""
"Min 1x per week","1986","(1c) basic vocational qualification","39","0.0109966412912089","0.00757859257292715","0.0144146900094906"
"Min 1x per week","1986","(2b) intermediate general qualification","1","","",""
"Min 1x per week","1986","(2a) intermediate vocational","11","","",""
"Min 1x per week","1986","(2c_gen) general maturity certificate","4","","",""
"Min 1x per week","1986","(2c_voc) vocational maturity certificate","10","","",""
"Min 1x per week","1986","(3a) lower tertiary education","5","","",""
"Min 1x per week","1986","(3b) higher tertiary education","16","","",""
"Min 1x per month","1986","(0) in school","3","","",""
"Min 1x per month","1986","(1a) inadequately completed","2","","",""
"Min 1x per month","1986","(1b) general elementary school","22","","",""
"Min 1x per month","1986","(1c) basic vocational qualification","70","0.0202863741677401","0.0156657448877445","0.0249070034477357"
"Min 1x per month","1986","(2b) intermediate general qualification","10","","",""
"Min 1x per month","1986","(2a) intermediate vocational","11","","",""
"Min 1x per month","1986","(2c_gen) general maturity certificate","13","","",""
"Min 1x per month","1986","(2c_voc) vocational maturity certificate","13","","",""
"Min 1x per month","1986","(3a) lower tertiary education","7","","",""
"Min 1x per month","1986","(3b) higher tertiary education","17","","",""
"Rarely","1986","(0) in school","5","","",""
"Rarely","1986","(1a) inadequately completed","11","","",""
"Rarely","1986","(1b) general elementary school","55","0.0212026469851564","0.0155017820566568","0.0269035119136561"
"Rarely","1986","(1c) basic vocational qualification","144","0.0409641804942157","0.034467838415222","0.0474605225732094"
"Rarely","1986","(2b) intermediate general qualification","27","","",""
"Rarely","1986","(2a) intermediate vocational","87","0.0645009377044598","0.0511734734114606","0.0778284019974589"
"Rarely","1986","(2c_gen) general maturity certificate","43","0.126498379387318","0.0940844451383274","0.158912313636309"
"Rarely","1986","(2c_voc) vocational maturity certificate","31","0.0904705231316528","0.0627380168402301","0.118203029423075"
"Rarely","1986","(3a) lower tertiary education","29","","",""
"Rarely","1986","(3b) higher tertiary education","65","0.138812404085318","0.108415250523316","0.16920955764732"
"Never","1986","(0) in school","177","0.951556893269611","0.920618653538952","0.982495133000271"
"Never","1986","(1a) inadequately completed","827","0.981855057567051","0.97285016873257","0.990859946401532"
"Never","1986","(1b) general elementary school","2370","0.964394736131289","0.957061699797224","0.971727772465355"
"Never","1986","(1c) basic vocational qualification","3323","0.927752804046835","0.91926733269086","0.936238275402811"
"Never","1986","(2b) intermediate general qualification","421","0.918882230866877","0.893905840468523","0.943858621265231"
"Never","1986","(2a) intermediate vocational","1196","0.918618160941209","0.903783620440052","0.933452701442366"
"Never","1986","(2c_gen) general maturity certificate","344","0.827457288633008","0.79061229290328","0.864302284362737"
"Never","1986","(2c_voc) vocational maturity certificate","357","0.843971053110872","0.808888309924126","0.879053796297617"
"Never","1986","(3a) lower tertiary education","205","0.841322328807491","0.795664037555381","0.886980620059601"
"Never","1986","(3b) higher tertiary education","399","0.793691963544607","0.758116222031574","0.829267705057641"
"Daily","1987","(0) in school","","","",""
"Daily","1987","(1a) inadequately completed","","","",""
"Daily","1987","(1b) general elementary school","","","",""
"Daily","1987","(1c) basic vocational qualification","","","",""
"Daily","1987","(2b) intermediate general qualification","","","",""
"Daily","1987","(2a) intermediate vocational","","","",""
"Daily","1987","(2c_gen) general maturity certificate","","","",""
"Daily","1987","(2c_voc) vocational maturity certificate","","","",""
"Daily","1987","(3a) lower tertiary education","","","",""
"Daily","1987","(3b) higher tertiary education","","","",""
"Min 1x per week","1987","(0) in school","","","",""
"Min 1x per week","1987","(1a) inadequately completed","","","",""
"Min 1x per week","1987","(1b) general elementary school","","","",""
"Min 1x per week","1987","(1c) basic vocational qualification","","","",""
"Min 1x per week","1987","(2b) intermediate general qualification","","","",""
"Min 1x per week","1987","(2a) intermediate vocational","","","",""
"Min 1x per week","1987","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1987","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1987","(3a) lower tertiary education","","","",""
"Min 1x per week","1987","(3b) higher tertiary education","","","",""
"Min 1x per month","1987","(0) in school","","","",""
"Min 1x per month","1987","(1a) inadequately completed","","","",""
"Min 1x per month","1987","(1b) general elementary school","","","",""
"Min 1x per month","1987","(1c) basic vocational qualification","","","",""
"Min 1x per month","1987","(2b) intermediate general qualification","","","",""
"Min 1x per month","1987","(2a) intermediate vocational","","","",""
"Min 1x per month","1987","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1987","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1987","(3a) lower tertiary education","","","",""
"Min 1x per month","1987","(3b) higher tertiary education","","","",""
"Rarely","1987","(0) in school","","","",""
"Rarely","1987","(1a) inadequately completed","","","",""
"Rarely","1987","(1b) general elementary school","","","",""
"Rarely","1987","(1c) basic vocational qualification","","","",""
"Rarely","1987","(2b) intermediate general qualification","","","",""
"Rarely","1987","(2a) intermediate vocational","","","",""
"Rarely","1987","(2c_gen) general maturity certificate","","","",""
"Rarely","1987","(2c_voc) vocational maturity certificate","","","",""
"Rarely","1987","(3a) lower tertiary education","","","",""
"Rarely","1987","(3b) higher tertiary education","","","",""
"Never","1987","(0) in school","","","",""
"Never","1987","(1a) inadequately completed","","","",""
"Never","1987","(1b) general elementary school","","","",""
"Never","1987","(1c) basic vocational qualification","","","",""
"Never","1987","(2b) intermediate general qualification","","","",""
"Never","1987","(2a) intermediate vocational","","","",""
"Never","1987","(2c_gen) general maturity certificate","","","",""
"Never","1987","(2c_voc) vocational maturity certificate","","","",""
"Never","1987","(3a) lower tertiary education","","","",""
"Never","1987","(3b) higher tertiary education","","","",""
"Daily","1988","(0) in school","","","",""
"Daily","1988","(1a) inadequately completed","","","",""
"Daily","1988","(1b) general elementary school","","","",""
"Daily","1988","(1c) basic vocational qualification","","","",""
"Daily","1988","(2b) intermediate general qualification","","","",""
"Daily","1988","(2a) intermediate vocational","","","",""
"Daily","1988","(2c_gen) general maturity certificate","","","",""
"Daily","1988","(2c_voc) vocational maturity certificate","","","",""
"Daily","1988","(3a) lower tertiary education","","","",""
"Daily","1988","(3b) higher tertiary education","","","",""
"Min 1x per week","1988","(0) in school","","","",""
"Min 1x per week","1988","(1a) inadequately completed","2","","",""
"Min 1x per week","1988","(1b) general elementary school","6","","",""
"Min 1x per week","1988","(1c) basic vocational qualification","26","","",""
"Min 1x per week","1988","(2b) intermediate general qualification","1","","",""
"Min 1x per week","1988","(2a) intermediate vocational","11","","",""
"Min 1x per week","1988","(2c_gen) general maturity certificate","4","","",""
