"pli0097_h","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","","","",""
"Daily","1985","secondary school degree","","","",""
"Daily","1985","college entrance qualification","","","",""
"Daily","1985","Other degree","","","",""
"Daily","1985","no degree/no degree yet","","","",""
"Min 1x per week","1985","lower secondary degree","30","0.00536029242789688","0.00341278846932762","0.00730779638646614"
"Min 1x per week","1985","secondary school degree","","","",""
"Min 1x per week","1985","college entrance qualification","36","0.0322726964633793","0.022323433606228","0.0422219593205306"
"Min 1x per week","1985","Other degree","","","",""
"Min 1x per week","1985","no degree/no degree yet","","","",""
"Min 1x per month","1985","lower secondary degree","90","0.0161558788544662","0.0127932444467865","0.0195185132621459"
"Min 1x per month","1985","secondary school degree","40","0.0218280927891763","0.0151892804423957","0.0284669051359569"
"Min 1x per month","1985","college entrance qualification","55","0.043203669937811","0.031757324420593","0.0546500154550289"
"Min 1x per month","1985","Other degree","","","",""
"Min 1x per month","1985","no degree/no degree yet","","","",""
"Rarely","1985","lower secondary degree","190","0.0332836616177047","0.0284993849155341","0.0380679383198754"
"Rarely","1985","secondary school degree","128","0.0686862715663442","0.05719527014908","0.0801772729836085"
"Rarely","1985","college entrance qualification","150","0.123539577335221","0.105014245686814","0.142064908983629"
"Rarely","1985","Other degree","","","",""
"Rarely","1985","no degree/no degree yet","","","",""
"Never","1985","lower secondary degree","5090","0.945200167099932","0.939129970975781","0.951270363224084"
"Never","1985","secondary school degree","1670","0.896801076915172","0.882979406026447","0.910622747803898"
"Never","1985","college entrance qualification","971","0.800984056263588","0.778506315818582","0.823461796708595"
"Never","1985","Other degree","1177","0.969934588801913","0.960340414607366","0.979528762996461"
"Never","1985","no degree/no degree yet","1061","0.953874845081488","0.941428256547432","0.966321433615545"
"Daily","1986","lower secondary degree","","","",""
"Daily","1986","secondary school degree","","","",""
"Daily","1986","college entrance qualification","","","",""
"Daily","1986","Other degree","","","",""
"Daily","1986","no degree/no degree yet","","","",""
"Min 1x per week","1986","lower secondary degree","39","0.00757567585087144","0.00519714050384283","0.00995421119790004"
"Min 1x per week","1986","secondary school degree","","","",""
"Min 1x per week","1986","college entrance qualification","32","0.0269850552821553","0.0179950031581389","0.0359751074061718"
"Min 1x per week","1986","Other degree","","","",""
"Min 1x per week","1986","no degree/no degree yet","","","",""
"Min 1x per month","1986","lower secondary degree","88","0.0180934153812707","0.0144370837395383","0.0217497470230031"
"Min 1x per month","1986","secondary school degree","","","",""
"Min 1x per month","1986","college entrance qualification","46","0.0367884748799978","0.0263446994313101","0.0472322503286855"
"Min 1x per month","1986","Other degree","","","",""
"Min 1x per month","1986","no degree/no degree yet","","","",""
"Rarely","1986","lower secondary degree","184","0.0347504305074187","0.0297264248390318","0.0397744361758056"
"Rarely","1986","secondary school degree","121","0.0640277118944679","0.0528086453349177","0.0752467784540181"
"Rarely","1986","college entrance qualification","147","0.121593942983182","0.103461996435046","0.139725889531318"
"Rarely","1986","Other degree","","","",""
"Rarely","1986","no degree/no degree yet","","","",""
"Never","1986","lower secondary degree","4794","0.939580478260439","0.933044571442832","0.946116385078046"
"Never","1986","secondary school degree","1675","0.917697454047151","0.905102469567606","0.930292438526697"
"Never","1986","college entrance qualification","1023","0.814632526854665","0.793073039166249","0.836192014543081"
"Never","1986","Other degree","1120","0.970668611464683","0.960975272376961","0.980361950552406"
"Never","1986","no degree/no degree yet","1000","0.970615029854562","0.960271131467354","0.98095892824177"
"Daily","1987","lower secondary degree","","","",""
"Daily","1987","secondary school degree","","","",""
"Daily","1987","college entrance qualification","","","",""
"Daily","1987","Other degree","","","",""
"Daily","1987","no degree/no degree yet","","","",""
"Min 1x per week","1987","lower secondary degree","","","",""
"Min 1x per week","1987","secondary school degree","","","",""
"Min 1x per week","1987","college entrance qualification","","","",""
"Min 1x per week","1987","Other degree","","","",""
"Min 1x per week","1987","no degree/no degree yet","","","",""
"Min 1x per month","1987","lower secondary degree","","","",""
"Min 1x per month","1987","secondary school degree","","","",""
"Min 1x per month","1987","college entrance qualification","","","",""
"Min 1x per month","1987","Other degree","","","",""
"Min 1x per month","1987","no degree/no degree yet","","","",""
"Rarely","1987","lower secondary degree","","","",""
"Rarely","1987","secondary school degree","","","",""
"Rarely","1987","college entrance qualification","","","",""
"Rarely","1987","Other degree","","","",""
"Rarely","1987","no degree/no degree yet","","","",""
"Never","1987","lower secondary degree","","","",""
"Never","1987","secondary school degree","","","",""
