"pli0097_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","lower secondary degree","","","",""
"Daily","1985","Full Time","secondary school degree","","","",""
"Daily","1985","Full Time","college entrance qualification","","","",""
"Daily","1985","Full Time","Other degree","","","",""
"Daily","1985","Full Time","no degree/no degree yet","","","",""
"Daily","1985","Part Time","lower secondary degree","","","",""
"Daily","1985","Part Time","secondary school degree","","","",""
"Daily","1985","Part Time","college entrance qualification","","","",""
"Daily","1985","Part Time","Other degree","","","",""
"Daily","1985","Part Time","no degree/no degree yet","","","",""
"Daily","1985","Not Working","lower secondary degree","","","",""
"Daily","1985","Not Working","secondary school degree","","","",""
"Daily","1985","Not Working","college entrance qualification","","","",""
"Daily","1985","Not Working","Other degree","","","",""
"Daily","1985","Not Working","no degree/no degree yet","","","",""
"Min 1x per week","1985","Full Time","lower secondary degree","18","","",""
"Min 1x per week","1985","Full Time","secondary school degree","10","","",""
"Min 1x per week","1985","Full Time","college entrance qualification","18","","",""
"Min 1x per week","1985","Full Time","Other degree","5","","",""
"Min 1x per week","1985","Full Time","no degree/no degree yet","1","","",""
"Min 1x per week","1985","Part Time","lower secondary degree","5","","",""
"Min 1x per week","1985","Part Time","secondary school degree","5","","",""
"Min 1x per week","1985","Part Time","college entrance qualification","7","","",""
"Min 1x per week","1985","Part Time","Other degree","1","","",""
"Min 1x per week","1985","Part Time","no degree/no degree yet","","","",""
"Min 1x per week","1985","Not Working","lower secondary degree","7","","",""
"Min 1x per week","1985","Not Working","secondary school degree","8","","",""
"Min 1x per week","1985","Not Working","college entrance qualification","11","","",""
"Min 1x per week","1985","Not Working","Other degree","3","","",""
"Min 1x per week","1985","Not Working","no degree/no degree yet","3","","",""
"Min 1x per month","1985","Full Time","lower secondary degree","54","0.0252330019009849","0.018698804465402","0.0317671993365679"
"Min 1x per month","1985","Full Time","secondary school degree","22","","",""
"Min 1x per month","1985","Full Time","college entrance qualification","31","0.0560563006015307","0.0368841519313372","0.0752284492717241"
"Min 1x per month","1985","Full Time","Other degree","4","","",""
"Min 1x per month","1985","Full Time","no degree/no degree yet","","","",""
"Min 1x per month","1985","Part Time","lower secondary degree","15","","",""
"Min 1x per month","1985","Part Time","secondary school degree","3","","",""
"Min 1x per month","1985","Part Time","college entrance qualification","10","","",""
"Min 1x per month","1985","Part Time","Other degree","3","","",""
"Min 1x per month","1985","Part Time","no degree/no degree yet","2","","",""
"Min 1x per month","1985","Not Working","lower secondary degree","21","","",""
"Min 1x per month","1985","Not Working","secondary school degree","15","","",""
"Min 1x per month","1985","Not Working","college entrance qualification","14","","",""
"Min 1x per month","1985","Not Working","Other degree","2","","",""
"Min 1x per month","1985","Not Working","no degree/no degree yet","2","","",""
"Rarely","1985","Full Time","lower secondary degree","109","0.0489089259061415","0.0399230069026932","0.0578948449095899"
"Rarely","1985","Full Time","secondary school degree","71","0.0784029031860567","0.0606630337272155","0.096142772644898"
"Rarely","1985","Full Time","college entrance qualification","70","0.128099250610913","0.100244944414796","0.155953556807029"
"Rarely","1985","Full Time","Other degree","17","","",""
"Rarely","1985","Full Time","no degree/no degree yet","7","","",""
"Rarely","1985","Part Time","lower secondary degree","42","0.0472546284164195","0.0334306068876837","0.0610786499451554"
"Rarely","1985","Part Time","secondary school degree","20","","",""
"Rarely","1985","Part Time","college entrance qualification","43","0.171368960742501","0.126831195248836","0.215906726236166"
"Rarely","1985","Part Time","Other degree","3","","",""
"Rarely","1985","Part Time","no degree/no degree yet","2","","",""
"Rarely","1985","Not Working","lower secondary degree","39","0.0164461050269022","0.0112279030863712","0.0216643069674331"
"Rarely","1985","Not Working","secondary school degree","37","0.0588817687902989","0.0404852653759604","0.0772782722046374"
"Rarely","1985","Not Working","college entrance qualification","37","0.0860173071131183","0.0579730212085362","0.1140615930177"
"Rarely","1985","Not Working","Other degree","2","","",""
"Rarely","1985","Not Working","no degree/no degree yet","13","","",""
"Never","1985","Full Time","lower secondary degree","2032","0.917531775756714","0.906071072642259","0.92899247887117"
"Never","1985","Full Time","secondary school degree","779","0.882445354342756","0.861189546888106","0.903701161797405"
"Never","1985","Full Time","college entrance qualification","434","0.78259673870792","0.748218187576438","0.816975289839403"
"Never","1985","Full Time","Other degree","755","0.968585588862797","0.95635193925923","0.980819238466364"
"Never","1985","Full Time","no degree/no degree yet","440","0.988570924019726","0.97872812629101","0.998413721748441"
"Never","1985","Part Time","lower secondary degree","843","0.93209337514779","0.915702219106843","0.948484531188737"
