"pli0097_h","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","(0) in school","","","",""
"Daily","1985","Full Time","(1a) inadequately completed","","","",""
"Daily","1985","Full Time","(1b) general elementary school","","","",""
"Daily","1985","Full Time","(1c) basic vocational qualification","","","",""
"Daily","1985","Full Time","(2b) intermediate general qualification","","","",""
"Daily","1985","Full Time","(2a) intermediate vocational","","","",""
"Daily","1985","Full Time","(2c_gen) general maturity certificate","","","",""
"Daily","1985","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","Full Time","(3a) lower tertiary education","","","",""
"Daily","1985","Full Time","(3b) higher tertiary education","","","",""
"Daily","1985","Part Time","(0) in school","","","",""
"Daily","1985","Part Time","(1a) inadequately completed","","","",""
"Daily","1985","Part Time","(1b) general elementary school","","","",""
"Daily","1985","Part Time","(1c) basic vocational qualification","","","",""
"Daily","1985","Part Time","(2b) intermediate general qualification","","","",""
"Daily","1985","Part Time","(2a) intermediate vocational","","","",""
"Daily","1985","Part Time","(2c_gen) general maturity certificate","","","",""
"Daily","1985","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","Part Time","(3a) lower tertiary education","","","",""
"Daily","1985","Part Time","(3b) higher tertiary education","","","",""
"Daily","1985","Not Working","(0) in school","","","",""
"Daily","1985","Not Working","(1a) inadequately completed","","","",""
"Daily","1985","Not Working","(1b) general elementary school","","","",""
"Daily","1985","Not Working","(1c) basic vocational qualification","","","",""
"Daily","1985","Not Working","(2b) intermediate general qualification","","","",""
"Daily","1985","Not Working","(2a) intermediate vocational","","","",""
"Daily","1985","Not Working","(2c_gen) general maturity certificate","","","",""
"Daily","1985","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","Not Working","(3a) lower tertiary education","","","",""
"Daily","1985","Not Working","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","Full Time","(0) in school","","","",""
"Min 1x per week","1985","Full Time","(1a) inadequately completed","1","","",""
"Min 1x per week","1985","Full Time","(1b) general elementary school","5","","",""
"Min 1x per week","1985","Full Time","(1c) basic vocational qualification","18","","",""
"Min 1x per week","1985","Full Time","(2b) intermediate general qualification","1","","",""
"Min 1x per week","1985","Full Time","(2a) intermediate vocational","8","","",""
"Min 1x per week","1985","Full Time","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","Full Time","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per week","1985","Full Time","(3a) lower tertiary education","2","","",""
"Min 1x per week","1985","Full Time","(3b) higher tertiary education","13","","",""
"Min 1x per week","1985","Part Time","(0) in school","","","",""
"Min 1x per week","1985","Part Time","(1a) inadequately completed","","","",""
"Min 1x per week","1985","Part Time","(1b) general elementary school","1","","",""
"Min 1x per week","1985","Part Time","(1c) basic vocational qualification","5","","",""
"Min 1x per week","1985","Part Time","(2b) intermediate general qualification","1","","",""
"Min 1x per week","1985","Part Time","(2a) intermediate vocational","4","","",""
"Min 1x per week","1985","Part Time","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1985","Part Time","(2c_voc) vocational maturity certificate","3","","",""
"Min 1x per week","1985","Part Time","(3a) lower tertiary education","1","","",""
"Min 1x per week","1985","Part Time","(3b) higher tertiary education","2","","",""
"Min 1x per week","1985","Not Working","(0) in school","1","","",""
"Min 1x per week","1985","Not Working","(1a) inadequately completed","2","","",""
"Min 1x per week","1985","Not Working","(1b) general elementary school","3","","",""
"Min 1x per week","1985","Not Working","(1c) basic vocational qualification","4","","",""
"Min 1x per week","1985","Not Working","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1985","Not Working","(2a) intermediate vocational","5","","",""
"Min 1x per week","1985","Not Working","(2c_gen) general maturity certificate","5","","",""
"Min 1x per week","1985","Not Working","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per week","1985","Not Working","(3a) lower tertiary education","2","","",""
"Min 1x per week","1985","Not Working","(3b) higher tertiary education","3","","",""
"Min 1x per month","1985","Full Time","(0) in school","","","",""
"Min 1x per month","1985","Full Time","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Full Time","(1b) general elementary school","7","","",""
"Min 1x per month","1985","Full Time","(1c) basic vocational qualification","50","0.0280969603811981","0.0208034639388415","0.0353904568235547"
"Min 1x per month","1985","Full Time","(2b) intermediate general qualification","2","","",""
"Min 1x per month","1985","Full Time","(2a) intermediate vocational","18","","",""
"Min 1x per month","1985","Full Time","(2c_gen) general maturity certificate","1","","",""
