"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1988","in school","Urban Area","25863.05","25339","135","12412","17953","32250","36967","79672","23843.95","27882.15","5080","79672","23351","27354"
"1988","inadequately","Rural Area","18754.1","17302.84","95","7835","10742","22909","32818","48201","16218.31","21289.89","2730","53374","18520","23322"
"1988","inadequately","Urban Area","19014.93","17974.96","607","7901","12681","23691","30712","48407","18160.25","19869.61","1930","80790","19974","21764"
"1988","middle vocational","Rural Area","21944.05","20380","1024","9750","14501","27712","36286","53486","21297.77","22590.33","1305","86608","20963","22083"
"1988","middle vocational","Urban Area","21588.23","19663","3733","9335","13548","27020","35090","61800","21211.35","21965.11","0","152338","21094","21887"
"1988","vocational + Abi","Rural Area","23408.17","19826.3","36","11596","16755","29551","39338","56691","19113.72","27702.62","3351","56691","17915","28790"
"1988","vocational + Abi","Urban Area","23203.71","19368.81","235","9608","14990","28765","39568","75084","21524.26","24883.16","498","97058","19348","22848"
"1989","general elemantary","Rural Area","19517.17","17842.23","555","7183","10624","25330","34396","52144","18563.74","20470.6","2020","79979","19546","22062"
"1989","general elemantary","Urban Area","19076.7","16993.77","2034","7203","10610","24991","33462","53882","18593.73","19559.67","507","132408","20057","21149"
"1989","higher education","Rural Area","31163.11","28027.73","108","16480","21238","36683","48435","155412","27846.04","34480.18","4342","155412","26720","32311"
"1989","higher education","Urban Area","31515.12","28775.4","591","13181","19518","38117","49871","120561","29981.81","33048.43","3106","170922","28360","30926"
"1989","higher vocational","Rural Area","23827.88","21480.98","108","9567","12790","31904","39596","56410","21648.71","26007.05","7375","58379","21154","26915"
"1989","higher vocational","Urban Area","25509.91","23861.4","408","11130","16420","31472","41943","72825","24239.59","26780.23","3865","102045","23928","26282"
"1989","in school","Rural Area","","","","","","","","","","","","","",""
"1989","in school","Urban Area","28719.59","26291.44","148","14478","21051","33705","41831","89316","26525.83","30913.35","2650","90347","24080","28413"
"1989","inadequately","Rural Area","21679.42","20026.54","85","8087","13218","29659","37286","51514","18600.56","24758.28","666","68126","20870","28128"
"1989","inadequately","Urban Area","20091.2","18293.86","575","9190","13563","25562","33056","52309","19260.56","20921.84","2850","64045","20502","22982"
"1989","middle vocational","Rural Area","23439.81","21201.07","981","9854","15219","28443","39065","59513","22696.06","24183.56","1595","155412","22292","24066"
"1989","middle vocational","Urban Area","22551.02","20791.86","3657","9485","14070","27794","36572","69296","22135.24","22966.8","0","170922","22005","22645"
"1989","vocational + Abi","Rural Area","24533.7","24650.26","37","13477","16918","30216","37620","49098","20894.21","28173.19","3492","49098","17567","27822"
"1989","vocational + Abi","Urban Area","24229.25","21155.31","253","9275","14822","29444","43467","80541","22527.79","25930.71","3448","100612","22098","24073"
"1990","general elemantary","Rural Area","19064.59","17342.93","533","6868","10965","25650","33734","54564","18116.29","20012.89","0","73376","19282","21632"
"1990","general elemantary","Urban Area","19470.51","17201.85","1955","7232","11040","25606","33831","54535","18960.38","19980.64","0","84618","20351","21467"
"1990","higher education","Rural Area","31869.68","29846.59","103","16289","22453","37351","50388","100994","28668.99","35070.37","4988","120039","27767","32245"
"1990","higher education","Urban Area","31977.18","28602.22","598","14681","20109","39727","48833","110876","30425.13","33529.23","10","181118","28629","31764"
"1990","higher vocational","Rural Area","25320.24","23148.9","111","9733","14979","34065","42159","61334","22857.15","27783.33","5015","73376","22987","28070"
"1990","higher vocational","Urban Area","26713.13","24934.79","403","11493","17289","32000","40725","88894","24945.04","28481.22","1751","221883","24855","27023"
"1990","in school","Rural Area","","","","","","","","","","","","","",""
"1990","in school","Urban Area","33055.43","29558.48","134","15918","24139","38881","53841","100208","30208.11","35902.75","2509","103314","26287","30588"
"1990","inadequately","Rural Area","20415.38","19074.51","84","7712","13454","27397","33901","47618","17813.09","23017.67","149","58303","20792","27826"
"1990","inadequately","Urban Area","20406.91","18997.63","555","8818","13455","25558","32821","51214","19490.07","21323.75","0","75701","21301","23687"
"1990","middle vocational","Rural Area","23813.28","21963","994","10075","15307","29365","38934","64294","23045.28","24581.28","2147","120039","22785","23933"
"1990","middle vocational","Urban Area","23724.37","21400.64","3567","10495","14796","29158","37703","71049","23260.79","24187.95","10","221883","22682","23368"
"1990","vocational + Abi","Rural Area","25300.01","25042.51","41","9389","17335","33103","43404","57826","21239.61","29360.41","2151","59307","20292","31060"
"1990","vocational + Abi","Urban Area","24810.48","21746.44","254","10309","15028","32210","41135","88894","23067.81","26553.15","24","92644","22153","25377"
"1991","general elemantary","Rural Area","20183.35","18038","525","8073","11425","26415","34706","53354","19194.33","21172.37","2847","66698","20407","23311"
"1991","general elemantary","Urban Area","21011.17","18222.29","1896","7941","11629","27457","37456","60939","20430.48","21591.86","418","111683","21928","23320"
"1991","higher education","Rural Area","33826.2","31929.23","114","17905","23722","41273","51002","78212","30986.11","36666.29","5803","105190","30422","36707"
"1991","higher education","Urban Area","33436.49","30384.49","607","14293","21235","41874","53041","116916","31916.27","34956.71","10","178897","30343","33354"
"1991","higher vocational","Rural Area","25472.9","24644.38","118","10226","15917","33559","42702","57839","23241.48","27704.32","6874","71348","23722","28831"
"1991","higher vocational","Urban Area","29087.19","27158.11","402","11832","18050","35970","46161","90479","27446.8","30727.58","3770","178897","27151","29746"
"1991","in school","Rural Area","32129.11","25685.86","30","12495","20940","41591","47174","105190","25309.61","38948.61","11612","105190","22277","39165"
"1991","in school","Urban Area","36510.11","31446","120","19775","23230","43564","57342","116916","33183.32","39836.9","9248","118325","28425","35291"
"1991","inadequately","Rural Area","21827.93","19647","86","8188","14641","30282","38858","44858","19096.3","24559.56","4811","59837","21546","30190"
"1991","inadequately","Urban Area","22837.4","21712.75","540","9909","15552","28724","37113","54077","21876.67","23798.13","2122","77365","23187","24996"
"1991","middle vocational","Rural Area","25334.49","23310.23","1013","10591","15976","32287","41591","66698","24506.05","26162.93","1278","153869","24056","25657"
"1991","middle vocational","Urban Area","25294.55","23210","3542","10703","15815","31543","41474","80002","24842.87","25746.23","418","130243","24303","25197"
"1991","vocational + Abi","Rural Area","27717.19","25842.22","40","13460","18775","39144","41591","57564","24025.48","31408.9","11425","57564","22885","31241"
"1991","vocational + Abi","Urban Area","25961.87","22657.58","267","9790","15231","34463","43645","89678","24162.53","27761.21","419","99031","23149","26309"
"1992","general elemantary","Rural Area","19451.01","16654.95","824","6109","9926","26714","35286","60947","18605.97","20296.05","1377","80277","19068","21220"
"1992","general elemantary","Urban Area","21566.87","19269.07","1970","8316","12243","28167","37684","65188","20992.07","22141.67","0","97904","21947","23021"
"1992","higher education","Rural Area","25503.59","22856.76","622","10960","16291","31551","44591","80963","24556","26451.18","1841","90142","21460","23285"
"1992","higher education","Urban Area","32828.45","29663","1008","12587","20363","42124","54827","88740","31784.34","33872.56","2435","173775","27692","29663"
"1992","higher vocational","Rural Area","24145.57","21829.86","284","10734","15651","31900","41484","51815","22800.78","25490.36","2147","90142","21154","24863"
"1992","higher vocational","Urban Area","28308.02","25870.77","483","11513","17037","34838","47989","86623","26888.43","29727.61","5154","173775","25564","29092"
"1992","in school","Rural Area","30156.22","27081.74","57","11305","21311","36830","58399","63918","26969.19","33343.25","6269","63918","22456","27966"
"1992","in school","Urban Area","36405.03","31029.8","130","18072","22919","48854","55899","99213","33282.24","39527.82","3967","112909","26941","33208"
"1992","inadequately","Rural Area","20600.44","18161.15","102","7234","13508","27016","37035","55723","17936.45","23264.43","149","78349","22034","27016"
"1992","inadequately","Urban Area","23550.01","22601.07","530","9184","15648","29229","37684","62412","22521.24","24578.78","874","87050","24395","26760"
"1992","middle vocational","Rural Area","22158.59","19488.9","2427","8636","13043","28288","38748","76805","21698.29","22618.89","2213","86877","19344","20191"
"1992","middle vocational","Urban Area","25191.35","22900.45","4256","10096","15414","31615","41778","71092","24753.81","25628.89","0","255823","23607","24481"
"1992","vocational + Abi","Rural Area","27433.92","22265.31","83","13786","17792","35044","47435","58399","24719.97","30147.87","6349","58399","21585","28090"
"1992","vocational + Abi","Urban Area","25420.69","24241.4","303","7497","15687","33169","44073","63429","23947.22","26894.16","1293","87784","23723","26898"
"1993","general elemantary","Rural Area","20012.84","17700","810","7120","10319","27243","35995","59724","19128.13","20897.55","0","86375","20232","22032"
"1993","general elemantary","Urban Area","22206.84","19686.09","1897","8260","12267","29216","39313","62954","21588.68","22825","44","112124","22596","23959"
"1993","higher education","Rural Area","29644.34","26668.55","609","12349","19539","35685","48085","117535","28439.73","30848.95","3354","153933","25580","26910"
"1993","higher education","Urban Area","34790.81","31329.53","1031","13469","21469","43798","57933","104646","33652.75","35928.87","251","221375","30555","32900"
"1993","higher vocational","Rural Area","26953.12","24131.48","272","12167","18613","36202","44659","63026","25462.61","28443.63","5964","86410","23279","26353"
"1993","higher vocational","Urban Area","29778.5","27483.05","475","10618","17921","36243","49657","96476","28170.57","31386.43","3309","221375","27502","30697"
"1993","in school","Rural Area","38170.8","33302.65","58","14039","19801","40963","75015","153933","31814.64","44526.96","9599","153933","23900","34313"
"1993","in school","Urban Area","35536.24","30640.54","128","15919","23137","42170","60341","85872","32264.86","38807.62","5654","131112","27689","32178"
"1993","inadequately","Rural Area","22073.23","21922.29","103","8200","12836","29124","36851","47276","19310.21","24836.25","2695","86375","22626","25665"
"1993","inadequately","Urban Area","23102.86","21187.43","511","9510","14666","30202","37640","64594","22005.48","24200.24","859","69748","23959","26102"
"1993","middle vocational","Rural Area","23294.95","20820.81","2410","9276","13910","29101","40714","63616","22808.29","23781.61","848","153933","21538","22570"
"1993","middle vocational","Urban Area","26543.81","24354","4286","10896","16277","33224","44022","73261","26111.54","26976.08","0","132075","24799","25748"
"1993","vocational + Abi","Rural Area","25961.08","22051.31","92","9094","17237","33993","42443","55442","23399.54","28522.62","4905","79066","21992","27791"
"1993","vocational + Abi","Urban Area","27174.29","25257","295","11014","16202","34284","45591","71154","25428.46","28920.12","1483","130150","25418","28198"
"1994","general elemantary","Rural Area","20676.82","18811.81","755","7384","11213","27826","37012","60945","19755.4","21598.24","86","77091","20868","22925"
"1994","general elemantary","Urban Area","22178.53","19580.92","1761","7976","12320","28869","39756","65917","21525.27","22831.79","0","111455","22612","23946"
"1994","higher education","Rural Area","31943.1","28897","603","14175","20443","39001","52621","81051","30578.49","33307.71","5665","204137","28121","30023"
"1994","higher education","Urban Area","36865.99","33625","1053","14993","23404","45887","61319","94141","35735.5","37996.48","2483","185898","32901","35030"
"1994","higher vocational","Rural Area","27790.74","25740.42","281","12100","18258","37612","45752","63493","26253.07","29328.41","7269","84933","25290","27663"
