"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","Female","23825.12","22790","93","12223","17179","29223","35368","89039","21457.02","26193.22","0","89039","20013","24126"
"1984","(0) in school","Male","25494.21","24140.99","95","12568","17477","31048","43143","67087","23244.37","27744.05","3555","67087","20078","25618"
"1984","(1a) inadequately completed","Female","16869.58","16289.36","620","7363","10757","21193","28111","39162","16157.53","17581.63","0","103309","17202","18400"
"1984","(1a) inadequately completed","Male","17727.32","16288.21","495","9633","11968","21591","28469","45767","16834.38","18620.26","920","103309","16729","18230"
"1984","(1b) general elementary school","Female","15742.91","13498.79","2027","5657","8602","20275","27362","48175","15256.41","16229.41","0","170618","15087","16049"
"1984","(1b) general elementary school","Male","18144.23","16077.5","988","7976","11574","22771","30489","49203","17481.47","18806.99","205","148650","16711","17899"
"1984","(1c) basic vocational qualification","Female","18625.56","17436.76","1736","6954","11555","23359","30489","57027","18100.94","19150.18","0","148650","18048","18866"
"1984","(1c) basic vocational qualification","Male","19562.6","17663.61","2533","9766","12864","23592","30880","56801","19144.59","19980.61","0","170618","17841","18504"
"1984","(2a) intermediate vocational","Female","20916.23","19719.75","803","8688","12862","26825","33982","49909","20107.32","21725.14","0","131250","20270","22088"
"1984","(2a) intermediate vocational","Male","22771.54","21271.92","608","12106","16082","27754","34556","59821","21970.2","23572.88","3068","82333","20887","22327"
"1984","(2b) intermediate general qualification","Female","20544.07","19923.5","297","6751","12613","25811","32447","67087","19281.24","21806.9","920","89039","19430","21392"
"1984","(2b) intermediate general qualification","Male","24032.93","22793.75","180","11237","17872","28835","35911","58171","22547.44","25518.42","3491","67087","21250","24085"
"1984","(2c_gen) general maturity certificate","Female","17394.37","16207.32","177","3954","7792","25338","32751","46229","15822.15","18966.59","0","54670","15513","18866"
"1984","(2c_gen) general maturity certificate","Male","19965.54","18999.55","238","4049","11280","26868","39584","48552","18520.51","21410.57","0","54670","17095","20513"
"1984","(2c_voc) vocational maturity certificate","Female","20083.06","17405.59","175","6442","10948","27265","33744","54161","18455.41","21710.71","2096","58171","16477","21519"
"1984","(2c_voc) vocational maturity certificate","Male","21255.91","20176.41","281","10034","13958","26951","31482","80046","19731.49","22780.33","744","148650","18567","21727"
"1984","(3a) lower tertiary education","Female","24390.81","22329.18","74","11107","14468","30555","37274","143736","20465.69","28315.93","3111","143736","20523","26739"
"1984","(3a) lower tertiary education","Male","24692.08","23457.75","192","12986","17237","30049","35239","66398","22738.44","26645.72","307","143736","21981","25521"
"1984","(3b) higher tertiary education","Female","23925.02","20792.79","182","7135","14037","29886","40897","76979","21475.38","26374.66","2595","113747","20822","26277"
"1984","(3b) higher tertiary education","Male","27264.1","25776.45","345","13109","18861","32751","41446","76979","25677.15","28851.05","51","129256","24676","27325"
"1985","(0) in school","Female","26552.43","26103.36","75","12186","18314","32760","42710","61961","24012.03","29092.83","5492","61961","20766","27742"
"1985","(0) in school","Male","25629.35","24882.23","112","13449","18525","32219","37600","53045","23757.83","27500.87","4039","59398","21958","26776"
"1985","(1a) inadequately completed","Female","16693.54","15913.97","515","6858","9864","22561","28167","38689","15943.37","17443.71","0","61433","17690","19583"
"1985","(1a) inadequately completed","Male","17700.56","16491.27","402","8610","11431","22557","29079","45733","16890.21","18510.91","0","50584","17179","19210"
"1985","(1b) general elementary school","Female","15951.61","14142.94","1757","5921","8782","20610","27580","48637","15464.36","16438.86","67","137599","15752","16861"
"1985","(1b) general elementary school","Male","18668.06","16261.5","876","8526","11708","22810","30528","57380","17971.31","19364.81","46","129341","17275","18964"
"1985","(1c) basic vocational qualification","Female","19042.73","17316.72","1567","7602","12054","23900","32046","59564","18497.44","19588.02","0","142772","18138","19324"
"1985","(1c) basic vocational qualification","Male","19805.4","17834","2270","10070","13220","24165","30961","55891","19379.37","20231.43","1892","142772","18358","19255"
"1985","(2a) intermediate vocational","Female","21402.67","20206.96","767","8860","12962","27084","34425","61140","20612.36","22192.98","0","83988","20812","22819"
"1985","(2a) intermediate vocational","Male","24002.71","21421.1","577","12243","16092","28068","36715","83988","22806.27","25199.15","0","169250","21396","22944"
"1985","(2b) intermediate general qualification","Female","20759.63","20068.69","296","7428","12024","27651","34852","49790","19551.82","21967.44","96","59398","19963","22682"
"1985","(2b) intermediate general qualification","Male","23596.74","22820","179","10675","16971","29526","37618","48865","22102.56","25090.92","3968","55137","20653","25194"
"1985","(2c_gen) general maturity certificate","Female","17121.51","15182.76","163","2405","5590","25232","34478","46602","15282.2","18960.82","0","48865","15893","20080"
