"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","19495.02","17710","12231","7622","12066","24698","32385","57027","19292.48","19697.56","0","170618","18306","18677"
"1985","19946.08","18132","11087","7986","12322","25176","33343","56930","19737.53","20154.63","0","169250","19042","19549"
"1986","20273.01","18503.15","10643","8080","12190","25821","33806","60172","20051.27","20494.75","0","215855","19930","20329"
"1987","21151.37","19364","10513","8342","12904","26625","35468","61607","20929.67","21373.07","0","124820","20970","21439"
"1988","21721.98","19868.46","10022","8529","13163","27763","36309","61800","21488.99","21954.97","0","152338","21359","21868"
"1989","22831.01","20903.37","9709","8906","13823","28498","37768","70841","22572.71","23089.31","0","170922","22355","22819"
"1990","23634.55","21380","9517","9389","14204","29667","39026","73376","23352.89","23916.21","0","221883","22961","23501"
"1991","25279.76","23132","9466","9850","15179","32113","42353","77365","24992.52","25567","10","178897","24579","25117"
"1992","24610.04","22164","13391","9277","14232","31564","42257","75166","24374.44","24845.64","0","255823","22943","23466"
"1993","26002","23471.84","13178","9816","15035","33067","44552","75015","25750.57","26253.43","0","221375","24477","25010"
"1994","26999.11","24682.09","12944","10428","16067","34317","45592","75715","26740.55","27257.67","0","204137","25977","26434"
"1995","26908.89","24230.59","13370","10419","16049","34087","46625","76913","26651.35","27166.43","0","213353","25513","26029"
"1996","27406.32","24528","13125","10444","16556","34758","46896","80049","27142.01","27670.63","0","261326","26029","26626"
"1997","27778.23","25146","12915","11022","16996","35388","47532","80426","27518.51","28037.95","0","192239","26973","27432"
"1998","28003.33","25522.77","14327","11383","17175","35152","47714","76311","27752.4","28254.26","0","276704","26790","27269"
"1999","28904.25","26124","13768","11510","17724","36283","49404","81143","28639.35","29169.15","102","242816","27262","27872"
"2000","29741.74","26705","24266","11428","17823","37520","50763","91120","29517.58","29965.9","0","314389","28217","28651"
"2001","30471.66","27387.14","22063","11713","18146","38525","51173","91087","30230.93","30712.39","0","293555","29228","29752"
"2002","31030.05","27160.72","23157","11754","18273","38412","51906","103902","30678.2","31381.9","0","581740","32102","32677"
"2003","31903.13","28326","22297","12020","18353","39823","53702","104136","31553.43","32252.83","0","630041","32696","33186"
"2004","31696.49","27967.82","21733","12000","18390","39598","52780","101380","31261.85","32131.13","0","2046737","32609","33203"
"2005","32344.77","28333","20812","12324","18789","40251","54427","102945","31853.92","32835.62","0","2489562","32707","33366"
"2006","32721.72","28082.55","22381","11935","18144","40869","55622","113251","32320.72","33122.72","0","890439","32268","32867"
"2007","33336.66","28599","20965","12048","18708","41855","57709","113911","32929.24","33744.08","0","624538","32599","33228"
"2008","34228.47","29315.33","19686","12362","19121","42467","59002","114260","33770.43","34686.51","0","1329526","33324","34035"
"2009","34715.76","29848","18363","12537","19428","43332","60626","116478","34278.62","35152.9","0","678817","33756","34392"
"2010","35084.81","30237.71","24432","12659","19479","44692","61847","118087","34745.38","35424.24","0","664511","32973","33518"
"2011","36187.52","31243","29015","12774","19837","46024","63376","123837","35859.45","36515.59","0","725750","33753","34314"
"2012","36780.79","31460","28276","13044","20307","46491","64085","123658","36396.81","37164.77","0","1498562","33751","34372"
"2013","37233.97","31657.16","31316","13280","20608","47304","65673","125547","36897.31","37570.63","0","1141458","33933","34443"
"2014","38086.3","32342.56","27786","13432","20711","48359","66455","128263","37723.13","38449.47","0","1295921","35066","35612"
"2015","38344.8","32891.42","27512","13372","20939","49251","68623","118433","38014.2","38675.4","0","1034092","35033","35706"
"2016","39570.01","34102.58","24957","13802","21872","50045","69172","135891","39168.62","39971.4","0","1592880","36663","37346"
"2017","40437.23","34934.28","29452","13999","22080","51493","71129","132182","40055.33","40819.13","0","947279","36454","37140"
"2018","41414.03","35873","29890","14226","22616","52587","72206","133728","41036.39","41791.67","0","985295","35723","36326"
"2019","43505.56","37485.34","29667","14887","23799","54894","75540","146246","42675.83","44335.29","0","8068819","38933","39632"
