"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","20741.31","19138","4608","9113","13514","25593","33228","58171","20414.73","21067.89","0","148650","18830","19433"
"1984","35-65 y.","21063.95","19280","6343","9817","13791","25964","33592","58171","20784.01","21343.89","0","170618","19189","19650"
"1984","66 and older","12726.26","10739","1280","5440","7179","15339","21899","41977","12181.1","13271.42","0","170618","11223","12259"
"1985","16-34 y.","21025.29","19540","4183","9254","13350","26032","34467","56930","20691.35","21359.23","0","162146","19554","20242"
"1985","35-65 y.","21581.92","19657.08","5786","9928","14031","26547","34345","58983","21292.96","21870.88","0","169250","19844","20362"
"1985","66 and older","13347.02","11244.36","1118","5568","7465","16121","23547","45308","12770.86","13923.18","67","108060","11895","12962"
"1986","16-34 y.","21588.66","20156.79","4098","9277","13725","26835","34716","62495","21228.55","21948.77","0","215855","20458","21087"
"1986","35-65 y.","21966.53","20270.03","5498","9909","14496","27279","34957","60172","21660.78","22272.28","51","215855","20551","21163"
"1986","66 and older","13117.31","11112.48","1047","5788","7779","15791","22726","49210","12543.3","13691.32","174","66928","11752","12753"
"1987","16-34 y.","22551.1","20942","4044","9919","14797","27528","36960","62833","22192.92","22909.28","0","124820","21439","22098"
"1987","35-65 y.","23057.44","21392.38","5384","10460","15238","28222","37047","60860","22756.02","23358.86","18","124820","21835","22418"
"1987","66 and older","13621.89","11522","1085","6023","8032","16542","24078","45681","13004.79","14238.99","891","121339","12021","13285"
"1988","16-34 y.","23179.59","21588.61","3854","10201","15200","28493","37553","61950","22805.64","23553.54","0","152338","21929","22549"
"1988","35-65 y.","23647.76","21764","5113","10614","15678","29536","37874","61950","23329.69","23965.83","0","124872","22205","22874"
"1988","66 and older","14131.1","11636","1055","6403","8294","16942","24079","48656","13475.9","14786.3","1524","124872","12138","13582"
"1989","16-34 y.","24412.12","22532.26","3773","10447","15764","29639","39596","74720","24001.87","24822.37","54","150321","22702","23393"
"1989","35-65 y.","24773.73","22801","4907","11277","16351","30287","39202","72825","24419.33","25128.13","0","170922","23231","23953"
"1989","66 and older","14847.48","11839.86","1029","6351","8627","17793","25617","53644","14081.68","15613.28","2020","170922","13314","14349"
"1990","16-34 y.","25147.09","22968.42","3658","11162","16246","30377","39840","75680","24680.79","25613.39","0","221883","23265","23970"
"1990","35-65 y.","25619.92","23604.73","4798","11474","16700","31806","40545","74372","25238.25","26001.59","0","159864","24212","25025"
"1990","66 and older","15382.44","12574.39","1061","6713","9012","18368","25821","53084","14628.5","16136.38","305","145759","13718","14873"
"1991","16-34 y.","26640.73","24250.74","3623","11452","17020","32815","43319","85390","26178.33","27103.13","10","178897","24745","25525"
"1991","35-65 y.","27989","25642","4767","12534","18074","34648","44866","80002","27587.3","28390.7","418","178897","26142","26978"
"1991","66 and older","15802.23","13265.67","1076","6637","9369","19544","26719","51199","15128.1","16476.36","849","90479","14630","15923"
"1992","16-34 y.","25707.27","23484.72","5000","11209","16357","31726","42514","78349","25348.89","26065.65","0","112909","23297","24204"
"1992","35-65 y.","27225.03","24693.97","6911","11310","16895","34160","45631","76805","26884.93","27565.13","0","255823","24329","24863"
"1992","66 and older","15475.13","12446","1480","5840","8988","19482","28336","52670","14901.7","16048.56","153","98480","12892","14049"
"1993","16-34 y.","26666.8","24634.14","4920","11391","17566","33229","43244","71154","26281.35","27052.25","86","153933","24693","25433"
"1993","35-65 y.","29085.66","26290.49","6758","12008","18317","36230","48787","82895","28720.67","29450.65","0","221375","26058","26777"
"1993","66 and older","16428.75","13723.99","1500","7035","9729","20303","28814","54638","15855.98","17001.52","44","100181","14677","15420"
"1994","16-34 y.","27979.53","26346.39","4818","12199","18338","35008","45242","72254","27580.28","28378.78","0","204137","26409","27038"
"1994","35-65 y.","29987.87","27014","6605","12962","19226","37414","50058","81563","29612.96","30362.78","0","204137","27277","28043"
"1994","66 and older","17406.3","14368.21","1521","7477","10273","21154","30217","61457","16826.32","17986.28","44","81051","15783","16790"
"1995","16-34 y.","27245.46","25270.67","4962","11003","17569","34250","44756","73722","26843.19","27647.73","167","210927","25612","26379"
"1995","35-65 y.","29949.73","26939.98","6854","12524","19065","37393","50175","85276","29577.07","30322.39","0","213353","27129","27904"
"1995","66 and older","18247.5","15624.13","1554","7899","11034","22667","31216","62635","17654.14","18840.86","0","86703","16726","17716"
"1996","16-34 y.","27955.3","25783.31","4781","11243","17990","34901","46179","77471","27538.7","28371.9","0","236125","26178","26941"
"1996","35-65 y.","30408.93","27508.72","6765","12912","19296","38029","50128","84051","30027.66","30790.2","0","261326","27723","28541"
"1996","66 and older","18631.66","16249","1579","7980","11213","23670","31580","57329","18033.77","19229.55","0","99899","17259","18383"
"1997","16-34 y.","28215.83","26440","4636","11826","18442","35243","45890","74360","27802.97","28628.69","0","192239","27233","28041"
"1997","35-65 y.","30785.84","27987","6666","13236","19690","38685","50661","85491","30414.65","31157.03","211","192239","28658","29391"
"1997","66 and older","19268.14","16592.5","1613","8436","11673","23226","33298","59791","18673.31","19862.97","223","100919","17843","18904"
"1998","16-34 y.","28268.5","26497.74","4885","11805","18399","34817","47035","75952","27857.27","28679.73","0","134546","26892","27660"
"1998","35-65 y.","31015.73","28378","7551","13857","20085","38683","50606","86391","30658.56","31372.9","0","276704","28605","29293"
"1998","66 and older","19543.71","17153.48","1891","8493","11987","23552","33562","60602","19016.11","20071.31","0","88659","18204","19258"
"1999","16-34 y.","29170.6","26772.77","4617","11884","18956","36363","48303","80622","28729.08","29612.12","108","242816","27308","28187"
"1999","35-65 y.","32068.02","28916","7316","13932","20466","39978","52768","87123","31692.85","32443.19","102","242816","29215","29939"
