"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-Württemberg","college entrance qualification","24031.81","23988.88","194","9203","16076","31649","38938","62292","22378.52","25685.1","2911","65633","22058","25738"
"1984","Baden-Württemberg","lower secondary degree","19730.73","17804","1063","7556","12266","24698","31284","57027","18974.93","20486.53","0","131250","18095","19578"
"1984","Baden-Württemberg","no degree/no degree yet","20382.99","18304.36","345","10644","13483","23939","32797","50203","19369.71","21396.27","2352","57769","17877","19650"
"1984","Baden-Württemberg","Other degree","18099.17","16265.22","355","9563","12128","21521","26269","47422","16941.46","19256.88","4251","113747","18348","19990"
"1984","Baden-Württemberg","secondary school degree","22420.66","21342.42","292","10814","16282","26985","33062","49160","21062.88","23778.44","1031","131250","21156","23485"
"1984","Bavaria","college entrance qualification","21925.55","20747.1","239","8301","14508","28219","34470","50370","20569.22","23281.88","895","73308","19172","23735"
"1984","Bavaria","lower secondary degree","18767.57","16739","1113","7669","12134","23416","29944","68782","18100.85","19434.29","0","116929","17043","18343"
"1984","Bavaria","no degree/no degree yet","19363.45","19347.57","135","7496","12002","25695","31048","36619","18061.56","20665.34","0","36619","17364","20959"
"1984","Bavaria","Other degree","17198.85","16974.92","228","8433","12662","21750","25982","34319","16311.36","18086.34","0","34493","16777","19725"
"1984","Bavaria","secondary school degree","21930.54","20583.82","382","10236","15436","27934","34354","49909","20837.58","23023.5","0","111313","20288","22788"
"1984","Berlin","college entrance qualification","18784.49","16605.98","56","5425","12274","24641","32611","38835","16306.7","21262.28","4786","38835","13498","20309"
"1984","Berlin","lower secondary degree","16233.07","16182.23","173","6461","9817","21195","25937","35630","14353.12","18113.02","0","148650","16297","19984"
"1984","Berlin","no degree/no degree yet","19652.41","19907.61","49","9817","12480","26217","27989","46486","16858.33","22446.49","3560","46486","18253","21817"
"1984","Berlin","Other degree","25084.04","21197.76","51","10085","17562","26444","31054","148650","16280.07","33888.01","7040","148650","19509","24735"
"1984","Berlin","secondary school degree","21052.98","19424","80","9219","11332","26825","32611","77463","18037.95","24068.01","6136","77463","18770","23138"
"1984","Brandenburg","college entrance qualification","","","","","","","","","","","","","",""
"1984","Brandenburg","lower secondary degree","","","","","","","","","","","","","",""
"1984","Brandenburg","no degree/no degree yet","","","","","","","","","","","","","",""
