"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Rural Area","23022.31","21232","1367","11868","15734","27200","34852","65855","22366.77","23677.85","2352","169250","20770","22088"
"1985","Employed","Urban Area","22641.7","20738.76","5487","10875","14971","27721","36217","61370","22347.65","22935.75","501","162146","20927","21587"
"1985","Not Employed","Rural Area","15995.35","14253.91","917","6117","9306","20785","27743","46541","15381.69","16609.01","0","108060","14902","16628"
"1985","Not Employed","Urban Area","16520.52","14194.23","3316","6136","9345","20937","29684","53045","16169.98","16871.06","0","142772","15285","15952"
"1986","Employed","Rural Area","23889.76","21512.48","1371","11701","16174","28544","35798","62495","23148.52","24631","393","215855","21460","22605"
"1986","Employed","Urban Area","23009.2","21352.87","5327","11325","15403","27859","35756","63325","22714.65","23303.75","1644","185058","21634","22080"
"1986","Not Employed","Rural Area","16718.72","14618","814","6402","9151","20977","28762","50616","15846.03","17591.41","307","215855","15830","17441"
"1986","Not Employed","Urban Area","16283.95","13959","3131","6037","9328","21079","29819","53514","15919.37","16648.53","0","91435","15595","16280"
"1987","Employed","Rural Area","24156.42","22165","1390","12225","17126","29619","37278","59183","23566.28","24746.56","1379","108409","22371","23755"
"1987","Employed","Urban Area","24115.84","22336","5324","11746","16320","28652","38133","65206","23805.12","24426.56","825","124820","22622","23162"
"1987","Not Employed","Rural Area","16559.73","14449.92","770","6676","9395","20778","29698","46522","15848.31","17271.15","307","72600","16499","17766"
"1987","Not Employed","Urban Area","17116.44","14567","3029","6418","9679","22239","30343","53050","16721.04","17511.84","0","124820","16799","17658"
"1988","Employed","Rural Area","24892.16","22708","1320","12371","17658","31212","39338","61202","24300.05","25484.27","2730","86608","22886","24609"
"1988","Employed","Urban Area","24808.14","22857.81","5130","11916","16678","29768","38643","65863","24481.02","25135.26","744","152338","23108","23659"
"1988","Not Employed","Rural Area","16899.53","15095.66","704","6551","9551","22034","29639","43351","16149.6","17649.46","1305","86608","16791","18994"
"1988","Not Employed","Urban Area","17434.9","14977.9","2868","6741","9689","22100","32067","58371","17015.39","17854.41","0","124872","16964","17778"
"1989","Employed","Rural Area","26760.03","24851.34","1251","13667","18828","32475","42006","60219","26067.6","27452.46","666","155412","24793","25539"
"1989","Employed","Urban Area","25870.6","23650.87","5019","12444","17174","30993","40809","74999","25513.78","26227.42","727","170922","23880","24484"
"1989","Not Employed","Rural Area","17542.06","15277.2","672","6923","9757","22919","32230","48435","16716.32","18367.8","1595","79979","17340","19156"
"1989","Not Employed","Urban Area","18416.06","15853","2767","6750","9996","23096","32558","66354","17941.97","18890.15","0","170922","17720","18732"
"1990","Employed","Rural Area","26756.12","24574.17","1251","12491","18326","33545","41076","64294","26062.91","27449.33","1508","120039","24748","26546"
"1990","Employed","Urban Area","26830.62","24515.46","4921","12739","18003","32371","41135","78697","26424.39","27236.85","693","221883","24944","25620"
"1990","Not Employed","Rural Area","17947.55","16010.32","667","6472","10168","23270","32035","50746","17081.16","18813.94","0","100994","17335","19048"
"1990","Not Employed","Urban Area","19103.94","16220.35","2678","7274","10890","24052","34152","66682","18610.4","19597.48","0","145759","17912","19005"
"1991","Employed","Rural Area","28495.92","26240.25","1280","14135","19288","35096","44361","66698","27790.46","29201.38","1784","153869","26422","28201"
