"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","college entrance qualification","20281.57","18235.63","672","4655","11280","27225","34166","67205","19244.71","21318.43","0","129256","17486","19979"
"1984","16-34 y.","lower secondary degree","20024.06","18293.95","1842","9817","13515","23999","31687","57027","19519.07","20529.05","0","148650","18253","19117"
"1984","16-34 y.","no degree/no degree yet","21989.18","20034.11","519","10614","14049","27575","35126","55861","21069.65","22908.71","0","103309","18095","19971"
"1984","16-34 y.","Other degree","16704.07","14789.09","524","8548","11114","20751","27818","41733","16000.18","17407.96","0","50367","15727","17271"
"1984","16-34 y.","secondary school degree","22312.16","20984.86","1023","10405","15506","26903","33978","59821","21616.98","23007.34","307","131250","20737","21823"
"1984","35-65 y.","college entrance qualification","26742.48","25811","526","13387","18886","32874","39828","66398","25740.54","27744.42","1189","76979","25425","27265"
"1984","35-65 y.","lower secondary degree","19807.3","18088.43","3311","9141","13066","24242","31031","57027","19429.99","20184.61","0","170618","18125","18867"
"1984","35-65 y.","no degree/no degree yet","17673.96","16810.66","767","9099","11810","21460","27615","45973","17008.09","18339.83","0","103309","17256","18305"
"1984","35-65 y.","Other degree","18705.93","17056","922","9159","12406","22678","27633","48552","17939.75","19472.11","2664","148650","17755","19495"
"1984","35-65 y.","secondary school degree","24076.28","23278.09","755","11857","16403","29695","36968","58980","23221.46","24931.1","895","143736","23083","24433"
"1984","66 and older","college entrance qualification","18896.64","15454.19","97","7976","12310","25135","33347","46910","16817.57","20975.71","895","53275","15097","19634"
"1984","66 and older","lower secondary degree","11846.83","10086.15","974","5220","6749","13701","20014","41977","11209.77","12483.89","0","170618","10430","11253"
"1984","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"1984","66 and older","Other degree","","","","","","","","","","","","","",""
"1984","66 and older","secondary school degree","14173.91","13039.73","182","6136","8590","17541","24381","36813","13097.77","15250.05","0","37770","12885","15492"
"1985","16-34 y.","college entrance qualification","20085.52","18187.61","644","5323","11165","27722","35283","56141","19101.09","21069.95","0","129341","18558","20667"
"1985","16-34 y.","lower secondary degree","20577.41","18462.36","1632","10148","13474","24287","33187","57674","20043.3","21111.52","307","137599","18640","19971"
"1985","16-34 y.","no degree/no degree yet","23143.37","21685.82","434","10191","15154","29314","37441","53045","22202.23","24084.51","0","61961","19690","21672"
"1985","16-34 y.","Other degree","17411.12","15013.95","404","8450","11475","21763","27580","49506","16565.98","18256.26","997","62449","15398","17535"
