"ple0017","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Bremen","Part Time","1","","",""
"Yes","2011","Bremen","Not Working","3","","",""
"Yes","2011","North Rhine-Westphalia","Full Time","71","1","1","1"
"Yes","2011","North Rhine-Westphalia","Part Time","81","1","1","1"
"Yes","2011","North Rhine-Westphalia","Not Working","82","1","1","1"
"Yes","2011","Hesse","Full Time","41","1","1","1"
"Yes","2011","Hesse","Part Time","25","","",""
"Yes","2011","Hesse","Not Working","22","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","Full Time","20","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","Part Time","24","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","Not Working","28","","",""
"Yes","2011","Baden-Württemberg","Full Time","46","1","1","1"
"Yes","2011","Baden-Württemberg","Part Time","44","1","1","1"
"Yes","2011","Baden-Württemberg","Not Working","55","1","1","1"
"Yes","2011","Bavaria","Full Time","78","1","1","1"
"Yes","2011","Bavaria","Part Time","63","1","1","1"
"Yes","2011","Bavaria","Not Working","45","1","1","1"
"Yes","2011","Berlin","Full Time","17","","",""
"Yes","2011","Berlin","Part Time","15","","",""
"Yes","2011","Berlin","Not Working","18","","",""
"Yes","2011","Brandenburg","Full Time","18","","",""
"Yes","2011","Brandenburg","Part Time","15","","",""
"Yes","2011","Brandenburg","Not Working","14","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Full Time","7","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Part Time","13","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Not Working","12","","",""
"Yes","2011","Saxony","Full Time","14","","",""
"Yes","2011","Saxony","Part Time","17","","",""
"Yes","2011","Saxony","Not Working","20","","",""
"Yes","2011","Saxony-Anhalt","Full Time","22","","",""
"Yes","2011","Saxony-Anhalt","Part Time","7","","",""
"Yes","2011","Saxony-Anhalt","Not Working","14","","",""
"Yes","2011","Thuringia","Full Time","21","","",""
"Yes","2011","Thuringia","Part Time","17","","",""
"Yes","2011","Thuringia","Not Working","18","","",""
"Yes","2012","Schleswig-Holstein","Full Time","","","",""
"Yes","2012","Schleswig-Holstein","Part Time","","","",""
"Yes","2012","Schleswig-Holstein","Not Working","","","",""
"Yes","2012","Hamburg","Full Time","","","",""
"Yes","2012","Hamburg","Part Time","","","",""
"Yes","2012","Hamburg","Not Working","","","",""
"Yes","2012","Lower Saxony","Full Time","","","",""
"Yes","2012","Lower Saxony","Part Time","","","",""
"Yes","2012","Lower Saxony","Not Working","","","",""
"Yes","2012","Bremen","Full Time","","","",""
"Yes","2012","Bremen","Part Time","","","",""
"Yes","2012","Bremen","Not Working","","","",""
"Yes","2012","North Rhine-Westphalia","Full Time","","","",""
"Yes","2012","North Rhine-Westphalia","Part Time","","","",""
"Yes","2012","North Rhine-Westphalia","Not Working","","","",""
"Yes","2012","Hesse","Full Time","","","",""
"Yes","2012","Hesse","Part Time","","","",""
"Yes","2012","Hesse","Not Working","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Not Working","","","",""
"Yes","2012","Baden-Württemberg","Full Time","","","",""
"Yes","2012","Baden-Württemberg","Part Time","","","",""
"Yes","2012","Baden-Württemberg","Not Working","","","",""
"Yes","2012","Bavaria","Full Time","","","",""
"Yes","2012","Bavaria","Part Time","","","",""
"Yes","2012","Bavaria","Not Working","","","",""
"Yes","2012","Berlin","Full Time","","","",""
"Yes","2012","Berlin","Part Time","","","",""
"Yes","2012","Berlin","Not Working","","","",""
"Yes","2012","Brandenburg","Full Time","","","",""
"Yes","2012","Brandenburg","Part Time","","","",""
"Yes","2012","Brandenburg","Not Working","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Full Time","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Part Time","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","Not Working","","","",""
"Yes","2012","Saxony","Full Time","","","",""
"Yes","2012","Saxony","Part Time","","","",""
"Yes","2012","Saxony","Not Working","","","",""
"Yes","2012","Saxony-Anhalt","Full Time","","","",""
"Yes","2012","Saxony-Anhalt","Part Time","","","",""
"Yes","2012","Saxony-Anhalt","Not Working","","","",""
"Yes","2012","Thuringia","Full Time","","","",""
"Yes","2012","Thuringia","Part Time","","","",""
"Yes","2012","Thuringia","Not Working","","","",""
"Yes","2013","Schleswig-Holstein","Full Time","13","","",""
"Yes","2013","Schleswig-Holstein","Part Time","14","","",""
"Yes","2013","Schleswig-Holstein","Not Working","16","","",""
"Yes","2013","Hamburg","Full Time","6","","",""
"Yes","2013","Hamburg","Part Time","7","","",""
"Yes","2013","Hamburg","Not Working","7","","",""
"Yes","2013","Lower Saxony","Full Time","33","1","1","1"
"Yes","2013","Lower Saxony","Part Time","40","1","1","1"
"Yes","2013","Lower Saxony","Not Working","50","1","1","1"
"Yes","2013","Bremen","Full Time","2","","",""
"Yes","2013","Bremen","Part Time","1","","",""
"Yes","2013","Bremen","Not Working","5","","",""
"Yes","2013","North Rhine-Westphalia","Full Time","86","1","1","1"
"Yes","2013","North Rhine-Westphalia","Part Time","87","1","1","1"
"Yes","2013","North Rhine-Westphalia","Not Working","71","1","1","1"
"Yes","2013","Hesse","Full Time","32","1","1","1"
"Yes","2013","Hesse","Part Time","22","","",""
"Yes","2013","Hesse","Not Working","43","1","1","1"
"Yes","2013","Rhineland-Palatinate,Saarland","Full Time","19","","",""
"Yes","2013","Rhineland-Palatinate,Saarland","Part Time","18","","",""
"Yes","2013","Rhineland-Palatinate,Saarland","Not Working","26","","",""
"Yes","2013","Baden-Württemberg","Full Time","42","1","1","1"
"Yes","2013","Baden-Württemberg","Part Time","60","1","1","1"
"Yes","2013","Baden-Württemberg","Not Working","42","1","1","1"
"Yes","2013","Bavaria","Full Time","61","1","1","1"
"Yes","2013","Bavaria","Part Time","71","1","1","1"
"Yes","2013","Bavaria","Not Working","50","1","1","1"
"Yes","2013","Berlin","Full Time","20","","",""
"Yes","2013","Berlin","Part Time","16","","",""
"Yes","2013","Berlin","Not Working","23","","",""
"Yes","2013","Brandenburg","Full Time","12","","",""
"Yes","2013","Brandenburg","Part Time","13","","",""
"Yes","2013","Brandenburg","Not Working","12","","",""
"Yes","2013","Mecklenburg-Western Pomerania","Full Time","10","","",""
"Yes","2013","Mecklenburg-Western Pomerania","Part Time","7","","",""
"Yes","2013","Mecklenburg-Western Pomerania","Not Working","10","","",""
"Yes","2013","Saxony","Full Time","32","1","1","1"
"Yes","2013","Saxony","Part Time","16","","",""
"Yes","2013","Saxony","Not Working","24","","",""
"Yes","2013","Saxony-Anhalt","Full Time","18","","",""
"Yes","2013","Saxony-Anhalt","Part Time","14","","",""
"Yes","2013","Saxony-Anhalt","Not Working","17","","",""
"Yes","2013","Thuringia","Full Time","25","","",""
"Yes","2013","Thuringia","Part Time","14","","",""
"Yes","2013","Thuringia","Not Working","12","","",""
"Yes","2014","Schleswig-Holstein","Full Time","","","",""
"Yes","2014","Schleswig-Holstein","Part Time","","","",""
"Yes","2014","Schleswig-Holstein","Not Working","","","",""
"Yes","2014","Hamburg","Full Time","","","",""
"Yes","2014","Hamburg","Part Time","","","",""
"Yes","2014","Hamburg","Not Working","","","",""
"Yes","2014","Lower Saxony","Full Time","","","",""
"Yes","2014","Lower Saxony","Part Time","","","",""
"Yes","2014","Lower Saxony","Not Working","","","",""
"Yes","2014","Bremen","Full Time","","","",""
"Yes","2014","Bremen","Part Time","","","",""
"Yes","2014","Bremen","Not Working","","","",""
"Yes","2014","North Rhine-Westphalia","Full Time","","","",""
"Yes","2014","North Rhine-Westphalia","Part Time","","","",""
"Yes","2014","North Rhine-Westphalia","Not Working","","","",""
"Yes","2014","Hesse","Full Time","","","",""
"Yes","2014","Hesse","Part Time","","","",""
"Yes","2014","Hesse","Not Working","","","",""
"Yes","2014","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Yes","2014","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Yes","2014","Rhineland-Palatinate,Saarland","Not Working","","","",""
"Yes","2014","Baden-Württemberg","Full Time","","","",""
"Yes","2014","Baden-Württemberg","Part Time","","","",""
"Yes","2014","Baden-Württemberg","Not Working","","","",""
"Yes","2014","Bavaria","Full Time","","","",""
"Yes","2014","Bavaria","Part Time","","","",""
"Yes","2014","Bavaria","Not Working","","","",""
"Yes","2014","Berlin","Full Time","","","",""
"Yes","2014","Berlin","Part Time","","","",""
"Yes","2014","Berlin","Not Working","","","",""
"Yes","2014","Brandenburg","Full Time","","","",""
"Yes","2014","Brandenburg","Part Time","","","",""
"Yes","2014","Brandenburg","Not Working","","","",""
"Yes","2014","Mecklenburg-Western Pomerania","Full Time","","","",""
"Yes","2014","Mecklenburg-Western Pomerania","Part Time","","","",""
"Yes","2014","Mecklenburg-Western Pomerania","Not Working","","","",""
"Yes","2014","Saxony","Full Time","","","",""
"Yes","2014","Saxony","Part Time","","","",""
"Yes","2014","Saxony","Not Working","","","",""
"Yes","2014","Saxony-Anhalt","Full Time","","","",""
"Yes","2014","Saxony-Anhalt","Part Time","","","",""
"Yes","2014","Saxony-Anhalt","Not Working","","","",""
"Yes","2014","Thuringia","Full Time","","","",""
"Yes","2014","Thuringia","Part Time","","","",""
"Yes","2014","Thuringia","Not Working","","","",""
"Yes","2015","Schleswig-Holstein","Full Time","19","","",""
"Yes","2015","Schleswig-Holstein","Part Time","28","","",""
"Yes","2015","Schleswig-Holstein","Not Working","26","","",""
"Yes","2015","Hamburg","Full Time","9","","",""
"Yes","2015","Hamburg","Part Time","7","","",""
"Yes","2015","Hamburg","Not Working","9","","",""
"Yes","2015","Lower Saxony","Full Time","43","1","1","1"
"Yes","2015","Lower Saxony","Part Time","68","1","1","1"
"Yes","2015","Lower Saxony","Not Working","51","1","1","1"
"Yes","2015","Bremen","Full Time","1","","",""
"Yes","2015","Bremen","Part Time","9","","",""
"Yes","2015","Bremen","Not Working","7","","",""
"Yes","2015","North Rhine-Westphalia","Full Time","112","1","1","1"
"Yes","2015","North Rhine-Westphalia","Part Time","134","1","1","1"
"Yes","2015","North Rhine-Westphalia","Not Working","116","1","1","1"
