"ple0017","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","West Germany","7","","",""
"Yes","2009","(0) in school","East Germany","","","",""
"Yes","2009","(1a) inadequately completed","West Germany","13","","",""
"Yes","2009","(1a) inadequately completed","East Germany","","","",""
"Yes","2009","(1b) general elementary school","West Germany","69","1","1","1"
"Yes","2009","(1b) general elementary school","East Germany","9","","",""
"Yes","2009","(1c) basic vocational qualification","West Germany","161","1","1","1"
"Yes","2009","(1c) basic vocational qualification","East Germany","28","","",""
"Yes","2009","(2b) intermediate general qualification","West Germany","25","","",""
"Yes","2009","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2009","(2a) intermediate vocational","West Germany","165","1","1","1"
"Yes","2009","(2a) intermediate vocational","East Germany","85","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","West Germany","24","","",""
"Yes","2009","(2c_gen) general maturity certificate","East Germany","11","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","West Germany","80","1","1","1"
"Yes","2009","(2c_voc) vocational maturity certificate","East Germany","10","","",""
"Yes","2009","(3a) lower tertiary education","West Germany","53","1","1","1"
"Yes","2009","(3a) lower tertiary education","East Germany","39","1","1","1"
"Yes","2009","(3b) higher tertiary education","West Germany","95","1","1","1"
"Yes","2009","(3b) higher tertiary education","East Germany","26","","",""
"Yes","2010","(0) in school","West Germany","","","",""
"Yes","2010","(0) in school","East Germany","","","",""
"Yes","2010","(1a) inadequately completed","West Germany","","","",""
"Yes","2010","(1a) inadequately completed","East Germany","","","",""
"Yes","2010","(1b) general elementary school","West Germany","","","",""
"Yes","2010","(1b) general elementary school","East Germany","","","",""
"Yes","2010","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2010","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2010","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2010","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2010","(2a) intermediate vocational","West Germany","","","",""
"Yes","2010","(2a) intermediate vocational","East Germany","","","",""
"Yes","2010","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2010","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2010","(3a) lower tertiary education","West Germany","","","",""
"Yes","2010","(3a) lower tertiary education","East Germany","","","",""
